Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,18(13),SKR,T20I,Nisshin,08 May 26,138.4,4,0
"COOK ISLANDS TOUR OF JAPAN, 2025",1(3),JPN,T20I,"Sano, Kanto",14 May 25,33.3,0,0
"COOK ISLANDS TOUR OF JAPAN, 2025",0(2),JPN,T20I,"Sano, Kanto",13 May 25,0,0,0
"JAPAN T20I TRI-SERIES, 2025",0(1),JPN,T20I,"Sano, Kanto",09 May 25,0,0,0
"JAPAN T20I TRI-SERIES, 2025",4(4),THAI,T20I,"Sano, Kanto",09 May 25,100,1,0
"JAPAN T20I TRI-SERIES, 2025",14(14),THAI,T20I,"Sano, Kanto",07 May 25,100,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",10(9),FIJI,T20I,Apia,24 Aug 24,111.1,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",38(32),WSM,T20I,Apia,23 Aug 24,118.7,5,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",16(14),VAN,T20I,Apia,21 Aug 24,114.2,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2(3),FIJI,T20I,Apia,20 Aug 24,66.6,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",30(19),WSM,T20I,Apia,19 Aug 24,157.8,5,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",112*(57),VAN,T20I,Apia,17 Aug 24,196.4,10,7
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0(1),VAN,T20I,Port Vila,10 Sep 22,0,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",14(11),WSM,T20I,Port Vila,09 Sep 22,127.2,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",51(38),FIJI,T20I,Port Vila,09 Sep 22,134.2,1,3
