Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,69(43),PBKS,T20,Hyderabad,06 May 26,160.4,3,4
INDIAN PREMIER LEAGUE 2026,11(8),KKR,T20,Hyderabad,03 May 26,137.5,1,1
INDIAN PREMIER LEAGUE 2026,65*(30),MI,T20,Mumbai,29 Apr 26,216.6,7,4
INDIAN PREMIER LEAGUE 2026,29(24),RR,T20,Jaipur,25 Apr 26,120.8,3,1
INDIAN PREMIER LEAGUE 2026,37*(13),DC,T20,Hyderabad,21 Apr 26,284.6,3,3
INDIAN PREMIER LEAGUE 2026,59(39),CSK,T20,Hyderabad,18 Apr 26,151.2,6,2
INDIAN PREMIER LEAGUE 2026,40(26),RR,T20,Hyderabad,13 Apr 26,153.8,1,3
INDIAN PREMIER LEAGUE 2026,39(33),PBKS,T20,New Chandigarh,11 Apr 26,118.1,1,1
INDIAN PREMIER LEAGUE 2026,62(41),LSG,T20,Hyderabad,05 Apr 26,151.2,5,2
INDIAN PREMIER LEAGUE 2026,52(35),KKR,T20,Kolkata,02 Apr 26,148.5,4,1
INDIAN PREMIER LEAGUE 2026,31(22),RCB,T20,Bengaluru,28 Mar 26,140.9,2,1
INDIAN PREMIER LEAGUE 2025,105*(39),KKR,T20,Delhi,25 May 25,269.2,7,9
INDIAN PREMIER LEAGUE 2025,24(13),RCB,T20,Lucknow,23 May 25,184.6,2,2
INDIAN PREMIER LEAGUE 2025,47(28),LSG,T20,Lucknow,19 May 25,167.8,4,1
INDIAN PREMIER LEAGUE 2025,23(18),GT,T20,Ahmedabad,02 May 25,127.7,1,1
INDIAN PREMIER LEAGUE 2025,7(8),CSK,T20,Chennai,25 Apr 25,87.5,1,0
INDIAN PREMIER LEAGUE 2025,71(44),MI,T20,Hyderabad,23 Apr 25,161.3,9,2
INDIAN PREMIER LEAGUE 2025,37(28),MI,T20,Mumbai,17 Apr 25,132.1,3,2
INDIAN PREMIER LEAGUE 2025,21*(14),PBKS,T20,Hyderabad,12 Apr 25,150,2,1
INDIAN PREMIER LEAGUE 2025,27(19),GT,T20,Hyderabad,06 Apr 25,142.1,2,1
INDIAN PREMIER LEAGUE 2025,33(21),KKR,T20,Kolkata,03 Apr 25,157.1,2,2
INDIAN PREMIER LEAGUE 2025,32(19),DC,T20,Visakhapatnam,30 Mar 25,168.4,2,2
INDIAN PREMIER LEAGUE 2025,26(17),LSG,T20,Hyderabad,27 Mar 25,152.9,2,1
INDIAN PREMIER LEAGUE 2025,34(14),RR,T20,Hyderabad,23 Mar 25,242.8,5,1
"ICC CHAMPIONS TROPHY, 2025",3(7),NZ,ODI,Lahore,05 Mar 25,42.8,0,0
"ICC CHAMPIONS TROPHY, 2025",64(56),ENG,ODI,Karachi,01 Mar 25,114.2,11,0
"PAKISTAN ODI TRI-SERIES, 2025",87(56),PAK,ODI,Karachi,12 Feb 25,155.3,11,3
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",81(43),PAK,ODI,Johannesburg,22 Dec 24,188.3,12,2
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",97(74),PAK,ODI,Cape Town,19 Dec 24,131,8,4
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",86(97),PAK,ODI,Paarl,17 Dec 24,88.6,7,2
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",8*(5),PAK,T20I,Centurion,13 Dec 24,160,1,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",12(13),PAK,T20I,Durban,10 Dec 24,92.3,0,1
"INDIA TOUR OF SOUTH AFRICA, 2024",0(1),IND,T20I,Johannesburg,15 Nov 24,0,0,0
"INDIA TOUR OF SOUTH AFRICA, 2024",41(22),IND,T20I,Centurion,13 Nov 24,186.3,1,4
"INDIA TOUR OF SOUTH AFRICA, 2024",2(3),IND,T20I,Gqeberha,10 Nov 24,66.6,0,0
"INDIA TOUR OF SOUTH AFRICA, 2024",25(22),IND,T20I,Durban,08 Nov 24,113.6,2,1
ICC MENS T20 WORLD CUP 2024,52(27),IND,T20I,"Bridgetown, Barbados",29 Jun 24,192.5,2,5
ICC MENS T20 WORLD CUP 2024,DNB,AFG,T20I,"Tarouba, Trinidad",26 Jun 24,DNB,DNB,DNB
ICC MENS T20 WORLD CUP 2024,22(10),WI,T20I,"North Sound, Antigua",23 Jun 24,220,3,1
ICC MENS T20 WORLD CUP 2024,8(13),ENG,T20I,"Gros Islet, St Lucia",21 Jun 24,61.5,1,0
ICC MENS T20 WORLD CUP 2024,36*(22),USA,T20I,"North Sound, Antigua",19 Jun 24,163.6,0,3
ICC MENS T20 WORLD CUP 2024,3(5),NEP,T20I,"Kingstown, St Vincent",14 Jun 24,60,0,0
ICC MENS T20 WORLD CUP 2024,46(44),BAN,T20I,New York,10 Jun 24,104.5,2,3
ICC MENS T20 WORLD CUP 2024,4(7),NED,T20I,New York,08 Jun 24,57.1,0,0
ICC MENS T20 WORLD CUP 2024,19*(22),SL,T20I,New York,03 Jun 24,86.3,1,1
INDIAN PREMIER LEAGUE 2024,16(17),KKR,T20,Chennai,26 May 24,94.1,1,0
INDIAN PREMIER LEAGUE 2024,50(34),RR,T20,Chennai,24 May 24,147,0,4
INDIAN PREMIER LEAGUE 2024,32(21),KKR,T20,Ahmedabad,21 May 24,152.3,3,1
INDIAN PREMIER LEAGUE 2024,42(26),PBKS,T20,Hyderabad,19 May 24,161.5,3,2
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Hyderabad,08 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,2(4),MI,T20,Mumbai,06 May 24,50,0,0
INDIAN PREMIER LEAGUE 2024,42*(19),RR,T20,Hyderabad,02 May 24,221,3,3
INDIAN PREMIER LEAGUE 2024,20(21),CSK,T20,Chennai,28 Apr 24,95.2,0,1
INDIAN PREMIER LEAGUE 2024,7(3),RCB,T20,Hyderabad,25 Apr 24,233.3,0,1
INDIAN PREMIER LEAGUE 2024,15(8),DC,T20,Delhi,20 Apr 24,187.5,0,2
INDIAN PREMIER LEAGUE 2024,67(31),RCB,T20,Bengaluru,15 Apr 24,216.1,2,7
INDIAN PREMIER LEAGUE 2024,9(9),PBKS,T20,New Chandigarh,09 Apr 24,100,1,0
INDIAN PREMIER LEAGUE 2024,10*(11),CSK,T20,Hyderabad,05 Apr 24,90.9,1,0
INDIAN PREMIER LEAGUE 2024,24(13),GT,T20,Ahmedabad,31 Mar 24,184.6,1,2
INDIAN PREMIER LEAGUE 2024,80*(34),MI,T20,Hyderabad,27 Mar 24,235.2,4,7
INDIAN PREMIER LEAGUE 2024,63(29),KKR,T20,Kolkata,23 Mar 24,217.2,0,8
"INDIA TOUR OF SOUTH AFRICA, 2023-24",21(22),IND,ODI,Paarl,21 Dec 23,95.4,3,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",DNB,IND,ODI,Gqeberha,19 Dec 23,DNB,DNB,DNB
"INDIA TOUR OF SOUTH AFRICA, 2023-24",6(9),IND,ODI,Johannesburg,17 Dec 23,66.6,1,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",5(5),IND,T20I,Johannesburg,14 Dec 23,100,1,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",7(5),IND,T20I,Gqeberha,12 Dec 23,140,0,1
ICC CRICKET WORLD CUP 2023,47(48),AUS,ODI,Kolkata,16 Nov 23,97.9,4,2
ICC CRICKET WORLD CUP 2023,10(13),AFG,ODI,Ahmedabad,10 Nov 23,76.9,1,0
ICC CRICKET WORLD CUP 2023,1(11),IND,ODI,Kolkata,05 Nov 23,9,0,0
ICC CRICKET WORLD CUP 2023,15*(7),NZ,ODI,Pune,01 Nov 23,214.2,1,1
ICC CRICKET WORLD CUP 2023,12(10),PAK,ODI,Chennai,27 Oct 23,120,0,1
ICC CRICKET WORLD CUP 2023,90(49),BAN,ODI,Mumbai,24 Oct 23,183.6,2,8
ICC CRICKET WORLD CUP 2023,109(67),ENG,ODI,Mumbai,21 Oct 23,162.6,12,4
ICC CRICKET WORLD CUP 2023,28(28),NED,ODI,Dharamsala,17 Oct 23,100,4,0
ICC CRICKET WORLD CUP 2023,29(27),AUS,ODI,Lucknow,12 Oct 23,107.4,3,0
ICC CRICKET WORLD CUP 2023,32(20),SL,ODI,Delhi,07 Oct 23,160,1,3
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",6(13),AUS,ODI,Johannesburg,17 Sep 23,46.1,0,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",174(83),AUS,ODI,Centurion,15 Sep 23,209.6,13,13
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",0(2),AUS,ODI,Potchefstroom,12 Sep 23,0,0,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",49(36),AUS,ODI,Bloemfontein,09 Sep 23,136.1,3,3
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",14(19),AUS,ODI,Bloemfontein,07 Sep 23,73.6,2,0
INDIAN PREMIER LEAGUE 2023,18(13),MI,T20,Mumbai,21 May 23,138.4,2,0
INDIAN PREMIER LEAGUE 2023,104(51),RCB,T20,Hyderabad,18 May 23,203.9,8,6
INDIAN PREMIER LEAGUE 2023,64(44),GT,T20,Ahmedabad,15 May 23,145.4,4,3
INDIAN PREMIER LEAGUE 2023,47(29),LSG,T20,Hyderabad,13 May 23,162,3,3
INDIAN PREMIER LEAGUE 2023,26(12),RR,T20,Jaipur,07 May 23,216.6,2,2
INDIAN PREMIER LEAGUE 2023,36(20),KKR,T20,Hyderabad,04 May 23,180,1,3
INDIAN PREMIER LEAGUE 2023,53*(27),DC,T20,Delhi,29 Apr 23,196.3,2,4
INDIAN PREMIER LEAGUE 2023,31(19),DC,T20,Hyderabad,24 Apr 23,163.1,3,1
INDIAN PREMIER LEAGUE 2023,17(16),CSK,T20,Chennai,21 Apr 23,106.2,1,0
INDIAN PREMIER LEAGUE 2023,36(16),MI,T20,Hyderabad,18 Apr 23,225,4,2
INDIAN PREMIER LEAGUE 2023,16*(6),KKR,T20,Kolkata,14 Apr 23,266.6,2,1
INDIAN PREMIER LEAGUE 2023,DNB,PBKS,T20,Hyderabad,09 Apr 23,DNB,DNB,DNB
"NETHERLANDS TOUR OF SOUTH AFRICA, 2023",28(21),NED,ODI,Johannesburg,02 Apr 23,133.3,4,0
"NETHERLANDS TOUR OF SOUTH AFRICA, 2023",DNB,NED,ODI,Benoni,31 Mar 23,DNB,DNB,DNB
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",6(2),WI,T20I,Johannesburg,28 Mar 23,300,0,1
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",16*(7),WI,T20I,Centurion,26 Mar 23,228.5,3,0
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",1(2),WI,T20I,Centurion,25 Mar 23,50,0,0
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",119*(61),WI,ODI,Potchefstroom,21 Mar 23,195,15,5
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",17 & 14,WI,Test,Johannesburg,08 Mar 23,37.7 & 36.8,1 & 2,0 & 0
"WEST INDIES TOUR OF SOUTH AFRICA, 2023",20 & 5,WI,Test,Centurion,28 Feb 23,90.9 & 62.5,4 & 0,0 & 0
"ENGLAND TOUR OF SOUTH AFRICA, 2023",80(62),ENG,ODI,Kimberley,01 Feb 23,129,7,2
"ENGLAND TOUR OF SOUTH AFRICA, 2023",27(19),ENG,ODI,Bloemfontein,29 Jan 23,142.1,3,0
"ENGLAND TOUR OF SOUTH AFRICA, 2023",30(32),ENG,ODI,Bloemfontein,27 Jan 23,93.7,0,2
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",2 & 35,AUS,Test,Sydney,04 Jan 23,9 & 57.3,0 & 3,0 & 0
ICC MENS T20 WORLD CUP 2022,21(18),NED,T20I,Adelaide,06 Nov 22,116.6,0,1
ICC MENS T20 WORLD CUP 2022,15(9),PAK,T20I,Sydney,03 Nov 22,166.6,3,0
"SOUTH AFRICA TOUR OF INDIA, 2022",34(42),IND,ODI,Delhi,11 Oct 22,80.9,4,0
"SOUTH AFRICA TOUR OF INDIA, 2022",30(26),IND,ODI,Ranchi,09 Oct 22,115.3,2,2
"SOUTH AFRICA TOUR OF INDIA, 2022",74*(65),IND,ODI,Lucknow,06 Oct 22,113.8,6,2
