Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,42*(26),IDN,T20I,"Sano, Kanto",08 May 26,161.5,2,2
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0(3),THAI,T20I,Bangkok,13 Dec 25,0,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,19*(8),IDN,T20I,Bangkok,11 Dec 25,237.5,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,37(22),SIN,T20I,Bangkok,10 Dec 25,168.1,3,2
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,14(17),MLY,T20I,Bangkok,09 Dec 25,82.3,1,0
INDONESIA T20I TRI-SERIES 2025,DNB,IDN,T20I,Bali,13 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,5(4),SKR,T20I,Bali,12 Jul 25,125,1,0
INDONESIA T20I TRI-SERIES 2025,DNB,IDN,T20I,Bali,10 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,7(3),SKR,T20I,Bali,10 Jul 25,233.3,0,1
INDONESIA T20I TRI-SERIES 2025,12(4),SKR,T20I,Bali,09 Jul 25,300,0,2
INDONESIA T20I TRI-SERIES 2025,0(2),IDN,T20I,Bali,07 Jul 25,0,0,0
INDONESIA T20I TRI-SERIES 2025,DNB,SKR,T20I,Bali,07 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,1(2),IDN,T20I,Bali,06 Jul 25,50,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",DNB,SKR,T20I,Incheon,05 Oct 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",7(14),IDN,T20I,Incheon,04 Oct 24,50,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1(5),JPN,T20I,Incheon,02 Oct 24,20,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",DNB,SKR,T20I,Incheon,01 Oct 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3(8),IDN,T20I,Incheon,29 Sep 24,37.5,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1(7),JPN,T20I,Incheon,28 Sep 24,14.2,0,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",0(1),JPN,T20I,Incheon,26 Sep 24,0,0,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,38(17),IDN,T20I,Bali,26 Dec 23,223.5,4,3
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,18(9),IDN,T20I,Bali,24 Dec 23,200,2,1
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,17(8),IDN,T20I,Bali,24 Dec 23,212.5,1,2
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,23(12),IDN,T20I,Bali,23 Dec 23,191.6,2,2
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,33(13),IDN,T20I,Bali,23 Dec 23,253.8,1,4
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,27(25),IDN,T20I,Bali,22 Dec 23,108,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,0(1),CBD,T20I,Phnom Penh,10 May 23,0,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,0(4),SIN,T20I,Phnom Penh,03 May 23,0,0,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,23(29),GER,T20I,Al Amerat,24 Feb 22,79.3,2,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,6(5),BHR,T20I,Al Amerat,22 Feb 22,120,1,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,6(11),OMAN,T20I,Al Amerat,21 Feb 22,54.5,1,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,1(3),NEP,T20I,Al Amerat,19 Feb 22,33.3,0,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,4(7),CAN,T20I,Al Amerat,18 Feb 22,57.1,0,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,DNB,VAN,T20I,Port Moresby,23 Mar 19,DNB,DNB,DNB
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,6(9),PNG,T20I,Port Moresby,22 Mar 19,66.6,0,0
