Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-36,THAI,T20I,Bangkok,13 Dec 25,9,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,3-17,IDN,T20I,Bangkok,11 Dec 25,5.6,3,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-20,MLY,T20I,Bangkok,09 Dec 25,20,1,0
INDONESIA T20I TRI-SERIES 2025,2-28,IDN,T20I,Bali,13 Jul 25,12.1,2.3,0
INDONESIA T20I TRI-SERIES 2025,4-18,SKR,T20I,Bali,12 Jul 25,4.5,4,0
INDONESIA T20I TRI-SERIES 2025,2-45,SKR,T20I,Bali,10 Jul 25,11.2,4,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-33,IDN,T20I,Bali,26 Dec 23,8.2,4,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,1-26,IDN,T20I,Bali,24 Dec 23,8.3,3.1,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,3-26,IDN,T20I,Bali,24 Dec 23,6.5,4,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,1-34,IDN,T20I,Bali,23 Dec 23,8.5,4,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-13,IDN,T20I,Bali,23 Dec 23,13,1,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-22,IDN,T20I,Bali,22 Dec 23,5.5,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,1-37,CBD,T20I,Phnom Penh,10 May 23,9.2,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,2-36,SIN,T20I,Phnom Penh,03 May 23,9,4,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,0-26,GER,T20I,Al Amerat,24 Feb 22,13,2,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,3-40,BHR,T20I,Al Amerat,22 Feb 22,10,4,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,0-43,NEP,T20I,Al Amerat,19 Feb 22,14.3,3,0
ICC MENS T20 WORLD CUP QUALIFIER A 2022,0-41,CAN,T20I,Al Amerat,18 Feb 22,10.2,4,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,0-29,VAN,T20I,Port Moresby,23 Mar 19,7.2,4,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,0-19,PNG,T20I,Port Moresby,22 Mar 19,9.5,2,0
