Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",47(31),Malta,T20I,Marsa,08 May 26,151.6,1,4
"GIBRALTAR TOUR OF MALTA, 2026",0(2),Malta,T20I,Marsa,08 May 26,0,0,0
"GIBRALTAR TOUR OF MALTA, 2026",19(18),Malta,T20I,Marsa,07 May 26,105.5,2,0
"GIBRALTAR TOUR OF MALTA, 2026",31(29),Malta,T20I,Marsa,07 May 26,106.9,0,2
BULGARIA T20I TRI-SERIES 2025,1(2),BGR,T20I,Sofia,13 Jul 25,50,0,0
BULGARIA T20I TRI-SERIES 2025,27(23),TKY,T20I,Sofia,12 Jul 25,117.3,4,0
BULGARIA T20I TRI-SERIES 2025,51*(28),BGR,T20I,Sofia,11 Jul 25,182.1,7,2
BULGARIA T20I TRI-SERIES 2025,65(41),TKY,T20I,Sofia,11 Jul 25,158.5,10,2
BULGARIA T20I TRI-SERIES 2025,30(23),BGR,T20I,Sofia,10 Jul 25,130.4,3,1
"SERBIA TOUR OF GIBRALTAR, 2024",29*(18),SRB,T20I,Gibraltar,30 Sep 24,161.1,2,2
"SERBIA TOUR OF GIBRALTAR, 2024",25*(13),SRB,T20I,Gibraltar,30 Sep 24,192.3,1,2
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",13(16),NOR,T20I,Krefeld,13 Jul 24,81.2,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",11(9),SWE,T20I,Krefeld,11 Jul 24,122.2,0,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",30(22),SLV,T20I,Krefeld,10 Jul 24,136.3,3,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",58*(38),GER,T20I,Krefeld,08 Jul 24,152.6,5,2
CONTINENTAL CUP 2024,30(28),HUN,T20I,Ilfov County,26 May 24,107.1,5,1
CONTINENTAL CUP 2024,3(3),ROM,T20I,Ilfov County,25 May 24,100,0,0
CONTINENTAL CUP 2024,25(26),BGR,T20I,Ilfov County,24 May 24,96.1,1,1
CONTINENTAL CUP 2024,2(8),HUN,T20I,Ilfov County,24 May 24,25,0,0
SERBIA TOUR OF GIBRALTAR 2023,10(11),SRB,T20I,Gibraltar,05 Oct 23,90.9,0,0
ESTONIA TOUR OF GIBRALTAR 2023,46(33),EST,T20I,Gibraltar,30 Sep 23,139.3,5,2
ESTONIA TOUR OF GIBRALTAR 2023,6(7),EST,T20I,Gibraltar,30 Sep 23,85.7,0,0
GIBRALTAR T20I TRI-SERIES 2023,5(4),Malta,T20I,Gibraltar,07 May 23,125,1,0
GIBRALTAR T20I TRI-SERIES 2023,7(16),PORT,T20I,Gibraltar,07 May 23,43.7,0,0
GIBRALTAR T20I TRI-SERIES 2023,28(30),Malta,T20I,Gibraltar,06 May 23,93.3,2,0
GIBRALTAR T20I TRI-SERIES 2023,5(10),PORT,T20I,Gibraltar,06 May 23,50,0,0
GIBRALTAR T20I TRI-SERIES 2023,89(47),Malta,T20I,Gibraltar,05 May 23,189.3,7,6
GIBRALTAR T20I TRI-SERIES 2023,18(13),PORT,T20I,Gibraltar,04 May 23,138.4,2,1
"GIBRALTAR TOUR OF PORTUGAL, 2023",0(4),PORT,T20I,Albergaria,11 Apr 23,0,0,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",5(3),PORT,T20I,Albergaria,11 Apr 23,166.6,1,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0(6),PORT,T20I,Albergaria,10 Apr 23,0,0,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,25(19),Malta,T20I,Brussels,03 Jul 22,131.5,1,2
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,22*(14),HUN,T20I,Brussels,01 Jul 22,157.1,1,1
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,5(9),DEN,T20I,Brussels,29 Jun 22,55.5,1,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,32(23),BEL,T20I,Ghent,28 Jun 22,139.1,0,3
