Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,55(32),PBKS,T20,Hyderabad,06 May 26,171.8,2,4
INDIAN PREMIER LEAGUE 2026,42(29),KKR,T20,Hyderabad,03 May 26,144.8,4,2
INDIAN PREMIER LEAGUE 2026,0(1),MI,T20,Mumbai,29 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,74(31),RR,T20,Jaipur,25 Apr 26,238.7,11,3
INDIAN PREMIER LEAGUE 2026,25(13),DC,T20,Hyderabad,21 Apr 26,192.3,2,1
INDIAN PREMIER LEAGUE 2026,0(1),CSK,T20,Hyderabad,18 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,91(44),RR,T20,Hyderabad,13 Apr 26,206.8,8,6
INDIAN PREMIER LEAGUE 2026,27(17),PBKS,T20,New Chandigarh,11 Apr 26,158.8,3,1
INDIAN PREMIER LEAGUE 2026,1(4),LSG,T20,Hyderabad,05 Apr 26,25,0,0
INDIAN PREMIER LEAGUE 2026,14(9),KKR,T20,Kolkata,02 Apr 26,155.5,3,0
INDIAN PREMIER LEAGUE 2026,80(38),RCB,T20,Bengaluru,28 Mar 26,210.5,8,5
ICC MEN'S T20 WORLD CUP 2026,54(25),NZ,T20I,Ahmedabad,08 Mar 26,216,4,4
ICC MEN'S T20 WORLD CUP 2026,39(18),ENG,T20I,Mumbai,05 Mar 26,216.6,4,2
ICC MEN'S T20 WORLD CUP 2026,10(6),WI,T20I,Kolkata,01 Mar 26,166.6,2,0
ICC MEN'S T20 WORLD CUP 2026,38(24),ZIM,T20I,Chennai,26 Feb 26,158.3,4,1
ICC MEN'S T20 WORLD CUP 2026,0(4),RSA,T20I,Ahmedabad,22 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,18(7),NED,T20I,Ahmedabad,18 Feb 26,257.1,2,1
ICC MEN'S T20 WORLD CUP 2026,77(40),PAK,T20I,Colombo,15 Feb 26,192.5,10,3
ICC MEN'S T20 WORLD CUP 2026,61(24),NAM,T20I,Delhi,12 Feb 26,254.1,6,5
ICC MEN'S T20 WORLD CUP 2026,20(16),USA,T20I,Mumbai,07 Feb 26,125,1,2
"NEW ZEALAND TOUR OF INDIA, 2026",103(43),NZ,T20I,Thiruvananthapuram,31 Jan 26,239.5,6,10
"NEW ZEALAND TOUR OF INDIA, 2026",28(13),NZ,T20I,Guwahati,25 Jan 26,215.3,3,2
"NEW ZEALAND TOUR OF INDIA, 2026",76(32),NZ,T20I,Raipur,23 Jan 26,237.5,11,4
"NEW ZEALAND TOUR OF INDIA, 2026",8(5),NZ,T20I,Nagpur,21 Jan 26,160,2,0
INDIAN PREMIER LEAGUE 2025,29(20),KKR,T20,Delhi,25 May 25,145,4,1
INDIAN PREMIER LEAGUE 2025,94*(48),RCB,T20,Lucknow,23 May 25,195.8,7,5
INDIAN PREMIER LEAGUE 2025,35(28),LSG,T20,Lucknow,19 May 25,125,3,2
INDIAN PREMIER LEAGUE 2025,13(17),GT,T20,Ahmedabad,02 May 25,76.4,0,0
INDIAN PREMIER LEAGUE 2025,44(34),CSK,T20,Chennai,25 Apr 25,129.4,5,1
INDIAN PREMIER LEAGUE 2025,1(4),MI,T20,Hyderabad,23 Apr 25,25,0,0
INDIAN PREMIER LEAGUE 2025,2(3),MI,T20,Mumbai,17 Apr 25,66.6,0,0
INDIAN PREMIER LEAGUE 2025,9*(6),PBKS,T20,Hyderabad,12 Apr 25,150,1,0
INDIAN PREMIER LEAGUE 2025,17(14),GT,T20,Hyderabad,06 Apr 25,121.4,2,0
INDIAN PREMIER LEAGUE 2025,2(5),KKR,T20,Kolkata,03 Apr 25,40,0,0
INDIAN PREMIER LEAGUE 2025,2(5),DC,T20,Visakhapatnam,30 Mar 25,40,0,0
INDIAN PREMIER LEAGUE 2025,0(1),LSG,T20,Hyderabad,27 Mar 25,0,0,0
INDIAN PREMIER LEAGUE 2025,106*(47),RR,T20,Hyderabad,23 Mar 25,225.5,11,6
INDIAN PREMIER LEAGUE 2024,14(15),LSG,T20,Mumbai,17 May 24,93.3,1,0
INDIAN PREMIER LEAGUE 2024,40(22),KKR,T20,Kolkata,11 May 24,181.8,5,2
INDIAN PREMIER LEAGUE 2024,9(7),SRH,T20,Mumbai,06 May 24,128.5,2,0
