Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",0-33,Malta,T20I,Marsa,07 May 26,16.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-15,NOR,T20I,Krefeld,13 Jul 24,7.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-13,SWE,T20I,Krefeld,11 Jul 24,13,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",2-24,SLV,T20I,Krefeld,10 Jul 24,6,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",1-35,GER,T20I,Krefeld,08 Jul 24,8.7,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,1-30,LUX,T20I,Gibraltar,15 Oct 23,7.5,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,0-36,LUX,T20I,Gibraltar,15 Oct 23,9,4,0
SERBIA TOUR OF GIBRALTAR 2023,0-14,SRB,T20I,Gibraltar,05 Oct 23,4.6,3,0
SERBIA TOUR OF GIBRALTAR 2023,2-16,SRB,T20I,Gibraltar,05 Oct 23,4,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-13,Malta,T20I,Gibraltar,05 May 23,13,1,0
GIBRALTAR T20I TRI-SERIES 2023,0-17,PORT,T20I,Gibraltar,04 May 23,17,1,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-14,PORT,T20I,Albergaria,11 Apr 23,14,1,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",1-26,PORT,T20I,Albergaria,11 Apr 23,13,2,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",2-50,PORT,T20I,Albergaria,10 Apr 23,12.5,4,0
