Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP 2026,0-13,NZ,T20I,Colombo,27 Feb 26,13,1,0
ENGLAND TOUR OF SRI LANKA 2026,4-11,SL,T20I,Pallekele,03 Feb 26,3.3,3.3,0
ENGLAND TOUR OF SRI LANKA 2026,0-28,SL,ODI,Colombo,27 Jan 26,5.6,5,0
ENGLAND TOUR OF SRI LANKA 2026,0-20,SL,ODI,Colombo,24 Jan 26,6.6,3,0
ENGLAND TOUR OF SRI LANKA 2026,0-19,SL,ODI,Colombo,22 Jan 26,6.3,3,0
"THE ASHES, 2025-26",1-52 & 0-16,AUS,Test,Sydney,04 Jan 26,3.4 & 5.3,15.2 & 3,1 & 0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",1-61,RSA,ODI,London,04 Sep 25,12.2,5,0
"INDIA TOUR OF ENGLAND, 2025",0-4 & 0-13,IND,Test,London,31 Jul 25,2 & 3.2,2 & 4,1 & 0
"WEST INDIES TOUR OF ENGLAND, 2025",1-32,WI,T20I,Southampton,10 Jun 25,10.6,3,0
"WEST INDIES TOUR OF ENGLAND, 2025",1-24,WI,T20I,Bristol,08 Jun 25,8,3,0
"WEST INDIES TOUR OF ENGLAND, 2025",2-27,WI,T20I,Chester-le-Street,06 Jun 25,13.5,2,0
"WEST INDIES TOUR OF ENGLAND, 2025",0-14,WI,ODI,London,03 Jun 25,7,2,0
"WEST INDIES TOUR OF ENGLAND, 2025",1-49,WI,ODI,Cardiff,01 Jun 25,8.1,6,0
"WEST INDIES TOUR OF ENGLAND, 2025",1-18,WI,ODI,Birmingham,29 May 25,7.5,2.4,0
"ENGLAND TOUR OF INDIA, 2025",1-18,IND,ODI,Nagpur,06 Feb 25,6,3,0
"ENGLAND TOUR OF NEW ZEALAND, 2024",DNB & 3-72,NZ,Test,Hamilton,14 Dec 24,DNB & 5,DNB & 14.2,DNB & 0
"ENGLAND TOUR OF NEW ZEALAND, 2024",0-5 & DNB,NZ,Test,Christchurch,28 Nov 24,5 & DNB,1 & DNB,0 & DNB
"ENGLAND TOUR OF WEST INDIES, 2024",0-26,WI,ODI,"Bridgetown, Barbados",06 Nov 24,8.6,3,0
"ENGLAND TOUR OF WEST INDIES, 2024",0-20,WI,ODI,"North Sound, Antigua",02 Nov 24,6.6,3,0
"ENGLAND TOUR OF WEST INDIES, 2024",0-12,WI,ODI,"North Sound, Antigua",31 Oct 24,12,1,0
"AUSTRALIA TOUR OF ENGLAND, 2024",1-33,AUS,ODI,Chester-le-Street,24 Sep 24,6.6,5,1
"AUSTRALIA TOUR OF ENGLAND, 2024",2-33,AUS,ODI,Leeds,21 Sep 24,6.6,5,0
"AUSTRALIA TOUR OF ENGLAND, 2024",1-20,AUS,ODI,Nottingham,19 Sep 24,6.6,3,0
"AUSTRALIA TOUR OF ENGLAND, 2024",0-28,AUS,T20I,Southampton,11 Sep 24,9.3,3,0
