Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-5,DC,T20,Delhi,05 May 26,5,1,0
INDIAN PREMIER LEAGUE 2026,1-23,MI,T20,Chennai,02 May 26,5.7,4,0
INDIAN PREMIER LEAGUE 2026,0-28,GT,T20,Chennai,26 Apr 26,14,2,0
INDIAN PREMIER LEAGUE 2026,1-14,MI,T20,Mumbai,23 Apr 26,7,2,0
INDIAN PREMIER LEAGUE 2026,3-37,SRH,T20,Hyderabad,18 Apr 26,9.2,4,0
INDIAN PREMIER LEAGUE 2026,0-32,KKR,T20,Chennai,14 Apr 26,10.6,3,0
INDIAN PREMIER LEAGUE 2026,4-18,DC,T20,Chennai,11 Apr 26,4.5,4,0
INDIAN PREMIER LEAGUE 2026,1-42,RCB,T20,Bengaluru,05 Apr 26,14,3,0
INDIAN PREMIER LEAGUE 2026,0-14,RR,T20,Guwahati,30 Mar 26,14,1,0
ICC MEN'S T20 WORLD CUP 2026,0-36,IND,T20I,Mumbai,05 Mar 26,12,3,0
ICC MEN'S T20 WORLD CUP 2026,2-26,PAK,T20I,Pallekele,24 Feb 26,8.6,3,0
ICC MEN'S T20 WORLD CUP 2026,1-13,SL,T20I,Pallekele,22 Feb 26,6.5,2,0
ICC MEN'S T20 WORLD CUP 2026,3-18,ITA,T20I,Kolkata,16 Feb 26,4.5,4,1
ICC MEN'S T20 WORLD CUP 2026,1-23,SCO,T20I,Kolkata,14 Feb 26,5.7,4,0
ICC MEN'S T20 WORLD CUP 2026,2-33,WI,T20I,Mumbai,11 Feb 26,8.2,4,0
ENGLAND TOUR OF SRI LANKA 2026,0-14,SL,T20I,Pallekele,03 Feb 26,14,1,0
ENGLAND TOUR OF SRI LANKA 2026,0-30,SL,T20I,Pallekele,01 Feb 26,15,2,0
ENGLAND TOUR OF SRI LANKA 2026,2-17,SL,T20I,Pallekele,30 Jan 26,7.7,2.2,0
ENGLAND TOUR OF SRI LANKA 2026,2-48,SL,ODI,Colombo,27 Jan 26,12,4,0
ENGLAND TOUR OF SRI LANKA 2026,2-21,SL,ODI,Colombo,24 Jan 26,4.2,5,1
ENGLAND TOUR OF SRI LANKA 2026,0-66,SL,ODI,Colombo,22 Jan 26,7.3,9,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",2-32,NZ,ODI,Wellington,01 Nov 25,3.2,10,1
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-36,NZ,ODI,Hamilton,29 Oct 25,7.2,5,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",0-30,NZ,ODI,Mount Maunganui,26 Oct 25,5,6,0
"ENGLAND TOUR OF IRELAND, 2025",2-17,IRE,T20I,Dublin,21 Sep 25,4.2,4,0
"ENGLAND TOUR OF IRELAND, 2025",1-40,IRE,T20I,Dublin,17 Sep 25,10,4,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",1-24,RSA,T20I,Cardiff,10 Sep 25,16,1.5,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",0-8,RSA,ODI,Southampton,07 Sep 25,4,2,0
"INDIA TOUR OF ENGLAND, 2025",0-66 & 2-98,IND,Test,London,31 Jul 25,4.1 & 4.4,16 & 22,0 & 2
"WEST INDIES TOUR OF ENGLAND, 2025",3-22,WI,ODI,Birmingham,29 May 25,4.2,5.2,0
INDIAN PREMIER LEAGUE 2025,0-29,MI,T20,Mumbai,20 Apr 25,14.5,2,0
INDIAN PREMIER LEAGUE 2025,0-24,LSG,T20,Lucknow,14 Apr 25,12,2,0
INDIAN PREMIER LEAGUE 2025,0-30,RR,T20,Guwahati,30 Mar 25,15,2,0
"ICC CHAMPIONS TROPHY, 2025",0-34,RSA,ODI,Karachi,01 Mar 25,6.8,5,0
"ICC CHAMPIONS TROPHY, 2025",1-72,AFG,ODI,Lahore,26 Feb 25,7.2,10,0
"ENGLAND TOUR OF INDIA, 2025",2-27,IND,ODI,Cuttack,09 Feb 25,5.4,5,0
"ENGLAND TOUR OF INDIA, 2025",1-48,IND,T20I,Mumbai,02 Feb 25,16,3,0
"ENGLAND TOUR OF INDIA, 2025",2-32,IND,T20I,Pune,31 Jan 25,8,4,0
"ENGLAND TOUR OF INDIA, 2025",3-24,IND,T20I,Rajkot,28 Jan 25,6,4,0
"ENGLAND TOUR OF INDIA, 2025",1-20,IND,T20I,Chennai,25 Jan 25,9,2.2,0
"ENGLAND TOUR OF INDIA, 2025",0-10,IND,T20I,Kolkata,22 Jan 25,10,1,0
"ENGLAND TOUR OF WEST INDIES, 2024",0-5,WI,T20I,"Gros Islet, St Lucia",17 Nov 24,5,1,0
"ENGLAND TOUR OF WEST INDIES, 2024",3-20,WI,T20I,"Gros Islet, St Lucia",14 Nov 24,5,4,0
"ENGLAND TOUR OF WEST INDIES, 2024",1-27,WI,T20I,"Bridgetown, Barbados",09 Nov 24,8.4,3.2,0
"ENGLAND TOUR OF WEST INDIES, 2024",1-17,WI,ODI,"Bridgetown, Barbados",06 Nov 24,4.2,4,0
"NEW ZEALAND TOUR OF ENGLAND, 2022",1-85 & 1-61,NZ,Test,Leeds,23 Jun 22,3.7 & 4.3,23 & 14,2 & 2
