Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",0-30,GIB,T20I,Marsa,07 May 26,15,2,0
"CONTINENTAL CUP, 2025",0-16,BEL,T20I,Ilfov County,26 Jun 25,16,1,0
"CONTINENTAL CUP, 2025",0-12,FRA,T20I,Ilfov County,26 Jun 25,6,2,0
MDINA CUP 2025,1-29,BEL,T20I,Zemst,31 May 25,9.6,3,0
MDINA CUP 2025,0-8,PORT,T20I,Zemst,31 May 25,8,1,0
MDINA CUP 2025,1-19,PORT,T20I,Zemst,30 May 25,9.5,2,0
MDINA CUP 2025,2-5,BEL,T20I,Zemst,30 May 25,2.5,2,0
"ESTONIA TOUR OF MALTA, 2025",2-29,EST,T20I,Marsa,07 May 25,7.2,4,0
"ESTONIA TOUR OF MALTA, 2025",1-16,EST,T20I,Marsa,06 May 25,8,2,0
"ESTONIA TOUR OF MALTA, 2025",1-25,EST,T20I,Marsa,06 May 25,8.3,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER C, 2024",3-17,CYP,T20I,Port Soif,28 Aug 24,5.1,3.3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER C, 2024",0-31,EST,T20I,Port Soif,27 Aug 24,7.7,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER C, 2024",1-21,GGY,T20I,Port Soif,22 Aug 24,10.5,2,0
MDINA CUP 2024,1-19,BEL,T20I,Dreux,11 May 24,9,2.1,0
MDINA CUP 2024,2-20,BEL,T20I,Dreux,10 May 24,6.6,3,0
VALLETTA CUP 2023,0-21,SUI,T20I,Marsa,15 Jul 23,10.5,2,0
