Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Hyderabad,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Kolkata,02 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,4*(3),RCB,T20,Bengaluru,28 Mar 26,133.3,0,0
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Delhi,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Lucknow,23 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,02 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,25 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Hyderabad,23 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Hyderabad,06 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,4(11),KKR,T20,Chennai,26 May 24,36.3,0,0
INDIAN PREMIER LEAGUE 2024,5(2),RR,T20,Chennai,24 May 24,250,1,0
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Hyderabad,08 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,Hyderabad,02 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,1(2),CSK,T20,Chennai,28 Apr 24,50,0,0
INDIAN PREMIER LEAGUE 2024,8*(10),RCB,T20,Hyderabad,25 Apr 24,80,1,0
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,15 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,6*(1),PBKS,T20,New Chandigarh,09 Apr 24,600,0,1
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Hyderabad,05 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Ahmedabad,31 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Hyderabad,27 Mar 24,DNB,DNB,DNB
"INDIA TOUR OF WEST INDIES, 2023",DNB,WI,ODI,"Tarouba, Trinidad",01 Aug 23,DNB,DNB,DNB
"INDIA TOUR OF WEST INDIES, 2023",7 & DNB,WI,Test,"Port of Spain, Trinidad",20 Jul 23,26.9 & DNB,0 & DNB,0 & DNB
"INDIA TOUR OF WEST INDIES, 2023",DNB & DNB,WI,Test,"Roseau, Dominica",12 Jul 23,DNB & DNB,DNB & DNB,DNB & DNB
INDIAN PREMIER LEAGUE 2023,9(7),RCB,T20,Bengaluru,10 Apr 23,128.5,1,0
INDIAN PREMIER LEAGUE 2023,DNB,SRH,T20,Lucknow,07 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Lucknow,01 Apr 23,DNB,DNB,DNB
"INDIA TOUR OF BANGLADESH, 2022",14* & 13,BAN,Test,Dhaka,22 Dec 22,43.7 & 81.2,2 & 0,0 & 1
INDIAN PREMIER LEAGUE 2022,1(1),LSG,T20,Mumbai,24 Apr 22,100,0,0
INDIAN PREMIER LEAGUE 2022,19*(9),CSK,T20,Navi Mumbai,21 Apr 22,211.1,1,1
INDIAN PREMIER LEAGUE 2022,14(6),LSG,T20,Mumbai,16 Apr 22,233.3,2,1
INDIAN PREMIER LEAGUE 2022,12(7),PBKS,T20,Pune,13 Apr 22,171.4,0,1
INDIAN PREMIER LEAGUE 2022,13*(14),RCB,T20,Pune,09 Apr 22,92.8,1,0
INDIAN PREMIER LEAGUE 2021,6(5),KKR,T20,Sharjah,07 Oct 21,120,1,0
INDIAN PREMIER LEAGUE 2021,DNB,SRH,T20,Dubai,27 Sep 21,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2021,DNB,MI,T20,Delhi,29 Apr 21,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2021,DNB,KKR,T20,Mumbai,24 Apr 21,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2021,24(17),CSK,T20,Mumbai,19 Apr 21,141.1,2,1
INDIAN PREMIER LEAGUE 2021,11*(7),DC,T20,Mumbai,15 Apr 21,157.1,0,1
INDIAN PREMIER LEAGUE 2020,DNB,RCB,T20,Dubai,17 Oct 20,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2020,DNB,DC,T20,Dubai,14 Oct 20,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2020,DNB,SRH,T20,Dubai,11 Oct 20,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2020,DNB,RCB,T20,Abu Dhabi,03 Oct 20,DNB,DNB,DNB
