Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,1*(1),DC,T20,Jaipur,01 May 26,100,0,0
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,28 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,2*(2),SRH,T20,Jaipur,25 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,22 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,8(5),KKR,T20,Kolkata,19 Apr 26,160,1,0
INDIAN PREMIER LEAGUE 2026,2(5),SRH,T20,Hyderabad,13 Apr 26,40,0,0
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Guwahati,10 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Guwahati,07 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1*(2),GT,T20,Ahmedabad,04 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Guwahati,30 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,19*(4),IND,T20I,Mumbai,05 Mar 26,475,0,3
ICC MEN'S T20 WORLD CUP 2026,DNB,NZ,T20I,Colombo,27 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,5*(2),PAK,T20I,Pallekele,24 Feb 26,250,1,0
ICC MEN'S T20 WORLD CUP 2026,0(1),SL,T20I,Pallekele,22 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,1*(1),ITA,T20I,Kolkata,16 Feb 26,100,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,SCO,T20I,Kolkata,14 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,6(4),WI,T20I,Mumbai,11 Feb 26,150,1,0
ICC MEN'S T20 WORLD CUP 2026,1(3),NEP,T20I,Mumbai,08 Feb 26,33.3,0,0
ENGLAND TOUR OF SRI LANKA 2026,DNB,SL,T20I,Pallekele,01 Feb 26,DNB,DNB,DNB
ENGLAND TOUR OF SRI LANKA 2026,DNB,SL,T20I,Pallekele,30 Jan 26,DNB,DNB,DNB
"THE ASHES, 2025-26",51 & 3,AUS,Test,Adelaide,17 Dec 25,48.5 & 21.4,5 & 0,1 & 0
"THE ASHES, 2025-26",38 & 5*,AUS,Test,Brisbane,04 Dec 25,105.5 & 55.5,2 & 1,2 & 0
"THE ASHES, 2025-26",0* & 5,AUS,Test,Perth,21 Nov 25,0 & 166.6,0 & 1,0 & 0
"ENGLAND TOUR OF NEW ZEALAND, 2025",16(13),NZ,ODI,Wellington,01 Nov 25,123,2,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",2*(9),NZ,ODI,Hamilton,29 Oct 25,22.2,0,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",DNB,RSA,T20I,Manchester,12 Sep 25,DNB,DNB,DNB
