Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-46,DC,T20,Jaipur,01 May 26,11.5,4,0
INDIAN PREMIER LEAGUE 2026,1-40,PBKS,T20,New Chandigarh,28 Apr 26,10,4,0
INDIAN PREMIER LEAGUE 2026,2-34,SRH,T20,Jaipur,25 Apr 26,8.5,4,0
INDIAN PREMIER LEAGUE 2026,3-20,LSG,T20,Lucknow,22 Apr 26,5,4,1
INDIAN PREMIER LEAGUE 2026,1-35,KKR,T20,Kolkata,19 Apr 26,8.7,4,0
INDIAN PREMIER LEAGUE 2026,2-37,SRH,T20,Hyderabad,13 Apr 26,9.2,4,0
INDIAN PREMIER LEAGUE 2026,2-33,RCB,T20,Guwahati,10 Apr 26,11,3,0
INDIAN PREMIER LEAGUE 2026,1-17,MI,T20,Guwahati,07 Apr 26,8.5,2,0
INDIAN PREMIER LEAGUE 2026,0-38,GT,T20,Ahmedabad,04 Apr 26,9.5,4,0
INDIAN PREMIER LEAGUE 2026,2-19,CSK,T20,Guwahati,30 Mar 26,4.7,4,0
ICC MEN'S T20 WORLD CUP 2026,1-61,IND,T20I,Mumbai,05 Mar 26,15.2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-24,NZ,T20I,Colombo,27 Feb 26,8,3,1
ICC MEN'S T20 WORLD CUP 2026,2-32,PAK,T20I,Pallekele,24 Feb 26,8,4,0
ICC MEN'S T20 WORLD CUP 2026,2-20,SL,T20I,Pallekele,22 Feb 26,6.6,3,0
ICC MEN'S T20 WORLD CUP 2026,2-35,ITA,T20I,Kolkata,16 Feb 26,8.7,4,0
ICC MEN'S T20 WORLD CUP 2026,2-24,SCO,T20I,Kolkata,14 Feb 26,6,4,0
ICC MEN'S T20 WORLD CUP 2026,1-48,WI,T20I,Mumbai,11 Feb 26,12,4,0
ICC MEN'S T20 WORLD CUP 2026,1-42,NEP,T20I,Mumbai,08 Feb 26,10.5,4,0
ENGLAND TOUR OF SRI LANKA 2026,2-42,SL,T20I,Pallekele,01 Feb 26,10.5,4,0
ENGLAND TOUR OF SRI LANKA 2026,0-22,SL,T20I,Pallekele,30 Jan 26,7.3,3,0
"THE ASHES, 2025-26",5-53 & 1-20,AUS,Test,Adelaide,17 Dec 25,2.6 & 1.6,20.2 & 12.4,5 & 2
"THE ASHES, 2025-26",1-87 & 0-28,AUS,Test,Brisbane,04 Dec 25,3.4 & 5.6,25 & 5,3 & 0
"THE ASHES, 2025-26",2-11 & 0-45,AUS,Test,Perth,21 Nov 25,1.2 & 5.6,9 & 8,4 & 0
"ENGLAND TOUR OF NEW ZEALAND, 2025",0-53,NZ,ODI,Wellington,01 Nov 25,5.3,10,2
"ENGLAND TOUR OF NEW ZEALAND, 2025",3-23,NZ,ODI,Hamilton,29 Oct 25,2.3,10,4
"SOUTH AFRICA TOUR OF ENGLAND, 2025",3-25,RSA,T20I,Manchester,12 Sep 25,8.3,3,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",4-18,RSA,ODI,Southampton,07 Sep 25,2,9,3
"SOUTH AFRICA TOUR OF ENGLAND, 2025",4-62,RSA,ODI,London,04 Sep 25,6.2,10,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",0-8,RSA,ODI,Leeds,02 Sep 25,1.6,5,1
"INDIA TOUR OF ENGLAND, 2025",3-73 & 1-78,IND,Test,Manchester,23 Jul 25,2.8 & 3.3,26.1 & 23,3 & 3
"INDIA TOUR OF ENGLAND, 2025",2-52 & 3-55,IND,Test,London,10 Jul 25,2.2 & 3.4,23.2 & 16,6 & 1
INDIAN PREMIER LEAGUE 2025,1-30,KKR,T20,Kolkata,04 May 25,7.5,4,0
