Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,26(22),PBKS,T20,Ahmedabad,03 May 26,118.1,1,2
INDIAN PREMIER LEAGUE 2026,39(19),RCB,T20,Ahmedabad,30 Apr 26,205.2,2,4
INDIAN PREMIER LEAGUE 2026,39*(30),CSK,T20,Chennai,26 Apr 26,130,4,1
INDIAN PREMIER LEAGUE 2026,25(16),RCB,T20,Bengaluru,24 Apr 26,156.2,2,1
INDIAN PREMIER LEAGUE 2026,5(6),MI,T20,Ahmedabad,20 Apr 26,83.3,1,0
INDIAN PREMIER LEAGUE 2026,25(15),KKR,T20,Ahmedabad,17 Apr 26,166.6,2,2
INDIAN PREMIER LEAGUE 2026,60(37),LSG,T20,Lucknow,12 Apr 26,162.1,11,0
INDIAN PREMIER LEAGUE 2026,52(27),DC,T20,Delhi,08 Apr 26,192.5,3,5
INDIAN PREMIER LEAGUE 2026,26(14),RR,T20,Ahmedabad,04 Apr 26,185.7,5,0
INDIAN PREMIER LEAGUE 2026,38(33),PBKS,T20,New Chandigarh,31 Mar 26,115.1,3,2
ICC MEN'S T20 WORLD CUP 2026,25(17),IND,T20I,Mumbai,05 Mar 26,147,4,1
ICC MEN'S T20 WORLD CUP 2026,0(2),NZ,T20I,Colombo,27 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,2(3),PAK,T20I,Pallekele,24 Feb 26,66.6,0,0
ICC MEN'S T20 WORLD CUP 2026,7(14),SL,T20I,Pallekele,22 Feb 26,50,0,0
ICC MEN'S T20 WORLD CUP 2026,3(4),ITA,T20I,Kolkata,16 Feb 26,75,0,0
ICC MEN'S T20 WORLD CUP 2026,3(4),SCO,T20I,Kolkata,14 Feb 26,75,0,0
ICC MEN'S T20 WORLD CUP 2026,21(14),WI,T20I,Mumbai,11 Feb 26,150,2,1
ICC MEN'S T20 WORLD CUP 2026,26(17),NEP,T20I,Mumbai,08 Feb 26,152.9,5,0
ENGLAND TOUR OF SRI LANKA 2026,25(21),SL,T20I,Pallekele,03 Feb 26,119,2,1
ENGLAND TOUR OF SRI LANKA 2026,39(29),SL,T20I,Pallekele,01 Feb 26,134.4,6,0
ENGLAND TOUR OF SRI LANKA 2026,17(10),SL,T20I,Pallekele,30 Jan 26,170,4,0
ENGLAND TOUR OF SRI LANKA 2026,DNB,SL,ODI,Colombo,27 Jan 26,DNB,DNB,DNB
ENGLAND TOUR OF SRI LANKA 2026,33*(21),SL,ODI,Colombo,24 Jan 26,157.1,3,1
ENGLAND TOUR OF SRI LANKA 2026,19(20),SL,ODI,Colombo,22 Jan 26,95,0,1
"ENGLAND TOUR OF NEW ZEALAND, 2025",38(56),NZ,ODI,Wellington,01 Nov 25,67.8,7,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",9(10),NZ,ODI,Hamilton,29 Oct 25,90,0,1
"ENGLAND TOUR OF NEW ZEALAND, 2025",4(8),NZ,ODI,Mount Maunganui,26 Oct 25,50,1,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",4(3),NZ,T20I,Christchurch,20 Oct 25,133.3,1,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",29(25),NZ,T20I,Christchurch,18 Oct 25,116,2,1
"ENGLAND TOUR OF IRELAND, 2025",0(2),IRE,T20I,Dublin,21 Sep 25,0,0,0
"ENGLAND TOUR OF IRELAND, 2025",28(10),IRE,T20I,Dublin,17 Sep 25,280,5,1
