Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,4-24,JPN,T20I,Nisshin,09 May 26,6,4,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,2-10,FIJI,T20I,Nisshin,08 May 26,5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-24,WSM,T20I,Apia,24 Aug 24,12,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2-25,FIJI,T20I,Apia,23 Aug 24,6.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-31,CIS,T20I,Apia,21 Aug 24,7.7,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-24,WSM,T20I,Apia,20 Aug 24,8,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-21,FIJI,T20I,Apia,19 Aug 24,10.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-31,CIS,T20I,Apia,17 Aug 24,7.7,4,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",2-23,KUW,T20I,Kuala Lumpur,11 Mar 24,5.7,4,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",0-39,BHR,T20I,Kuala Lumpur,10 Mar 24,13,3,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",1-29,KUW,T20I,Kuala Lumpur,07 Mar 24,13.8,2.1,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",1-33,MLY,T20I,Kuala Lumpur,06 Mar 24,8.2,4,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",3-21,TAN,T20I,Kuala Lumpur,05 Mar 24,5.2,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0-19,PHI,T20I,Port Moresby,29 Jul 23,4.7,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,1-23,JPN,T20I,Port Moresby,28 Jul 23,5.7,4,1
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0-25,PNG,T20I,Port Moresby,26 Jul 23,8.3,3,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,2-17,PHI,T20I,Port Moresby,25 Jul 23,4.2,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,2-22,JPN,T20I,Port Moresby,23 Jul 23,5.5,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0-10,PNG,T20I,Port Moresby,22 Jul 23,10,1,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-21,CIS,T20I,Port Vila,15 Sep 22,10.5,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-22,FIJI,T20I,Port Vila,13 Sep 22,7.3,3,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-13,WSM,T20I,Port Vila,13 Sep 22,3.2,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-27,WSM,T20I,Port Vila,10 Sep 22,6.7,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-45,CIS,T20I,Port Vila,10 Sep 22,11.2,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-16,FIJI,T20I,Port Vila,08 Sep 22,4,4,0
"VANUATU TOUR OF MALAYSIA, 2019",0-8,MLY,T20I,Kuala Lumpur,02 Oct 19,8,1,0
