Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",DNB,CHNW,T20I,Mong Kok,08 May 26,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",DNB,MLYW,T20I,Mong Kok,07 May 26,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,04 Dec 25,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,03 Dec 25,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,01 Dec 25,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,30 Nov 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MMRW,T20I,Hangzhou,25 Sep 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,0(1),CHNW,T20I,Hangzhou,23 Sep 25,0,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,11*(18),MGLW,T20I,Hangzhou,22 Sep 25,61.1,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,4(9),MMRW,T20I,Hangzhou,20 Sep 25,44.4,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,1*(6),NEPW,T20I,Entebbe,14 Mar 25,16.6,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0(1),NAMW,T20I,Entebbe,13 Mar 25,0,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,DNB,UGAW,T20I,Entebbe,12 Mar 25,DNB,DNB,DNB
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,DNB,NEPW,T20I,Entebbe,10 Mar 25,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",DNB,CHNW,T20I,Mong Kok,08 Dec 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,JPNW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,MGLW,T20I,Incheon,10 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,CHNW,T20I,Incheon,09 Oct 24,DNB,DNB,DNB
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",DNB,NEDW,T20I,Utrecht,19 Jun 24,DNB,DNB,DNB
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",2(5),NEDW,T20I,Utrecht,19 Jun 24,40,0,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",DNB,NEDW,T20I,Utrecht,18 Jun 24,DNB,DNB,DNB
