Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,0(9),CIS,T20I,Nisshin,08 May 26,0,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3(8),PHI,T20I,Incheon,05 Oct 24,37.5,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3(13),JPN,T20I,Incheon,04 Oct 24,23,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1(3),IDN,T20I,Incheon,02 Oct 24,33.3,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",6(10),PHI,T20I,Incheon,01 Oct 24,60,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0(3),JPN,T20I,Incheon,29 Sep 24,0,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",2(5),IDN,T20I,Incheon,28 Sep 24,40,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",19(21),IDN,T20I,"Sano, Kanto",18 Oct 22,90.4,0,2
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",5(7),JPN,T20I,"Sano, Kanto",17 Oct 22,71.4,1,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",26(21),JPN,T20I,"Sano, Kanto",15 Oct 22,123.8,2,2
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",21(28),IDN,T20I,"Sano, Kanto",15 Oct 22,75,2,1
