Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",2-36,Malta,T20I,Marsa,08 May 26,9,4,0
"GIBRALTAR TOUR OF MALTA, 2026",0-25,Malta,T20I,Marsa,08 May 26,12.5,2,0
"GIBRALTAR TOUR OF MALTA, 2026",0-38,Malta,T20I,Marsa,07 May 26,9.5,4,0
"GIBRALTAR TOUR OF MALTA, 2026",1-20,Malta,T20I,Marsa,07 May 26,10,2,0
BULGARIA T20I TRI-SERIES 2025,0-56,BGR,T20I,Sofia,13 Jul 25,18.6,3,0
BULGARIA T20I TRI-SERIES 2025,2-46,TKY,T20I,Sofia,12 Jul 25,11.5,4,0
BULGARIA T20I TRI-SERIES 2025,1-20,BGR,T20I,Sofia,11 Jul 25,20,1,0
BULGARIA T20I TRI-SERIES 2025,1-21,TKY,T20I,Sofia,11 Jul 25,7,3,0
BULGARIA T20I TRI-SERIES 2025,1-43,BGR,T20I,Sofia,10 Jul 25,14.3,3,0
"SERBIA TOUR OF GIBRALTAR, 2024",1-22,SRB,T20I,Gibraltar,30 Sep 24,5.5,4,1
"SERBIA TOUR OF GIBRALTAR, 2024",1-27,SRB,T20I,Gibraltar,30 Sep 24,6.7,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-27,SWE,T20I,Krefeld,11 Jul 24,13.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",3-32,SLV,T20I,Krefeld,10 Jul 24,8,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",1-17,GER,T20I,Krefeld,08 Jul 24,8.5,2,0
CONTINENTAL CUP 2024,1-24,HUN,T20I,Ilfov County,26 May 24,8,3,0
CONTINENTAL CUP 2024,1-29,ROM,T20I,Ilfov County,25 May 24,7.2,4,0
CONTINENTAL CUP 2024,0-22,HUN,T20I,Ilfov County,24 May 24,7.3,3,0
CONTINENTAL CUP 2024,0-22,BGR,T20I,Ilfov County,24 May 24,5.5,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,0-30,LUX,T20I,Gibraltar,15 Oct 23,7.5,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,2-28,LUX,T20I,Gibraltar,15 Oct 23,7,4,0
SERBIA TOUR OF GIBRALTAR 2023,0-13,SRB,T20I,Gibraltar,05 Oct 23,3.2,4,0
SERBIA TOUR OF GIBRALTAR 2023,1-14,SRB,T20I,Gibraltar,05 Oct 23,3.5,4,0
ESTONIA TOUR OF GIBRALTAR 2023,0-14,EST,T20I,Gibraltar,30 Sep 23,14,1,0
ESTONIA TOUR OF GIBRALTAR 2023,0-42,EST,T20I,Gibraltar,30 Sep 23,10.5,4,0
GIBRALTAR T20I TRI-SERIES 2023,3-25,Malta,T20I,Gibraltar,07 May 23,6.2,4,0
GIBRALTAR T20I TRI-SERIES 2023,1-26,PORT,T20I,Gibraltar,07 May 23,10.4,2.5,0
GIBRALTAR T20I TRI-SERIES 2023,3-16,Malta,T20I,Gibraltar,06 May 23,4,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-5,PORT,T20I,Gibraltar,06 May 23,5,1,0
GIBRALTAR T20I TRI-SERIES 2023,0-18,Malta,T20I,Gibraltar,05 May 23,4.5,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-42,PORT,T20I,Gibraltar,04 May 23,10.5,4,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",2-26,PORT,T20I,Albergaria,11 Apr 23,6.5,4,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-28,PORT,T20I,Albergaria,11 Apr 23,7,4,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",1-36,PORT,T20I,Albergaria,10 Apr 23,9,4,0
