Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,0(1),WSM,T20I,"Sano, Kanto",09 May 26,0,0,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,45(35),PHI,T20I,"Sano, Kanto",08 May 26,128.5,5,1
"INDONESIA TOUR OF MALAYSIA, 2026",32*(36),MLY,T20I,Kuala Lumpur,05 May 26,88.8,2,0
"INDONESIA TOUR OF MALAYSIA, 2026",15(25),MLY,T20I,Kuala Lumpur,04 May 26,60,1,0
"INDONESIA TOUR OF MALAYSIA, 2026",18(25),MLY,T20I,Kuala Lumpur,02 May 26,72,0,1
"INDONESIA TOUR OF MALAYSIA, 2026",42(62),MLY,T20I,Kuala Lumpur,01 May 26,67.7,3,0
"SWEDEN TOUR OF INDONESIA, 2026",4(4),SWE,T20I,Bali,13 Apr 26,100,0,0
"SWEDEN TOUR OF INDONESIA, 2026",2(5),SWE,T20I,Bali,13 Apr 26,40,0,0
"SWEDEN TOUR OF INDONESIA, 2026",14(11),SWE,T20I,Bali,11 Apr 26,127.2,2,0
"SWEDEN TOUR OF INDONESIA, 2026",4*(3),SWE,T20I,Bali,11 Apr 26,133.3,0,0
"SWEDEN TOUR OF INDONESIA, 2026",24(21),SWE,T20I,Bali,09 Apr 26,114.2,1,1
"SWEDEN TOUR OF INDONESIA, 2026",16(12),SWE,T20I,Bali,09 Apr 26,133.3,1,1
"CAMBODIA TOUR OF INDONESIA, 2025",DNB,CBD,T20I,Bali,29 Dec 25,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",DNB,CBD,T20I,Bali,28 Dec 25,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",36(39),CBD,T20I,Bali,28 Dec 25,92.3,1,1
"CAMBODIA TOUR OF INDONESIA, 2025",DNB,CBD,T20I,Bali,26 Dec 25,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",38(23),CBD,T20I,Bali,26 Dec 25,165.2,5,1
"CAMBODIA TOUR OF INDONESIA, 2025",31*(17),CBD,T20I,Bali,25 Dec 25,182.3,2,2
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,3(6),SIN,T20I,Bangkok,12 Dec 25,50,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,4(10),PHI,T20I,Bangkok,11 Dec 25,40,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0(1),MLY,T20I,Bangkok,10 Dec 25,0,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,8(12),THAI,T20I,Bangkok,09 Dec 25,66.6,1,0
INDONESIA TRI-SERIES 2025,DNB,MMR,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,11 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,5(8),MMR,T20I,Bali,11 Nov 25,62.5,0,0
INDONESIA T20I TRI-SERIES 2025,DNB,SKR,T20I,Bali,13 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,3(3),PHI,T20I,Bali,13 Jul 25,100,0,0
INDONESIA T20I TRI-SERIES 2025,10(10),SKR,T20I,Bali,12 Jul 25,100,0,1
INDONESIA T20I TRI-SERIES 2025,1(4),PHI,T20I,Bali,10 Jul 25,25,0,0
INDONESIA T20I TRI-SERIES 2025,DNB,SKR,T20I,Bali,09 Jul 25,DNB,DNB,DNB
