Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Ahmedabad,03 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Ahmedabad,30 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Chennai,26 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,24 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,12(14),MI,T20,Ahmedabad,20 Apr 26,85.7,2,0
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Ahmedabad,17 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,12 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,08 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,23*(16),RR,T20,Ahmedabad,04 Apr 26,143.7,1,2
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,31 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,0(1),NZ,T20I,Kolkata,04 Mar 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,WI,T20I,Ahmedabad,26 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,0*(1),IND,T20I,Ahmedabad,22 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,UAE,T20I,Delhi,18 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,NZ,T20I,Ahmedabad,14 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,AFG,T20I,Ahmedabad,11 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,CAN,T20I,Ahmedabad,09 Feb 26,DNB,DNB,DNB
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",DNB,WI,T20I,Centurion,29 Jan 26,DNB,DNB,DNB
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",DNB,WI,T20I,Paarl,27 Jan 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",71 & DNB,PAK,Test,Rawalpindi,20 Oct 25,116.3 & DNB,4 & DNB,4 & DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0 & 0,PAK,Test,Lahore,12 Oct 25,0 & 0,0 & 0,0 & 0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",9(4),ENG,T20I,Manchester,12 Sep 25,225,2,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",DNB,ENG,T20I,Cardiff,10 Sep 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",4*(2),AUS,T20I,Cairns,16 Aug 25,200,1,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",5(4),AUS,T20I,Darwin,12 Aug 25,125,1,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",10(6),AUS,T20I,Darwin,10 Aug 25,166.6,0,1
ICC WORLD TEST CHAMPIONSHIP FINAL 2025,1 & DNB,AUS,Test,London,11 Jun 25,16.6 & DNB,0 & DNB,0 & DNB
INDIAN PREMIER LEAGUE 2025,2(3),LSG,T20,Ahmedabad,22 May 25,66.6,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,7*(5),MI,T20,Ahmedabad,29 Mar 25,140,0,1
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Ahmedabad,25 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",16(22),NZ,ODI,Lahore,05 Mar 25,72.7,2,0
"ICC CHAMPIONS TROPHY, 2025",DNB,ENG,ODI,Karachi,01 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",DNB,AFG,ODI,Karachi,21 Feb 25,DNB,DNB,DNB
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",6* & DNB,PAK,Test,Cape Town,03 Jan 25,60 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",13 & 31*,PAK,Test,Centurion,26 Dec 24,86.6 & 119.2,1 & 5,0 & 0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",14(13),PAK,ODI,Johannesburg,22 Dec 24,107.6,1,1
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",11(22),PAK,ODI,Paarl,17 Dec 24,50,1,0
"SRI LANKA TOUR OF SOUTH AFRICA, 2024",23 & 8,SL,Test,Gqeberha,05 Dec 24,57.5 & 100,5 & 2,0 & 0
"SRI LANKA TOUR OF SOUTH AFRICA, 2024",15 & DNB,SL,Test,Durban,27 Nov 24,65.2 & DNB,2 & DNB,0 & DNB
"SOUTH AFRICA TOUR OF BANGLADESH, 2024",DNB & DNB,BAN,Test,Chattogram,29 Oct 24,DNB & DNB,DNB & DNB,DNB & DNB
"SOUTH AFRICA TOUR OF BANGLADESH, 2024",2* & DNB,BAN,Test,Dhaka,21 Oct 24,40 & DNB,0 & DNB,0 & DNB
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",0 & 6,WI,Test,Guyana,15 Aug 24,0 & 26,0 & 1,0 & 0
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",21 & DNB,WI,Test,"Port of Spain, Trinidad",07 Aug 24,65.6 & DNB,4 & DNB,0 & DNB
ICC MENS T20 WORLD CUP 2024,4(3),IND,T20I,"Bridgetown, Barbados",29 Jun 24,133.3,1,0
ICC MENS T20 WORLD CUP 2024,DNB,AFG,T20I,"Tarouba, Trinidad",26 Jun 24,DNB,DNB,DNB
ICC MENS T20 WORLD CUP 2024,5*(3),WI,T20I,"North Sound, Antigua",23 Jun 24,166.6,1,0
ICC MENS T20 WORLD CUP 2024,DNB,ENG,T20I,"Gros Islet, St Lucia",21 Jun 24,DNB,DNB,DNB
ICC MENS T20 WORLD CUP 2024,DNB,USA,T20I,"North Sound, Antigua",19 Jun 24,DNB,DNB,DNB
