Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,2-25,DC,T20,Delhi,08 May 26,6.2,4,0
INDIAN PREMIER LEAGUE 2026,2-30,SRH,T20,Hyderabad,03 May 26,7.5,4,0
INDIAN PREMIER LEAGUE 2026,1-41,LSG,T20,Lucknow,26 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,3-22,RR,T20,Kolkata,19 Apr 26,5.5,4,0
INDIAN PREMIER LEAGUE 2026,0-40,GT,T20,Ahmedabad,17 Apr 26,10,4,0
INDIAN PREMIER LEAGUE 2026,2-35,CSK,T20,Chennai,14 Apr 26,8.7,4,0
INDIAN PREMIER LEAGUE 2026,1-31,LSG,T20,Kolkata,09 Apr 26,10.3,3,0
INDIAN PREMIER LEAGUE 2026,1-48,SRH,T20,Kolkata,02 Apr 26,12,4,0
INDIAN PREMIER LEAGUE 2026,1-43,MI,T20,Mumbai,29 Mar 26,10.7,4,0
INDIAN PREMIER LEAGUE 2024,0-51,CSK,T20,Ahmedabad,10 May 24,12.7,4,0
INDIAN PREMIER LEAGUE 2023,0-41,MI,T20,Mumbai,21 May 23,16.4,2.5,0
INDIAN PREMIER LEAGUE 2023,0-21,RCB,T20,Hyderabad,18 May 23,17.5,1.2,0
INDIAN PREMIER LEAGUE 2023,1-30,KKR,T20,Hyderabad,04 May 23,15,2,0
INDIAN PREMIER LEAGUE 2022,1-42,RCB,T20,Mumbai,08 May 22,10.5,4,0
INDIAN PREMIER LEAGUE 2022,0-37,DC,T20,Mumbai,05 May 22,9.2,4,0
INDIAN PREMIER LEAGUE 2021,0-23,RCB,T20,Dubai,29 Sep 21,11.5,2,0
INDIAN PREMIER LEAGUE 2021,1-40,DC,T20,Abu Dhabi,25 Sep 21,10,4,0
INDIAN PREMIER LEAGUE 2021,2-29,PBKS,T20,Dubai,21 Sep 21,7.2,4,0
INDIAN PREMIER LEAGUE 2021,1-32,SRH,T20,Delhi,02 May 21,8,4,0
INDIAN PREMIER LEAGUE 2020,2-36,KKR,T20,Dubai,01 Nov 20,9,4,0
INDIAN PREMIER LEAGUE 2020,0-47,PBKS,T20,Abu Dhabi,30 Oct 20,11.7,4,0
INDIAN PREMIER LEAGUE 2020,1-45,MI,T20,Abu Dhabi,25 Oct 20,11.2,4,0
INDIAN PREMIER LEAGUE 2020,0-42,SRH,T20,Dubai,22 Oct 20,13.5,3.1,0
INDIAN PREMIER LEAGUE 2020,1-35,CSK,T20,Abu Dhabi,19 Oct 20,8.7,4,0
INDIAN PREMIER LEAGUE 2020,1-32,RCB,T20,Dubai,17 Oct 20,8,4,0
INDIAN PREMIER LEAGUE 2020,1-30,DC,T20,Dubai,14 Oct 20,7.5,4,0
INDIAN PREMIER LEAGUE 2020,1-29,SRH,T20,Dubai,11 Oct 20,9.6,3,0
INDIAN PREMIER LEAGUE 2020,1-35,DC,T20,Sharjah,09 Oct 20,8.7,4,0
INDIAN PREMIER LEAGUE 2020,1-36,MI,T20,Abu Dhabi,06 Oct 20,9,4,0
