Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",5(7),CHNW,T20I,Mong Kok,08 May 26,71.4,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",18*(10),MLYW,T20I,Mong Kok,07 May 26,180,1,1
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2*(2),BTNW,T20I,Gelephu,29 Jan 26,100,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,26 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,11(19),BTNW,T20I,Gelephu,25 Jan 26,57.8,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,40(20),BTNW,T20I,Gelephu,22 Jan 26,200,4,2
BHUTAN WOMEN'S T20I TRI-SERIES 2026,4(4),MLYW,T20I,Gelephu,21 Jan 26,100,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",21(19),MLYW,T20I,Kuala Lumpur,04 Dec 25,110.5,1,1
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0(3),MLYW,T20I,Kuala Lumpur,03 Dec 25,0,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",44*(33),MLYW,T20I,Kuala Lumpur,01 Dec 25,133.3,5,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",12(24),MLYW,T20I,Kuala Lumpur,30 Nov 25,50,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,25(34),MMRW,T20I,Hangzhou,25 Sep 25,73.5,3,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,12(15),CHNW,T20I,Hangzhou,23 Sep 25,80,2,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,5(5),MGLW,T20I,Hangzhou,22 Sep 25,100,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,18(28),MMRW,T20I,Hangzhou,20 Sep 25,64.2,1,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,36(33),JPNW,T20I,"Sano, Kanto",08 Jun 25,109,4,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,36(30),JPNW,T20I,"Sano, Kanto",04 Jun 25,120,4,1
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,NEPW,T20I,Bangkok,13 May 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,21(13),KUWW,T20I,Bangkok,06 May 25,161.5,3,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,17(20),THAIW,T20I,Bangkok,04 May 25,85,3,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,2(3),UAEW,T20I,Bangkok,03 May 25,66.6,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,16(29),NEPW,T20I,Entebbe,14 Mar 25,55.1,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0(4),NAMW,T20I,Entebbe,13 Mar 25,0,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,5(11),UGAW,T20I,Entebbe,12 Mar 25,45.4,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,12(16),NEPW,T20I,Entebbe,10 Mar 25,75,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2(4),NAMW,T20I,Entebbe,09 Mar 25,50,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,10(18),UGAW,T20I,Entebbe,08 Mar 25,55.5,1,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",12(24),CHNW,T20I,Mong Kok,08 Dec 24,50,1,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",5(22),NAMW,T20I,Mong Kok,07 Dec 24,22.7,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",20(13),THAIW,T20I,Mong Kok,05 Dec 24,153.8,2,1
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",52*(40),CHNW,T20I,Mong Kok,04 Dec 24,130,4,1
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",30*(27),CHNW,T20I,Hangzhou,10 Nov 24,111.1,3,1
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",5*(3),MGLW,T20I,Hangzhou,09 Nov 24,166.6,1,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",41(45),CHNW,T20I,Hangzhou,08 Nov 24,91.1,3,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",5(9),MMRW,T20I,Hangzhou,07 Nov 24,55.5,1,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",22(26),NEDW,T20I,Utrecht,19 Jun 24,84.6,1,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",23(23),NEDW,T20I,Utrecht,19 Jun 24,100,3,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",13(10),NEDW,T20I,Utrecht,18 Jun 24,130,2,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",7(14),NEDW,T20I,Utrecht,17 Jun 24,50,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,1(4),THAIW,T20I,Kuala Lumpur,14 Feb 24,25,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,69*(60),BTNW,T20I,Bangi,13 Feb 24,115,8,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,87(47),MDVW,T20I,Kuala Lumpur,11 Feb 24,185.1,14,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,21(31),NEPW,T20I,Kuala Lumpur,10 Feb 24,67.7,3,0
WOMENS T20I QUADRANGULAR SERIES IN HONG KONG 2023,6(9),TANW,T20I,Mong Kok,19 Nov 23,66.6,0,0
WOMENS T20I QUADRANGULAR SERIES IN HONG KONG 2023,DNB,TANW,T20I,Mong Kok,18 Nov 23,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN HONG KONG 2023,DNB,NEPW,T20I,Mong Kok,16 Nov 23,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN HONG KONG 2023,DNB,JPNW,T20I,Mong Kok,15 Nov 23,DNB,DNB,DNB
"ASIAN GAMES WOMENS T20I, 2023",70(39),MGLW,T20I,Hangzhou,20 Sep 23,179.4,11,1
"ASIAN GAMES WOMENS T20I, 2023",3(3),MLYW,T20I,Hangzhou,19 Sep 23,100,0,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,24(27),MLYW,T20I,Kuala Lumpur,13 Sep 23,88.8,2,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,36*(43),MLYW,T20I,Kuala Lumpur,12 Sep 23,83.7,3,0
