Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",0-26,Malta,T20I,Marsa,08 May 26,13,2,0
"GIBRALTAR TOUR OF MALTA, 2026",1-42,Malta,T20I,Marsa,07 May 26,10.5,4,0
BULGARIA T20I TRI-SERIES 2025,0-24,BGR,T20I,Sofia,13 Jul 25,8,3,0
BULGARIA T20I TRI-SERIES 2025,1-18,TKY,T20I,Sofia,12 Jul 25,6,3,0
BULGARIA T20I TRI-SERIES 2025,1-34,BGR,T20I,Sofia,11 Jul 25,15.4,2.2,0
BULGARIA T20I TRI-SERIES 2025,3-19,TKY,T20I,Sofia,11 Jul 25,6.3,3,0
BULGARIA T20I TRI-SERIES 2025,2-27,BGR,T20I,Sofia,10 Jul 25,6.7,4,0
"SERBIA TOUR OF GIBRALTAR, 2024",1-2,SRB,T20I,Gibraltar,30 Sep 24,2,1,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,0-13,LUX,T20I,Gibraltar,15 Oct 23,6.5,2,0
GIBRALTAR T20I TRI-SERIES 2023,2-45,PORT,T20I,Gibraltar,07 May 23,11.2,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-14,PORT,T20I,Gibraltar,06 May 23,14,1,0
VALLETTA CUP 2022,0-20,CZE,T20I,Marsa,11 May 22,10,2,0
VALLETTA CUP 2022,0-13,Malta,T20I,Marsa,10 May 22,4.3,3,0
VALLETTA CUP 2022,0-28,HUN,T20I,Marsa,10 May 22,14,2,0
"GIBRALTAR TOUR OF MALTA, 2021",3-37,Malta,T20I,Marsa,25 Oct 21,9.2,4,0
VALLETTA CUP 2021,0-24,BGR,T20I,Marsa,24 Oct 21,8,3,0
VALLETTA CUP 2021,1-33,BGR,T20I,Marsa,23 Oct 21,8.2,4,0
VALLETTA CUP 2021,0-20,SUI,T20I,Marsa,22 Oct 21,10,2,0
VALLETTA CUP 2021,1-32,Malta,T20I,Marsa,21 Oct 21,8,4,0
IBERIA CUP 2019,0-36,PORT,T20I,"Cartagena, Murcia",27 Oct 19,11.2,3.2,0
IBERIA CUP 2019,0-18,ESP,T20I,"Cartagena, Murcia",26 Oct 19,6,3,0
