Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Chennai,14 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Chennai,11 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Chennai,03 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Guwahati,30 Mar 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Delhi,20 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,07 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,03 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Chennai,30 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(2),SRH,T20,Chennai,25 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Mumbai,20 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,14 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Chennai,11 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,New Chandigarh,08 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Chennai,05 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Guwahati,30 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Chennai,28 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Chennai,23 Mar 25,DNB,DNB,DNB
"INDIA TOUR OF SRI LANKA, 2024",DNB,SL,T20I,Pallekele,30 Jul 24,DNB,DNB,DNB
"INDIA TOUR OF ZIMBABWE, 2024",DNB,ZIM,T20I,Harare,13 Jul 24,DNB,DNB,DNB
"INDIA TOUR OF ZIMBABWE, 2024",DNB,ZIM,T20I,Harare,10 Jul 24,DNB,DNB,DNB
"INDIA TOUR OF ZIMBABWE, 2024",0*(1),ZIM,T20I,Harare,06 Jul 24,0,0,0
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Delhi,14 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,12 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,Delhi,07 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Kolkata,29 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Delhi,27 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Delhi,24 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Delhi,20 Apr 24,DNB,DNB,DNB
