Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",58*(43),Malta,T20I,Marsa,08 May 26,134.8,7,0
"GIBRALTAR TOUR OF MALTA, 2026",33(21),Malta,T20I,Marsa,08 May 26,157.1,4,1
"GIBRALTAR TOUR OF MALTA, 2026",5(9),Malta,T20I,Marsa,07 May 26,55.5,0,0
"GIBRALTAR TOUR OF MALTA, 2026",50(31),Malta,T20I,Marsa,07 May 26,161.2,4,3
"SERBIA TOUR OF GIBRALTAR, 2024",4*(8),SRB,T20I,Gibraltar,30 Sep 24,50,0,0
"SERBIA TOUR OF GIBRALTAR, 2024",DNB,SRB,T20I,Gibraltar,30 Sep 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",7*(8),NOR,T20I,Krefeld,13 Jul 24,87.5,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",30(21),SWE,T20I,Krefeld,11 Jul 24,142.8,4,0
VALLETTA CUP 2022,19(18),BGR,T20I,Marsa,15 May 22,105.5,1,0
VALLETTA CUP 2022,DNB,CZE,T20I,Marsa,11 May 22,DNB,DNB,DNB
VALLETTA CUP 2022,13(30),Malta,T20I,Marsa,10 May 22,43.3,0,0
VALLETTA CUP 2022,24(22),HUN,T20I,Marsa,10 May 22,109,4,0
"GIBRALTAR TOUR OF MALTA, 2021",35*(25),Malta,T20I,Marsa,25 Oct 21,140,2,1
