Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,1(5),CIS,T20I,Nisshin,08 May 26,20,0,0
INDONESIA T20I TRI-SERIES 2025,3(7),IDN,T20I,Bali,13 Jul 25,42.8,0,0
INDONESIA T20I TRI-SERIES 2025,9(8),PHI,T20I,Bali,12 Jul 25,112.5,0,1
INDONESIA T20I TRI-SERIES 2025,9(11),IDN,T20I,Bali,12 Jul 25,81.8,0,0
INDONESIA T20I TRI-SERIES 2025,3(6),PHI,T20I,Bali,10 Jul 25,50,0,0
INDONESIA T20I TRI-SERIES 2025,DNB,PHI,T20I,Bali,09 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,7(24),IDN,T20I,Bali,09 Jul 25,29.1,0,0
INDONESIA T20I TRI-SERIES 2025,0(4),IDN,T20I,Bali,08 Jul 25,0,0,0
INDONESIA T20I TRI-SERIES 2025,16(12),PHI,T20I,Bali,07 Jul 25,133.3,0,2
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",DNB,JPN,T20I,"Sano, Kanto",15 Oct 22,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",2(7),IDN,T20I,"Sano, Kanto",15 Oct 22,28.5,0,0
