Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-41,KKR,T20,Delhi,08 May 26,13.6,3,0
INDIAN PREMIER LEAGUE 2026,0-34,CSK,T20,Delhi,05 May 26,11.3,3,0
INDIAN PREMIER LEAGUE 2026,0-41,RR,T20,Jaipur,01 May 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,2-46,PBKS,T20,Delhi,25 Apr 26,11.5,4,0
INDIAN PREMIER LEAGUE 2026,0-30,SRH,T20,Hyderabad,21 Apr 26,15,2,0
INDIAN PREMIER LEAGUE 2026,2-32,RCB,T20,Bengaluru,18 Apr 26,8,4,0
INDIAN PREMIER LEAGUE 2026,0-24,CSK,T20,Chennai,11 Apr 26,12,2,0
INDIAN PREMIER LEAGUE 2026,1-42,GT,T20,Delhi,08 Apr 26,10.5,4,0
INDIAN PREMIER LEAGUE 2026,0-31,MI,T20,Delhi,04 Apr 26,10.3,3,0
INDIAN PREMIER LEAGUE 2026,2-31,LSG,T20,Lucknow,01 Apr 26,7.7,4,0
ICC MEN'S T20 WORLD CUP 2026,1-14,PAK,T20I,Colombo,15 Feb 26,4.6,3,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-39,NZ,T20I,Visakhapatnam,28 Jan 26,9.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-32,NZ,T20I,Guwahati,25 Jan 26,10.6,3,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-35,NZ,T20I,Raipur,23 Jan 26,8.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-48,NZ,ODI,Indore,18 Jan 26,8,6,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-82,NZ,ODI,Rajkot,14 Jan 26,8.2,10,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-52,NZ,ODI,Vadodara,11 Jan 26,5.7,9,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-12,RSA,T20I,Dharamsala,14 Dec 25,6,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",4-41,RSA,ODI,Visakhapatnam,06 Dec 25,4.1,10,1
"SOUTH AFRICA TOUR OF INDIA, 2025",1-78,RSA,ODI,Raipur,03 Dec 25,7.8,10,0
"SOUTH AFRICA TOUR OF INDIA, 2025",4-68,RSA,ODI,Ranchi,30 Nov 25,6.8,10,0
"SOUTH AFRICA TOUR OF INDIA, 2025",4-115 & 0-48,RSA,Test,Guwahati,22 Nov 25,3.9 & 4,29.1 & 12,4 & 0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-36 & 2-30,RSA,Test,Kolkata,14 Nov 25,2.5 & 3.7,14 & 8,1 & 1
"INDIA TOUR OF AUSTRALIA, 2025",2-45,AUS,T20I,Melbourne,31 Oct 25,14,3.2,0
