Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-48,RR,T20,Jaipur,01 May 26,12,4,0
INDIAN PREMIER LEAGUE 2026,1-42,RCB,T20,Delhi,27 Apr 26,14,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",0-43,RSA,T20I,Christchurch,25 Mar 26,10.7,4,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",2-29,RSA,T20I,Wellington,22 Mar 26,7.2,4,1
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",2-42,RSA,T20I,Auckland,20 Mar 26,10.5,4,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",0-22,RSA,T20I,Hamilton,17 Mar 26,7.3,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",1-28,RSA,T20I,Mount Maunganui,15 Mar 26,8.2,3.4,0
ICC MEN'S T20 WORLD CUP 2026,1-41,CAN,T20I,Chennai,17 Feb 26,10.2,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-59,IND,T20I,Thiruvananthapuram,31 Jan 26,14.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-17,IND,T20I,Guwahati,25 Jan 26,17,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-54,IND,T20I,Nagpur,21 Jan 26,13.5,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-58,IND,ODI,Indore,18 Jan 26,6.4,9,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-70,IND,ODI,Rajkot,14 Jan 26,7,10,2
"NEW ZEALAND TOUR OF INDIA, 2026",4-41,IND,ODI,Vadodara,11 Jan 26,4.1,10,1
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-44,WI,ODI,Hamilton,22 Nov 25,4.8,9,1
"WEST INDIES TOUR OF NEW ZEALAND, 2025",3-44,WI,ODI,Napier,19 Nov 25,6.2,7,2
"WEST INDIES TOUR OF NEW ZEALAND, 2025",3-52,WI,ODI,Christchurch,16 Nov 25,5.2,10,1
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-13,WI,T20I,Dunedin,13 Nov 25,6.5,2,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",0-15,WI,T20I,Nelson,10 Nov 25,7.5,2,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-35,WI,T20I,Nelson,09 Nov 25,10,3.5,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-51,WI,T20I,Auckland,06 Nov 25,12.7,4,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-30,WI,T20I,Auckland,05 Nov 25,7.5,4,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",2-47,ENG,T20I,Christchurch,20 Oct 25,11.7,4,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-27,ENG,T20I,Christchurch,18 Oct 25,6.7,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2025",1-46,AUS,T20I,Mount Maunganui,01 Oct 25,11.5,4,0
INDIAN PREMIER LEAGUE 2025,3-48,RCB,T20,Ahmedabad,03 Jun 25,12,4,0
INDIAN PREMIER LEAGUE 2025,1-30,MI,T20,Ahmedabad,01 Jun 25,7.5,4,0
INDIAN PREMIER LEAGUE 2025,1-27,RCB,T20,New Chandigarh,29 May 25,9,3,1
INDIAN PREMIER LEAGUE 2025,0-42,MI,T20,Jaipur,26 May 25,10.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-54,PAK,T20I,Auckland,21 Mar 25,13.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",3-8,PAK,T20I,Christchurch,16 Mar 25,2,4,1
"ICC CHAMPIONS TROPHY, 2025",1-24,IND,ODI,Dubai,09 Mar 25,4.8,5,0
"ICC CHAMPIONS TROPHY, 2025",0-57,RSA,ODI,Lahore,05 Mar 25,8.1,7,1
"ICC CHAMPIONS TROPHY, 2025",1-31,IND,ODI,Dubai,02 Mar 25,3.8,8,0
