Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",2-31,Malta,T20I,Marsa,08 May 26,7.7,4,0
"GIBRALTAR TOUR OF MALTA, 2026",1-43,Malta,T20I,Marsa,07 May 26,10.7,4,0
"GIBRALTAR TOUR OF MALTA, 2026",1-22,Malta,T20I,Marsa,07 May 26,11,2,0
BULGARIA T20I TRI-SERIES 2025,2-23,TKY,T20I,Sofia,11 Jul 25,5.7,4,0
BULGARIA T20I TRI-SERIES 2025,2-48,BGR,T20I,Sofia,11 Jul 25,12,4,0
BULGARIA T20I TRI-SERIES 2025,1-26,BGR,T20I,Sofia,10 Jul 25,6.5,4,0
"SERBIA TOUR OF GIBRALTAR, 2024",0-5,SRB,T20I,Gibraltar,30 Sep 24,2.5,2,0
"SERBIA TOUR OF GIBRALTAR, 2024",2-13,SRB,T20I,Gibraltar,30 Sep 24,3.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",1-33,NOR,T20I,Krefeld,13 Jul 24,11,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",3-24,SLV,T20I,Krefeld,10 Jul 24,8,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-35,GER,T20I,Krefeld,08 Jul 24,11.6,3,0
CONTINENTAL CUP 2024,0-30,ROM,T20I,Ilfov County,25 May 24,7.5,4,0
CONTINENTAL CUP 2024,3-42,BGR,T20I,Ilfov County,24 May 24,10.5,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,2-30,LUX,T20I,Gibraltar,15 Oct 23,7.5,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,1-27,LUX,T20I,Gibraltar,15 Oct 23,6.7,4,0
SERBIA TOUR OF GIBRALTAR 2023,1-26,SRB,T20I,Gibraltar,05 Oct 23,6.5,4,0
ESTONIA TOUR OF GIBRALTAR 2023,0-10,EST,T20I,Gibraltar,30 Sep 23,4.5,2.2,0
ESTONIA TOUR OF GIBRALTAR 2023,0-28,EST,T20I,Gibraltar,30 Sep 23,7,4,0
GIBRALTAR T20I TRI-SERIES 2023,1-17,PORT,T20I,Gibraltar,07 May 23,4.2,4,0
GIBRALTAR T20I TRI-SERIES 2023,1-27,Malta,T20I,Gibraltar,07 May 23,6.7,4,0
GIBRALTAR T20I TRI-SERIES 2023,1-5,Malta,T20I,Gibraltar,06 May 23,2.5,2,0
GIBRALTAR T20I TRI-SERIES 2023,0-12,PORT,T20I,Gibraltar,06 May 23,6,2,0
GIBRALTAR T20I TRI-SERIES 2023,1-24,Malta,T20I,Gibraltar,05 May 23,6,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-20,PORT,T20I,Gibraltar,04 May 23,6.6,3,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-23,PORT,T20I,Albergaria,11 Apr 23,7.6,3,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-18,PORT,T20I,Albergaria,10 Apr 23,18,1,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,0-22,Malta,T20I,Brussels,03 Jul 22,11,2,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,1-23,HUN,T20I,Brussels,01 Jul 22,5.7,4,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,0-37,DEN,T20I,Brussels,29 Jun 22,12.3,3,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,0-17,BEL,T20I,Ghent,28 Jun 22,17,1,0
VALLETTA CUP 2022,2-34,BGR,T20I,Marsa,15 May 22,8.5,4,0
VALLETTA CUP 2022,1-31,ROM,T20I,Marsa,14 May 22,10.3,3,0
VALLETTA CUP 2022,0-39,BGR,T20I,Marsa,13 May 22,9.7,4,0
VALLETTA CUP 2022,0-26,CZE,T20I,Marsa,11 May 22,13,2,0
VALLETTA CUP 2022,0-10,Malta,T20I,Marsa,10 May 22,10,1,0
VALLETTA CUP 2022,1-26,HUN,T20I,Marsa,10 May 22,6.5,4,0
"GIBRALTAR TOUR OF MALTA, 2021",4-13,Malta,T20I,Marsa,25 Oct 21,4.3,3,0
VALLETTA CUP 2021,0-36,BGR,T20I,Marsa,24 Oct 21,9,4,0
VALLETTA CUP 2021,1-27,BGR,T20I,Marsa,23 Oct 21,6.7,4,0
VALLETTA CUP 2021,0-20,SUI,T20I,Marsa,22 Oct 21,10,2,0
VALLETTA CUP 2021,0-25,Malta,T20I,Marsa,21 Oct 21,12.5,2,0
