Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,7*(5),SKR,T20I,Nisshin,08 May 26,140,1,0
"COOK ISLANDS TOUR OF JAPAN, 2025",5(7),JPN,T20I,"Sano, Kanto",14 May 25,71.4,1,0
"COOK ISLANDS TOUR OF JAPAN, 2025",24(31),JPN,T20I,"Sano, Kanto",13 May 25,77.4,1,1
"JAPAN T20I TRI-SERIES, 2025",16(31),JPN,T20I,"Sano, Kanto",09 May 25,51.6,1,0
"JAPAN T20I TRI-SERIES, 2025",7(10),THAI,T20I,"Sano, Kanto",09 May 25,70,1,0
"JAPAN T20I TRI-SERIES, 2025",13(14),THAI,T20I,"Sano, Kanto",07 May 25,92.8,0,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2(5),FIJI,T20I,Apia,24 Aug 24,40,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",9*(13),WSM,T20I,Apia,23 Aug 24,69.2,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",44*(32),VAN,T20I,Apia,21 Aug 24,137.5,3,2
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",8(18),FIJI,T20I,Apia,20 Aug 24,44.4,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",6(8),WSM,T20I,Apia,19 Aug 24,75,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",36*(32),VAN,T20I,Apia,17 Aug 24,112.5,1,3
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",13(9),VAN,T20I,Port Vila,15 Sep 22,144.4,1,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",92*(61),FIJI,T20I,Port Vila,14 Sep 22,150.8,11,2
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",76*(59),WSM,T20I,Port Vila,12 Sep 22,128.8,3,4
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",50(48),VAN,T20I,Port Vila,10 Sep 22,104.1,7,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",31(17),FIJI,T20I,Port Vila,09 Sep 22,182.3,5,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",28(31),WSM,T20I,Port Vila,09 Sep 22,90.3,3,1
