Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"COOK ISLANDS TOUR OF JAPAN, 2025",1-28,JPN,T20I,"Sano, Kanto",14 May 25,7,4,0
"COOK ISLANDS TOUR OF JAPAN, 2025",2-26,JPN,T20I,"Sano, Kanto",13 May 25,10.4,2.5,0
"JAPAN T20I TRI-SERIES, 2025",1-22,THAI,T20I,"Sano, Kanto",09 May 25,7.3,3,0
"JAPAN T20I TRI-SERIES, 2025",0-4,JPN,T20I,"Sano, Kanto",09 May 25,4,1,0
"JAPAN T20I TRI-SERIES, 2025",0-13,THAI,T20I,"Sano, Kanto",07 May 25,6.5,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-27,VAN,T20I,Port Vila,15 Sep 22,13.5,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",1-8,FIJI,T20I,Port Vila,14 Sep 22,4,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",1-38,WSM,T20I,Port Vila,12 Sep 22,9.5,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-21,VAN,T20I,Port Vila,10 Sep 22,5.2,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-0,WSM,T20I,Port Vila,09 Sep 22,0,0.2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-4,FIJI,T20I,Port Vila,09 Sep 22,2,2,0
