Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",5(5),CHNW,T20I,Mong Kok,08 May 26,100,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",3(3),HKC W,T20I,Mong Kok,07 May 26,100,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",10(12),CHNW,T20I,Mong Kok,07 May 26,83.3,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0(6),BTNW,T20I,Gelephu,27 Jan 26,0,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,39(37),HKC W,T20I,Gelephu,26 Jan 26,105.4,5,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1(3),BTNW,T20I,Gelephu,24 Jan 26,33.3,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,6(13),HKC W,T20I,Gelephu,21 Jan 26,46.1,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,13(11),BTNW,T20I,Gelephu,20 Jan 26,118.1,2,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,12(33),THAIW,T20I,Bangkok,19 Dec 25,36.3,0,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,13*(12),MMRW,T20I,Bangkok,18 Dec 25,108.3,1,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,DNB,PHIW,T20I,Bangkok,17 Dec 25,DNB,DNB,DNB
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,21(19),IDNW,T20I,Bangkok,15 Dec 25,110.5,2,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",4(7),HKC W,T20I,Kuala Lumpur,04 Dec 25,57.1,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",7(6),HKC W,T20I,Kuala Lumpur,03 Dec 25,116.6,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",17(25),HKC W,T20I,Kuala Lumpur,01 Dec 25,68,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0(2),HKC W,T20I,Kuala Lumpur,30 Nov 25,0,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,19(18),NEPW,T20I,Kuala Lumpur,08 Oct 25,105.5,1,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,18(21),NEPW,T20I,Kuala Lumpur,07 Oct 25,85.7,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,4*(2),NEPW,T20I,Kuala Lumpur,05 Oct 25,200,1,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,8(12),NEPW,T20I,Kuala Lumpur,04 Oct 25,66.6,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,5*(6),NEPW,T20I,Kuala Lumpur,02 Oct 25,83.3,0,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,QATW,T20I,Bangkok,16 May 25,DNB,DNB,DNB
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,0(1),UAEW,T20I,Bangkok,09 May 25,0,0,0
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",0(2),NAMW,T20I,Kuala Lumpur,12 Dec 24,0,0,0
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",4(18),NAMW,T20I,Kuala Lumpur,11 Dec 24,22.2,0,0
