Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-16,CHNW,T20I,Mong Kok,08 May 26,8,2,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-16,CHNW,T20I,Mong Kok,07 May 26,5.1,3.1,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",2-21,HKC W,T20I,Mong Kok,07 May 26,5.2,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-19,BTNW,T20I,Gelephu,27 Jan 26,7.9,2.4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-19,HKC W,T20I,Gelephu,26 Jan 26,9.5,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-18,BTNW,T20I,Gelephu,24 Jan 26,5.4,3.3,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-28,HKC W,T20I,Gelephu,21 Jan 26,7,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-18,BTNW,T20I,Gelephu,20 Jan 26,4.5,4,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,1-13,MMRW,T20I,Bangkok,18 Dec 25,3.2,4,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,4-9,PHIW,T20I,Bangkok,17 Dec 25,2.2,4,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,2-19,IDNW,T20I,Bangkok,15 Dec 25,4.7,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0-24,HKC W,T20I,Kuala Lumpur,04 Dec 25,8,3,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",2-12,HKC W,T20I,Kuala Lumpur,03 Dec 25,3,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0-18,HKC W,T20I,Kuala Lumpur,01 Dec 25,4.5,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-11,HKC W,T20I,Kuala Lumpur,30 Nov 25,3.6,3,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,1-15,NEPW,T20I,Kuala Lumpur,08 Oct 25,3.7,4,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,1-23,NEPW,T20I,Kuala Lumpur,07 Oct 25,5.7,4,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,0-19,NEPW,T20I,Kuala Lumpur,05 Oct 25,4.7,4,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,0-16,NEPW,T20I,Kuala Lumpur,04 Oct 25,8,2,0
