Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"IRELAND TOUR OF BANGLADESH, 2025",34 & 60,IRE,Test,Dhaka,19 Nov 25,39.5 & 65.9,2 & 6,0 & 0
"IRELAND TOUR OF BANGLADESH, 2025",171 & DNB,IRE,Test,Sylhet,11 Nov 25,59.7 & DNB,14 & DNB,4 & DNB
"ZIMBABWE TOUR OF BANGLADESH, 2025",14 & 33,ZIM,Test,Sylhet,20 Apr 25,40 & 50.7,2 & 6,0 & 0
"BANGLADESH TOUR OF WEST INDIES, 2024",3 & 0,WI,Test,"Kingston, Jamaica",30 Nov 24,25 & 0,0 & 0,0 & 0
"BANGLADESH TOUR OF WEST INDIES, 2024",5 & 6,WI,Test,"North Sound, Antigua",22 Nov 24,15.1 & 60,0 & 1,0 & 0
"SOUTH AFRICA TOUR OF BANGLADESH, 2024",10 & 11,RSA,Test,Chattogram,29 Oct 24,47.6 & 35.4,1 & 0,0 & 0
"SOUTH AFRICA TOUR OF BANGLADESH, 2024",30 & 40,RSA,Test,Dhaka,21 Oct 24,30.9 & 43.4,2 & 5,1 & 0
"SRI LANKA TOUR OF BANGLADESH, 2024",21 & 24,SL,Test,Chattogram,30 Mar 24,50 & 75,3 & 3,0 & 0
"SRI LANKA TOUR OF BANGLADESH, 2024",12 & 0,SL,Test,Sylhet,22 Mar 24,26 & 0,1 & 0,0 & 0
"NEW ZEALAND TOUR OF BANGLADESH, 2023",14 & 2,NZ,Test,Dhaka,06 Dec 23,35 & 100,2 & 0,0 & 0
"NEW ZEALAND TOUR OF BANGLADESH, 2023",86 & 8,NZ,Test,Sylhet,28 Nov 23,51.8 & 17.3,11 & 0,0 & 0
ASIAN GAMES MENS T20I 2023,DNB,PAK,T20I,Hangzhou,07 Oct 23,DNB,DNB,DNB
ASIAN GAMES MENS T20I 2023,5(10),IND,T20I,Hangzhou,06 Oct 23,50,0,0
ASIAN GAMES MENS T20I 2023,DNB,MLY,T20I,Hangzhou,04 Oct 23,DNB,DNB,DNB
"AFGHANISTAN TOUR OF BANGLADESH, 2023",76 & 17,AFG,Test,Dhaka,14 Jun 23,55.4 & 130.7,9 & 4,0 & 0
"BANGLADESH TOUR OF WEST INDIES, 2022",10 & 13,WI,Test,"Gros Islet, St Lucia",24 Jun 22,32.2 & 61.9,1 & 3,0 & 0
"BANGLADESH TOUR OF WEST INDIES, 2022",0 & 42,WI,Test,"North Sound, Antigua",16 Jun 22,0 & 27.4,0 & 3,0 & 0
"SRI LANKA TOUR OF BANGLADESH, 2022",0 & 15,SL,Test,Dhaka,23 May 22,0 & 55.5,0 & 3,0 & 0
"SRI LANKA TOUR OF BANGLADESH, 2022",58 & DNB,SL,Test,Chattogram,15 May 22,40.8 & DNB,9 & DNB,0 & DNB
"BANGLADESH TOUR OF SOUTH AFRICA, 2022",0 & 0,RSA,Test,Gqeberha,08 Apr 22,0 & 0,0 & 0,0 & 0
"BANGLADESH TOUR OF SOUTH AFRICA, 2022",137 & 4,RSA,Test,Durban,31 Mar 22,42 & 44.4,15 & 1,2 & 0
"BANGLADESH TOUR OF NEW ZEALAND, 2022",78 & DNB,NZ,Test,Mount Maunganui,01 Jan 22,34.2 & DNB,7 & DNB,0 & DNB
"PAKISTAN TOUR OF BANGLADESH, 2021",0 & 6,PAK,Test,Dhaka,04 Dec 21,0 & 100,0 & 1,0 & 0
