Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",8*(5),CHNW,T20I,Mong Kok,08 May 26,160,1,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",16*(10),MLYW,T20I,Mong Kok,07 May 26,160,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,BTNW,T20I,Gelephu,29 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,26 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,31(28),BTNW,T20I,Gelephu,25 Jan 26,110.7,2,1
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0(1),BTNW,T20I,Gelephu,22 Jan 26,0,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2*(2),MLYW,T20I,Gelephu,21 Jan 26,100,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",20*(18),MLYW,T20I,Kuala Lumpur,04 Dec 25,111.1,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",23(19),MLYW,T20I,Kuala Lumpur,03 Dec 25,121,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",24(34),MLYW,T20I,Kuala Lumpur,01 Dec 25,70.5,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0(1),MLYW,T20I,Kuala Lumpur,30 Nov 25,0,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,24*(28),MMRW,T20I,Hangzhou,25 Sep 25,85.7,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,43(48),CHNW,T20I,Hangzhou,23 Sep 25,89.5,4,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,15(14),MGLW,T20I,Hangzhou,22 Sep 25,107.1,2,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,8(7),MMRW,T20I,Hangzhou,20 Sep 25,114.2,1,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1(4),JPNW,T20I,"Sano, Kanto",08 Jun 25,25,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,2(5),MGLW,T20I,"Sano, Kanto",07 Jun 25,40,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,3(5),JPNW,T20I,"Sano, Kanto",04 Jun 25,60,0,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,NEPW,T20I,Bangkok,13 May 25,DNB,DNB,DNB
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,3(4),NEPW,T20I,Entebbe,14 Mar 25,75,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,17(16),NAMW,T20I,Entebbe,13 Mar 25,106.2,2,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,14(11),UGAW,T20I,Entebbe,12 Mar 25,127.2,1,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,7(5),NEPW,T20I,Entebbe,10 Mar 25,140,1,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,30*(19),NAMW,T20I,Entebbe,09 Mar 25,157.8,0,3
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,12*(14),UGAW,T20I,Entebbe,08 Mar 25,85.7,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",8*(9),CHNW,T20I,Mong Kok,08 Dec 24,88.8,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",3(9),NAMW,T20I,Mong Kok,07 Dec 24,33.3,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0(1),THAIW,T20I,Mong Kok,05 Dec 24,0,0,0
