Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-22,CHNW,T20I,Mong Kok,08 May 26,11,2,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-28,MLYW,T20I,Mong Kok,07 May 26,7,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1-17,BTNW,T20I,Gelephu,29 Jan 26,4.2,4,1
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1-29,MLYW,T20I,Gelephu,26 Jan 26,7.2,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-24,BTNW,T20I,Gelephu,25 Jan 26,6,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-28,BTNW,T20I,Gelephu,22 Jan 26,9.3,3,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-36,MLYW,T20I,Gelephu,21 Jan 26,12,3,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",3-24,MLYW,T20I,Kuala Lumpur,04 Dec 25,8,3,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",3-18,MLYW,T20I,Kuala Lumpur,03 Dec 25,5.4,3.3,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-13,MLYW,T20I,Kuala Lumpur,01 Dec 25,6.5,2,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-17,MLYW,T20I,Kuala Lumpur,30 Nov 25,8.5,2,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,1-21,MMRW,T20I,Hangzhou,25 Sep 25,5.2,4,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,0-17,MGLW,T20I,Hangzhou,22 Sep 25,8.5,2,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,1-4,MMRW,T20I,Hangzhou,20 Sep 25,10,0.4,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-16,NAMW,T20I,Entebbe,13 Mar 25,8,2,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-12,UGAW,T20I,Entebbe,12 Mar 25,6,2,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-13,NAMW,T20I,Entebbe,09 Mar 25,13,1,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-14,CHNW,T20I,Mong Kok,08 Dec 24,3.5,4,1
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-31,THAIW,T20I,Mong Kok,05 Dec 24,10.3,3,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-13,CHNW,T20I,Mong Kok,04 Dec 24,10,1.3,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",3-22,CHNW,T20I,Hangzhou,10 Nov 24,5.5,4,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",1-24,CHNW,T20I,Hangzhou,08 Nov 24,6,4,0
