Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",7(11),Malta,T20I,Marsa,08 May 26,63.6,0,0
"GIBRALTAR TOUR OF MALTA, 2026",DNB,Malta,T20I,Marsa,08 May 26,DNB,DNB,DNB
"GIBRALTAR TOUR OF MALTA, 2026",0(1),Malta,T20I,Marsa,07 May 26,0,0,0
"GIBRALTAR TOUR OF MALTA, 2026",DNB,Malta,T20I,Marsa,07 May 26,DNB,DNB,DNB
CONTINENTAL CUP 2024,6(5),HUN,T20I,Ilfov County,26 May 24,120,1,0
CONTINENTAL CUP 2024,DNB,ROM,T20I,Ilfov County,25 May 24,DNB,DNB,DNB
CONTINENTAL CUP 2024,19*(11),BGR,T20I,Ilfov County,24 May 24,172.7,3,0
CONTINENTAL CUP 2024,34(17),HUN,T20I,Ilfov County,24 May 24,200,4,1
ESTONIA TOUR OF GIBRALTAR 2023,1(4),EST,T20I,Gibraltar,30 Sep 23,25,0,0
ESTONIA TOUR OF GIBRALTAR 2023,9(11),EST,T20I,Gibraltar,30 Sep 23,81.8,0,1
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,DNB,Malta,T20I,Brussels,03 Jul 22,DNB,DNB,DNB
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,DNB,HUN,T20I,Brussels,01 Jul 22,DNB,DNB,DNB
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,DNB,BEL,T20I,Ghent,28 Jun 22,DNB,DNB,DNB
VALLETTA CUP 2022,27(17),BGR,T20I,Marsa,15 May 22,158.8,2,1
VALLETTA CUP 2022,3(7),ROM,T20I,Marsa,14 May 22,42.8,0,0
VALLETTA CUP 2022,DNB,BGR,T20I,Marsa,13 May 22,DNB,DNB,DNB
VALLETTA CUP 2022,8(6),CZE,T20I,Marsa,11 May 22,133.3,1,0
VALLETTA CUP 2022,8*(8),Malta,T20I,Marsa,10 May 22,100,0,0
VALLETTA CUP 2022,4(7),HUN,T20I,Marsa,10 May 22,57.1,0,0
