Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",0-24,Malta,T20I,Marsa,07 May 26,12,2,0
CONTINENTAL CUP 2024,0-25,HUN,T20I,Ilfov County,26 May 24,12.5,2,0
CONTINENTAL CUP 2024,1-44,ROM,T20I,Ilfov County,25 May 24,14.6,3,0
CONTINENTAL CUP 2024,0-15,HUN,T20I,Ilfov County,24 May 24,15,1,0
ESTONIA TOUR OF GIBRALTAR 2023,0-15,EST,T20I,Gibraltar,30 Sep 23,15,1,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,0-18,Malta,T20I,Brussels,03 Jul 22,18,1,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,1-37,BEL,T20I,Ghent,28 Jun 22,18.5,2,0
VALLETTA CUP 2022,0-14,BGR,T20I,Marsa,15 May 22,14,1,0
VALLETTA CUP 2022,0-23,BGR,T20I,Marsa,13 May 22,23,1,0
VALLETTA CUP 2022,1-24,CZE,T20I,Marsa,11 May 22,6,4,0
VALLETTA CUP 2022,1-16,HUN,T20I,Marsa,10 May 22,5.3,3,0
