Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,111(56),RCB,T20,Lucknow,07 May 26,198.2,9,9
INDIAN PREMIER LEAGUE 2026,44(25),MI,T20,Mumbai,04 May 26,176,4,3
INDIAN PREMIER LEAGUE 2026,2(3),KKR,T20,Lucknow,26 Apr 26,66.6,0,0
INDIAN PREMIER LEAGUE 2026,55(41),RR,T20,Lucknow,22 Apr 26,134.1,6,2
INDIAN PREMIER LEAGUE 2026,40(28),PBKS,T20,New Chandigarh,19 Apr 26,142.8,3,2
INDIAN PREMIER LEAGUE 2026,40(32),RCB,T20,Bengaluru,15 Apr 26,125,3,2
INDIAN PREMIER LEAGUE 2026,11(4),GT,T20,Lucknow,12 Apr 26,275,1,1
INDIAN PREMIER LEAGUE 2026,15(11),KKR,T20,Kolkata,09 Apr 26,136.3,1,1
INDIAN PREMIER LEAGUE 2026,14(12),SRH,T20,Hyderabad,05 Apr 26,116.6,2,0
INDIAN PREMIER LEAGUE 2026,35(28),DC,T20,Lucknow,01 Apr 26,125,2,3
ICC MEN'S T20 WORLD CUP 2026,64*(33),OMAN,T20I,Pallekele,20 Feb 26,193.9,7,4
ICC MEN'S T20 WORLD CUP 2026,54(27),SL,T20I,Pallekele,16 Feb 26,200,8,2
"AUSTRALIA TOUR OF PAKISTAN, 2026",1(3),PAK,T20I,Lahore,01 Feb 26,33.3,0,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",18(14),PAK,T20I,Lahore,31 Jan 26,128.5,1,2
"INDIA TOUR OF AUSTRALIA, 2025",30(24),IND,T20I,Queensland,06 Nov 25,125,4,0
"INDIA TOUR OF AUSTRALIA, 2025",11(14),IND,T20I,Hobart,02 Nov 25,78.5,1,0
"INDIA TOUR OF AUSTRALIA, 2025",46(26),IND,T20I,Melbourne,31 Oct 25,176.9,2,4
"INDIA TOUR OF AUSTRALIA, 2025",41(50),IND,ODI,Sydney,25 Oct 25,82,5,1
"INDIA TOUR OF AUSTRALIA, 2025",11(24),IND,ODI,Adelaide,23 Oct 25,45.8,1,0
"INDIA TOUR OF AUSTRALIA, 2025",46*(52),IND,ODI,Perth,19 Oct 25,88.4,2,3
"AUSTRALIA TOUR OF NEW ZEALAND, 2025",103*(52),NZ,T20I,Mount Maunganui,04 Oct 25,198,8,7
"AUSTRALIA TOUR OF NEW ZEALAND, 2025",9*(8),NZ,T20I,Mount Maunganui,03 Oct 25,112.5,0,1
"AUSTRALIA TOUR OF NEW ZEALAND, 2025",85(43),NZ,T20I,Mount Maunganui,01 Oct 25,197.6,9,5
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",100(106),RSA,ODI,Mackay,24 Aug 25,94.3,6,5
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",18(25),RSA,ODI,Mackay,22 Aug 25,72,4,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",88(96),RSA,ODI,Cairns,19 Aug 25,91.6,10,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",54(37),RSA,T20I,Cairns,16 Aug 25,145.9,3,5
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",22(13),RSA,T20I,Darwin,12 Aug 25,169.2,2,1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",13(7),RSA,T20I,Darwin,10 Aug 25,185.7,1,1
"AUSTRALIA TOUR OF WEST INDIES, 2025",14(8),WI,T20I,"Basseterre, St Kitts",29 Jul 25,175,3,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",0(2),WI,T20I,"Basseterre, St Kitts",27 Jul 25,0,0,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",22(19),WI,T20I,"Basseterre, St Kitts",26 Jul 25,115.7,5,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",21(17),WI,T20I,"Kingston, Jamaica",23 Jul 25,123.5,1,2
"AUSTRALIA TOUR OF WEST INDIES, 2025",24(17),WI,T20I,"Kingston, Jamaica",21 Jul 25,141.1,0,3
INDIAN PREMIER LEAGUE 2025,67(37),RCB,T20,Lucknow,27 May 25,181,4,5
INDIAN PREMIER LEAGUE 2025,117(64),GT,T20,Ahmedabad,22 May 25,182.8,10,8
INDIAN PREMIER LEAGUE 2025,65(39),SRH,T20,Lucknow,19 May 25,166.6,6,4
INDIAN PREMIER LEAGUE 2025,0(5),PBKS,T20,Dharamsala,04 May 25,0,0,0
INDIAN PREMIER LEAGUE 2025,34(24),MI,T20,Mumbai,27 Apr 25,141.6,3,2
INDIAN PREMIER LEAGUE 2025,45(36),DC,T20,Lucknow,22 Apr 25,125,3,1
INDIAN PREMIER LEAGUE 2025,4(6),RR,T20,Jaipur,19 Apr 25,66.6,0,0
