Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-44,CSK,T20,Mumbai,23 Apr 26,11,4,0
INDIAN PREMIER LEAGUE 2026,2-16,GT,T20,Ahmedabad,20 Apr 26,5.3,3,0
INDIAN PREMIER LEAGUE 2026,1-43,RCB,T20,Mumbai,12 Apr 26,10.7,4,0
INDIAN PREMIER LEAGUE 2026,1-22,DC,T20,Delhi,04 Apr 26,7.3,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",2-21,RSA,T20I,Auckland,20 Mar 26,7,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",2-19,RSA,T20I,Hamilton,17 Mar 26,6.3,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",1-8,RSA,T20I,Mount Maunganui,15 Mar 26,2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-33,IND,T20I,Ahmedabad,08 Mar 26,8.2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-25,RSA,T20I,Kolkata,04 Mar 26,6.2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-29,ENG,T20I,Colombo,27 Feb 26,7.2,4,0
ICC MEN'S T20 WORLD CUP 2026,1-19,SL,T20I,Colombo,25 Feb 26,4.7,4,0
ICC MEN'S T20 WORLD CUP 2026,0-33,RSA,T20I,Ahmedabad,14 Feb 26,8.2,4,0
ICC MEN'S T20 WORLD CUP 2026,1-23,UAE,T20I,Chennai,10 Feb 26,5.7,4,0
ICC MEN'S T20 WORLD CUP 2026,0-23,AFG,T20I,Chennai,08 Feb 26,5.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-60,IND,T20I,Thiruvananthapuram,31 Jan 26,15,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",3-26,IND,T20I,Visakhapatnam,28 Jan 26,6.5,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-28,IND,T20I,Guwahati,25 Jan 26,14,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-27,IND,T20I,Raipur,23 Jan 26,13.5,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-37,IND,T20I,Nagpur,21 Jan 26,12.3,3,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",2-27,WI,ODI,Hamilton,22 Nov 25,4.5,6,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-35,WI,ODI,Napier,19 Nov 25,5,7,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-46,WI,ODI,Christchurch,16 Nov 25,4.6,10,1
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-16,WI,T20I,Dunedin,13 Nov 25,5.3,3,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",1-29,WI,T20I,Nelson,09 Nov 25,7.2,4,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",3-31,WI,T20I,Auckland,06 Nov 25,7.7,4,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",0-40,WI,T20I,Auckland,05 Nov 25,10,4,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-34,ENG,ODI,Wellington,01 Nov 25,5.4,6.2,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-48,ENG,ODI,Hamilton,29 Oct 25,6,8,1
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-22,ENG,ODI,Mount Maunganui,26 Oct 25,3,7.2,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",0-41,ENG,T20I,Christchurch,20 Oct 25,10.2,4,0
"ENGLAND TOUR OF NEW ZEALAND, 2025",1-20,ENG,T20I,Christchurch,18 Oct 25,5,4,0
"NEW ZEALAND TOUR OF ZIMBABWE, 2025",0-4 & DNB,ZIM,Test,Bulawayo,07 Aug 25,4 & DNB,1 & DNB,0 & DNB
"NEW ZEALAND TOUR OF ZIMBABWE, 2025",0-46 & 4-27,ZIM,Test,Bulawayo,30 Jul 25,2.8 & 1.5,16 & 17.1,4 & 6
"ZIMBABWE T20I TRI-SERIES, 2025",0-29,RSA,T20I,Harare,26 Jul 25,9.6,3,0
"ZIMBABWE T20I TRI-SERIES, 2025",0-30,ZIM,T20I,Harare,24 Jul 25,10,3,0
"ZIMBABWE T20I TRI-SERIES, 2025",2-26,RSA,T20I,Harare,22 Jul 25,6.5,4,1
"ZIMBABWE T20I TRI-SERIES, 2025",1-18,ZIM,T20I,Harare,18 Jul 25,4.5,4,0
"ZIMBABWE T20I TRI-SERIES, 2025",1-35,RSA,T20I,Harare,16 Jul 25,8.7,4,0
INDIAN PREMIER LEAGUE 2025,0-15,PBKS,T20,Ahmedabad,01 Jun 25,7.5,2,0
INDIAN PREMIER LEAGUE 2025,1-10,GT,T20,New Chandigarh,30 May 25,10,1,0
INDIAN PREMIER LEAGUE 2025,2-41,PBKS,T20,Jaipur,26 May 25,10.2,4,0
INDIAN PREMIER LEAGUE 2025,3-11,DC,T20,Mumbai,21 May 25,2.7,4,0
INDIAN PREMIER LEAGUE 2025,0-19,SRH,T20,Hyderabad,23 Apr 25,4.7,4,0
INDIAN PREMIER LEAGUE 2025,1-14,CSK,T20,Mumbai,20 Apr 25,4.6,3,0
INDIAN PREMIER LEAGUE 2025,0-8,SRH,T20,Mumbai,17 Apr 25,8,1,0
INDIAN PREMIER LEAGUE 2025,2-43,DC,T20,Delhi,13 Apr 25,10.7,4,0
INDIAN PREMIER LEAGUE 2025,0-40,RCB,T20,Mumbai,07 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-46,LSG,T20,Lucknow,04 Apr 25,11.5,4,0
INDIAN PREMIER LEAGUE 2025,1-17,KKR,T20,Mumbai,31 Mar 25,5.3,3.2,0
INDIAN PREMIER LEAGUE 2025,0-25,GT,T20,Ahmedabad,29 Mar 25,8.3,3,0
INDIAN PREMIER LEAGUE 2025,0-24,CSK,T20,Chennai,23 Mar 25,11.4,2.1,0
"ICC CHAMPIONS TROPHY, 2025",2-46,IND,ODI,Dubai,09 Mar 25,4.6,10,0
"ICC CHAMPIONS TROPHY, 2025",3-43,RSA,ODI,Lahore,05 Mar 25,4.3,10,0
"ICC CHAMPIONS TROPHY, 2025",1-41,IND,ODI,Dubai,02 Mar 25,4.1,10,1
"ICC CHAMPIONS TROPHY, 2025",0-44,BAN,ODI,Rawalpindi,24 Feb 25,4.4,10,1
"ICC CHAMPIONS TROPHY, 2025",3-66,PAK,ODI,Karachi,19 Feb 25,6.6,10,0
"PAKISTAN ODI TRI-SERIES, 2025",2-20,PAK,ODI,Karachi,14 Feb 25,2,10,1
"PAKISTAN ODI TRI-SERIES, 2025",0-62,RSA,ODI,Lahore,10 Feb 25,6.2,10,0
"PAKISTAN ODI TRI-SERIES, 2025",3-41,PAK,ODI,Lahore,08 Feb 25,4.1,10,2
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",2-55,SL,ODI,Auckland,11 Jan 25,5.5,10,0
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",1-14,SL,ODI,Hamilton,08 Jan 25,2.8,5,0
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",1-27,SL,ODI,Wellington,05 Jan 25,3.8,7,0
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",1-36,SL,T20I,Nelson,02 Jan 25,12,3,0
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",2-22,SL,T20I,Mount Maunganui,30 Dec 24,5.5,4,0
"SRI LANKA TOUR OF NEW ZEALAND, 2024-25",0-26,SL,T20I,Mount Maunganui,28 Dec 24,6.5,4,0
"ENGLAND TOUR OF NEW ZEALAND, 2024",3-7 & 4-85,ENG,Test,Hamilton,14 Dec 24,2.3 & 5.9,3 & 14.2,1 & 1
"NEW ZEALAND TOUR OF SRI LANKA, 2024",1-33,SL,ODI,Pallekele,17 Nov 24,3.3,10,1
"NEW ZEALAND TOUR OF SRI LANKA, 2024",0-53,SL,ODI,Dambulla,13 Nov 24,5.3,10,0
"NEW ZEALAND TOUR OF SRI LANKA, 2024",1-14,SL,T20I,Dambulla,10 Nov 24,3.5,4,0
"NEW ZEALAND TOUR OF SRI LANKA, 2024",1-30,SL,T20I,Dambulla,09 Nov 24,7.5,4,0
"NEW ZEALAND TOUR OF INDIA, 2024",7-53 & 6-104,IND,Test,Pune,24 Oct 24,2.7 & 3.5,19.3 & 29,1 & 2
"NEW ZEALAND TOUR OF SRI LANKA, 2024",0-82 & DNB,SL,Test,Galle,26 Sep 24,2.4 & DNB,33 & DNB,5 & DNB
"NEW ZEALAND TOUR OF SRI LANKA, 2024",0-64 & 1-51,SL,Test,Galle,18 Sep 24,3.3 & 3.5,19 & 14.2,2 & 2
ICC MENS T20 WORLD CUP 2024,1-17,PNG,T20I,"Tarouba, Trinidad",17 Jun 24,4.2,4,0
ICC MENS T20 WORLD CUP 2024,2-8,UGA,T20I,"Tarouba, Trinidad",14 Jun 24,2.3,3.4,0
ICC MENS T20 WORLD CUP 2024,1-27,WI,T20I,"Tarouba, Trinidad",12 Jun 24,13.5,2,0
ICC MENS T20 WORLD CUP 2024,0-24,AFG,T20I,Guyana,07 Jun 24,6,4,0
INDIAN PREMIER LEAGUE 2024,1-23,RCB,T20,Bengaluru,18 May 24,5.7,4,0
INDIAN PREMIER LEAGUE 2024,0-31,GT,T20,Ahmedabad,10 May 24,15.5,2,0
INDIAN PREMIER LEAGUE 2024,1-10,PBKS,T20,Dharamsala,05 May 24,3.3,3,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-16,AUS,T20I,Auckland,25 Feb 24,8,2,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",2-35,AUS,T20I,Auckland,23 Feb 24,8.7,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",2-42,AUS,T20I,Wellington,21 Feb 24,10.5,4,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2024",3-34 & 3-59,RSA,Test,Mount Maunganui,04 Feb 24,1.6 & 2.2,21 & 26,8 & 9
"PAKISTAN TOUR OF NEW ZEALAND, 2024",0-30,PAK,T20I,Christchurch,21 Jan 24,7.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",0-23,PAK,T20I,Christchurch,19 Jan 24,5.7,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",1-26,PAK,T20I,Dunedin,17 Jan 24,6.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",0-47,PAK,T20I,Hamilton,14 Jan 24,11.7,4,0
