Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-31,KKR,T20,Delhi,08 May 26,10.3,3,0
INDIAN PREMIER LEAGUE 2026,0-30,CSK,T20,Delhi,05 May 26,7.5,4,0
INDIAN PREMIER LEAGUE 2026,3-40,RR,T20,Jaipur,01 May 26,10,4,0
"THE ASHES, 2025-26",2-93 & 3-72,ENG,Test,Sydney,04 Jan 26,4 & 3.9,23 & 18.2,2 & 2
"THE ASHES, 2025-26",2-23 & 2-55,ENG,Test,Melbourne,26 Dec 25,3.8 & 5.5,6 & 10,0 & 0
"THE ASHES, 2025-26",1-61 & 3-62,ENG,Test,Adelaide,17 Dec 25,3.8 & 3.6,16 & 17,1 & 3
"THE ASHES, 2025-26",6-75 & 2-64,ENG,Test,Brisbane,04 Dec 25,3.7 & 3.5,20 & 18,0 & 2
"THE ASHES, 2025-26",7-58 & 3-55,ENG,Test,Perth,21 Nov 25,4.6 & 4.5,12.5 & 12,4 & 1
"INDIA TOUR OF AUSTRALIA, 2025",0-31,IND,ODI,Sydney,25 Oct 25,6.2,5,0
"INDIA TOUR OF AUSTRALIA, 2025",2-62,IND,ODI,Adelaide,23 Oct 25,6.2,10,0
"INDIA TOUR OF AUSTRALIA, 2025",1-22,IND,ODI,Perth,19 Oct 25,3.6,6,1
"AUSTRALIA TOUR OF WEST INDIES, 2025",1-32 & 6-9,WI,Test,"Kingston, Jamaica",13 Jul 25,2.4 & 1.2,13 & 7.3,3 & 4
"AUSTRALIA TOUR OF WEST INDIES, 2025",1-48 & 3-24,WI,Test,"St Georges, Grenada",03 Jul 25,3.6 & 3,13 & 8,1 & 2
"AUSTRALIA TOUR OF WEST INDIES, 2025",3-65 & 1-44,WI,Test,"Bridgetown, Barbados",25 Jun 25,4 & 5.5,16 & 8,1 & 1
ICC WORLD TEST CHAMPIONSHIP FINAL 2025,2-41 & 3-66,RSA,Test,London,11 Jun 25,3.1 & 4.5,13 & 14.4,3 & 1
INDIAN PREMIER LEAGUE 2025,3-43,KKR,T20,Delhi,29 Apr 25,10.7,4,0
INDIAN PREMIER LEAGUE 2025,0-31,RCB,T20,Delhi,27 Apr 25,10.3,3,0
INDIAN PREMIER LEAGUE 2025,1-25,LSG,T20,Lucknow,22 Apr 25,6.2,4,0
INDIAN PREMIER LEAGUE 2025,0-49,GT,T20,Ahmedabad,19 Apr 25,15.3,3.2,0
INDIAN PREMIER LEAGUE 2025,1-36,RR,T20,Delhi,16 Apr 25,9,4,0
INDIAN PREMIER LEAGUE 2025,0-43,MI,T20,Delhi,13 Apr 25,14.3,3,0
INDIAN PREMIER LEAGUE 2025,0-35,RCB,T20,Bengaluru,10 Apr 25,11.6,3,0
INDIAN PREMIER LEAGUE 2025,1-27,CSK,T20,Chennai,05 Apr 25,6.7,4,0
INDIAN PREMIER LEAGUE 2025,5-35,SRH,T20,Visakhapatnam,30 Mar 25,10.2,3.4,0
INDIAN PREMIER LEAGUE 2025,3-42,LSG,T20,Visakhapatnam,24 Mar 25,10.5,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2025",3-37 & 0-22,SL,Test,Galle,06 Feb 25,2.3 & 5.5,16 & 4,3 & 0
"AUSTRALIA TOUR OF SRI LANKA, 2025",2-13 & 1-14,SL,Test,Galle,29 Jan 25,1.6 & 2.8,8 & 5,1 & 1
"INDIA TOUR OF AUSTRALIA, 2024-25",3-49 & 0-36,IND,Test,Sydney,03 Jan 25,2.7 & 9,18 & 4,5 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",0-86 & 1-25,IND,Test,Melbourne,26 Dec 24,3.4 & 1.5,25 & 16,2 & 8
"INDIA TOUR OF AUSTRALIA, 2024-25",3-83 & 0-4,IND,Test,Brisbane,14 Dec 24,3.4 & 3.6,24 & 1.1,3 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",6-48 & 2-60,IND,Test,Adelaide,06 Dec 24,3.4 & 4.2,14.1 & 14,2 & 1
"INDIA TOUR OF AUSTRALIA, 2024-25",2-14 & 1-111,IND,Test,Perth,22 Nov 24,1.2 & 4.2,11 & 26,3 & 2
"PAKISTAN TOUR OF AUSTRALIA, 2024",0-28,PAK,ODI,Adelaide,08 Nov 24,7,4,1
"PAKISTAN TOUR OF AUSTRALIA, 2024",3-33,PAK,ODI,Melbourne,04 Nov 24,3.3,10,3
"AUSTRALIA TOUR OF ENGLAND, 2024",0-47,ENG,ODI,Bristol,29 Sep 24,7.8,6,0
"AUSTRALIA TOUR OF ENGLAND, 2024",0-70,ENG,ODI,London,27 Sep 24,8.7,8,0
"AUSTRALIA TOUR OF ENGLAND, 2024",2-63,ENG,ODI,Chester-le-Street,24 Sep 24,7.8,8,1
"AUSTRALIA TOUR OF ENGLAND, 2024",3-50,ENG,ODI,Leeds,21 Sep 24,5.4,9.2,0
ICC MENS T20 WORLD CUP 2024,2-45,IND,T20I,"Gros Islet, St Lucia",24 Jun 24,11.2,4,0
ICC MENS T20 WORLD CUP 2024,1-21,BAN,T20I,"North Sound, Antigua",20 Jun 24,5.2,4,0
ICC MENS T20 WORLD CUP 2024,0-31,SCO,T20I,"Gros Islet, St Lucia",15 Jun 24,7.7,4,0
ICC MENS T20 WORLD CUP 2024,0-37,ENG,T20I,"Bridgetown, Barbados",08 Jun 24,12.3,3,0
ICC MENS T20 WORLD CUP 2024,2-20,OMAN,T20I,"Bridgetown, Barbados",05 Jun 24,6.6,3,0
INDIAN PREMIER LEAGUE 2024,2-14,SRH,T20,Chennai,26 May 24,4.6,3,0
INDIAN PREMIER LEAGUE 2024,3-34,SRH,T20,Ahmedabad,21 May 24,8.5,4,0
INDIAN PREMIER LEAGUE 2024,0-11,MI,T20,Kolkata,11 May 24,11,1,0
INDIAN PREMIER LEAGUE 2024,1-22,LSG,T20,Lucknow,05 May 24,11,2,0
INDIAN PREMIER LEAGUE 2024,4-33,MI,T20,Mumbai,03 May 24,9.4,3.5,0
INDIAN PREMIER LEAGUE 2024,1-43,DC,T20,Kolkata,29 Apr 24,14.3,3,0
INDIAN PREMIER LEAGUE 2024,1-55,RCB,T20,Kolkata,21 Apr 24,18.3,3,0
INDIAN PREMIER LEAGUE 2024,0-50,RR,T20,Kolkata,16 Apr 24,12.5,4,0
INDIAN PREMIER LEAGUE 2024,3-28,LSG,T20,Kolkata,14 Apr 24,7,4,0
INDIAN PREMIER LEAGUE 2024,0-29,CSK,T20,Chennai,08 Apr 24,9.6,3,0
INDIAN PREMIER LEAGUE 2024,2-25,DC,T20,Visakhapatnam,03 Apr 24,8.3,3,0
INDIAN PREMIER LEAGUE 2024,0-47,RCB,T20,Bengaluru,29 Mar 24,11.7,4,0
INDIAN PREMIER LEAGUE 2024,0-53,SRH,T20,Kolkata,23 Mar 24,13.2,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",3-59 & 1-94,NZ,Test,Christchurch,08 Mar 24,4.9 & 4.2,12 & 22,1 & 3
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-34 & 0-29,NZ,Test,Wellington,29 Feb 24,3.7 & 3.2,9 & 9,4 & 3
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",0-15,NZ,T20I,Auckland,25 Feb 24,7.5,2,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-39,NZ,T20I,Wellington,21 Feb 24,9.7,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2024",4-82 & 1-45,WI,Test,Brisbane,25 Jan 24,3.4 & 3.1,24 & 14.3,3 & 3
"WEST INDIES TOUR OF AUSTRALIA, 2024",1-37 & 2-46,WI,Test,Adelaide,17 Jan 24,3 & 4.6,12 & 10,5 & 2
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",2-75 & 1-15,PAK,Test,Sydney,03 Jan 24,4.6 & 3.7,16 & 4,2 & 1
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",0-69 & 4-55,PAK,Test,Melbourne,26 Dec 23,4.3 & 4.1,16 & 13.2,3 & 1
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",2-68 & 3-31,PAK,Test,Perth,14 Dec 23,2.7 & 3.4,25 & 9,5 & 2
ICC CRICKET WORLD CUP 2023,3-55,IND,ODI,Ahmedabad,19 Nov 23,5.5,10,0
ICC CRICKET WORLD CUP 2023,3-34,RSA,ODI,Kolkata,16 Nov 23,3.4,10,1
ICC CRICKET WORLD CUP 2023,1-70,AFG,ODI,Mumbai,07 Nov 23,7.7,9,0
ICC CRICKET WORLD CUP 2023,2-66,ENG,ODI,Ahmedabad,04 Nov 23,6.6,10,0
ICC CRICKET WORLD CUP 2023,0-89,NZ,ODI,Dharamsala,28 Oct 23,9.8,9,0
ICC CRICKET WORLD CUP 2023,1-22,NED,ODI,Delhi,25 Oct 23,5.5,4,0
ICC CRICKET WORLD CUP 2023,1-65,PAK,ODI,Bengaluru,20 Oct 23,8.1,8,0
ICC CRICKET WORLD CUP 2023,2-43,SL,ODI,Lucknow,16 Oct 23,4.3,10,0
ICC CRICKET WORLD CUP 2023,2-53,RSA,ODI,Lucknow,12 Oct 23,5.8,9,1
ICC CRICKET WORLD CUP 2023,1-31,IND,ODI,Chennai,08 Oct 23,3.8,8,0
"AUSTRALIA TOUR OF INDIA, 2023",1-53,IND,ODI,Rajkot,27 Sep 23,7.5,7,0
"THE ASHES, 2023",4-82 & 4-100,ENG,Test,London,27 Jul 23,5.6 & 5,14.4 & 20,1 & 2
"THE ASHES, 2023",2-137 & DNB,ENG,Test,Manchester,19 Jul 23,5.4 & DNB,25 & DNB,0 & DNB
"THE ASHES, 2023",2-59 & 5-78,ENG,Test,Leeds,06 Jul 23,4.2 & 4.8,14 & 16,3 & 0
"THE ASHES, 2023",3-88 & 3-79,ENG,Test,London,28 Jun 23,5.1 & 3.7,17 & 21.3,0 & 2
ICC WORLD TEST CHAMPIONSHIP FINAL 2023,2-71 & 2-77,IND,Test,London,07 Jun 23,5.3 & 5.5,13.4 & 14,0 & 1
"AUSTRALIA TOUR OF INDIA, 2023",0-67,IND,ODI,Chennai,22 Mar 23,6.7,10,0
"AUSTRALIA TOUR OF INDIA, 2023",5-53,IND,ODI,Visakhapatnam,19 Mar 23,6.6,8,1
"AUSTRALIA TOUR OF INDIA, 2023",3-49,IND,ODI,Mumbai,17 Mar 23,5.1,9.5,0
"AUSTRALIA TOUR OF INDIA, 2023",1-97 & DNB,IND,Test,Ahmedabad,09 Mar 23,4.4 & DNB,22 & DNB,3 & DNB
"AUSTRALIA TOUR OF INDIA, 2023",0-21 & 1-14,IND,Test,Indore,01 Mar 23,4.2 & 2,5 & 7,0 & 1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",2-39 & 1-62,RSA,Test,Melbourne,26 Dec 22,3 & 3.4,13 & 18,2 & 4
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",3-41 & 2-26,RSA,Test,Brisbane,17 Dec 22,2.9 & 2.3,14 & 11,1 & 3
"WEST INDIES TOUR OF AUSTRALIA, 2022",2-48 & 3-29,WI,Test,Adelaide,08 Dec 22,3.1 & 2.9,15.3 & 10,4 & 4
"WEST INDIES TOUR OF AUSTRALIA, 2022",3-51 & 1-65,WI,Test,Perth,30 Nov 22,2.3 & 2.8,22 & 23,7 & 4
"ENGLAND TOUR OF AUSTRALIA, 2022",4-47,ENG,ODI,Sydney,19 Nov 22,5.8,8,1
"ENGLAND TOUR OF AUSTRALIA, 2022",1-45,ENG,ODI,Adelaide,17 Nov 22,4.5,10,0
