Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",0* & 0*,RSA,Test,Cape Town,03 Jan 25,0 & 0,0 & 0,0 & 0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",10* & 0,RSA,Test,Centurion,26 Dec 24,35.7 & 0,1 & 0,0 & 0
"PAKISTAN TOUR OF WEST INDIES, 2021",0* & DNB,WI,Test,"Kingston, Jamaica",20 Aug 21,0 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF WEST INDIES, 2021",0 & 1*,WI,Test,"Kingston, Jamaica",12 Aug 21,0 & 14.2,0 & 0,0 & 0
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",0* & 3,NZ,Test,Christchurch,03 Jan 21,0 & 10.3,0 & 0,0 & 0
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",5 & 1,NZ,Test,Mount Maunganui,26 Dec 20,9 & 3.8,1 & 0,0 & 0
"PAKISTAN TOUR OF ENGLAND, 2020",1 & DNB,ENG,Test,Southampton,21 Aug 20,10 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF ENGLAND, 2020",2 & DNB,ENG,Test,Southampton,13 Aug 20,10 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF ENGLAND, 2020",0 & 3*,ENG,Test,Manchester,05 Aug 20,0 & 42.8,0 & 0,0 & 0
"BANGLADESH TOUR OF PAKISTAN, 2020",1* & DNB,BAN,Test,Rawalpindi,07 Feb 20,3.8 & DNB,0 & DNB,0 & DNB
"SRI LANKA TOUR OF PAKISTAN TEST SERIES, 2019",0 & DNB,SL,Test,Karachi,19 Dec 19,0 & DNB,0 & DNB,0 & DNB
"SRI LANKA TOUR OF PAKISTAN TEST SERIES, 2019",DNB & DNB,SL,Test,Rawalpindi,11 Dec 19,DNB & DNB,DNB & DNB,DNB & DNB
"PAKISTAN TOUR OF AUSTRALIA, 2019",29 & 1,AUS,Test,Adelaide,29 Nov 19,37.1 & 20,4 & 0,1 & 0
"PAKISTAN V AUSTRALIA IN UAE, 2019",DNB,AUS,ODI,Dubai,31 Mar 19,DNB,DNB,DNB
"PAKISTAN V AUSTRALIA IN UAE, 2019",DNB,AUS,ODI,Sharjah,24 Mar 19,DNB,DNB,DNB
"PAKISTAN V AUSTRALIA IN UAE, 2019",DNB,AUS,ODI,Sharjah,22 Mar 19,DNB,DNB,DNB
"PAKISTAN TOUR OF SOUTH AFRICA, 2018-19",11 & 9,RSA,Test,Johannesburg,11 Jan 19,21.5 & 50,2 & 1,0 & 0
"PAKISTAN TOUR OF SOUTH AFRICA, 2018-19",0 & 10*,RSA,Test,Cape Town,03 Jan 19,0 & 34.4,0 & 2,0 & 0
"PAKISTAN V NEW ZEALAND IN UAE, 2018",DNB & DNB,NZ,Test,Dubai,24 Nov 18,DNB & DNB,DNB & DNB,DNB & DNB
"PAKISTAN V NEW ZEALAND IN UAE, 2018",0* & 0*,NZ,Test,Abu Dhabi,16 Nov 18,0 & 0,0 & 0,0 & 0
"AUSTRALIA V PAKISTAN IN UAE, 2018",10 & 0*,AUS,Test,Abu Dhabi,16 Oct 18,45.4 & 0,0 & 0,1 & 0
"AUSTRALIA V PAKISTAN IN UAE, 2018",1 & DNB,AUS,Test,Dubai,07 Oct 18,3.8 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF ENGLAND, 2018",1* & 1,ENG,Test,Leeds,01 Jun 18,7.6 & 10,0 & 0,0 & 0
"PAKISTAN TOUR OF ENGLAND, 2018",5 & DNB,ENG,Test,London,24 May 18,19.2 & DNB,1 & DNB,0 & DNB
"PAKISTAN TOUR OF IRELAND, 2018",4* & DNB,IRE,Test,Dublin,11 May 18,30.7 & DNB,1 & DNB,0 & DNB
"PAKISTAN V SRI LANKA IN UAE, 2017",1* & 3*,SL,Test,Dubai,06 Oct 17,50 & 37.5,0 & 0,0 & 0
"PAKISTAN V SRI LANKA IN UAE, 2017",1* & 0,SL,Test,Abu Dhabi,28 Sep 17,2.9 & 0,0 & 0,0 & 0
"PAKISTAN TOUR OF WEST INDIES, 2017",4 & DNB,WI,Test,"Roseau, Dominica",10 May 17,9.3 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF WEST INDIES, 2017",1* & 0*,WI,Test,"Bridgetown, Barbados",30 Apr 17,20 & 0,0 & 0,0 & 0
"PAKISTAN TOUR OF WEST INDIES, 2017",1 & DNB,WI,Test,"Kingston, Jamaica",21 Apr 17,4.7 & DNB,0 & DNB,0 & DNB
