Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Lucknow,07 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,04 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,11*(6),KKR,T20,Lucknow,26 Apr 26,183.3,1,1
INDIAN PREMIER LEAGUE 2026,6(4),RR,T20,Lucknow,22 Apr 26,150,0,1
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,19 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(1),RCB,T20,Bengaluru,15 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,12*(5),GT,T20,Lucknow,12 Apr 26,240,1,1
INDIAN PREMIER LEAGUE 2026,1(3),KKR,T20,Kolkata,09 Apr 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Hyderabad,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1(2),DC,T20,Lucknow,01 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,02 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,25 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Mumbai,17 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Hyderabad,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,6*(2),GT,T20,Hyderabad,06 Apr 25,300,1,0
INDIAN PREMIER LEAGUE 2025,2*(4),KKR,T20,Kolkata,03 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,1*(1),DC,T20,Visakhapatnam,30 Mar 25,100,0,0
INDIAN PREMIER LEAGUE 2025,1(3),LSG,T20,Hyderabad,27 Mar 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Hyderabad,23 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",DNB,NZ,ODI,Dubai,09 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",DNB,AUS,ODI,Dubai,04 Mar 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",5(8),NZ,ODI,Dubai,02 Mar 25,62.5,0,0
"ICC CHAMPIONS TROPHY, 2025",DNB,PAK,ODI,Dubai,23 Feb 25,DNB,DNB,DNB
"ICC CHAMPIONS TROPHY, 2025",DNB,BAN,ODI,Dubai,20 Feb 25,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2025",DNB,ENG,ODI,Cuttack,09 Feb 25,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2025",DNB,ENG,ODI,Nagpur,06 Feb 25,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2025",0*(4),ENG,T20I,Mumbai,02 Feb 25,0,0,0
"ENGLAND TOUR OF INDIA, 2025",7(4),ENG,T20I,Rajkot,28 Jan 25,175,0,1
ICC CRICKET WORLD CUP 2023,6(10),AUS,ODI,Ahmedabad,19 Nov 23,60,1,0
ICC CRICKET WORLD CUP 2023,DNB,NZ,ODI,Mumbai,15 Nov 23,DNB,DNB,DNB
ICC CRICKET WORLD CUP 2023,DNB,NED,ODI,Bengaluru,12 Nov 23,DNB,DNB,DNB
ICC CRICKET WORLD CUP 2023,DNB,RSA,ODI,Kolkata,05 Nov 23,DNB,DNB,DNB
ICC CRICKET WORLD CUP 2023,2(4),SL,ODI,Mumbai,02 Nov 23,50,0,0
