Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Ahmedabad,03 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Ahmedabad,30 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Chennai,26 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,24 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(3),MI,T20,Ahmedabad,20 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Ahmedabad,17 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,12 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,08 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Ahmedabad,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,31 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,USA,T20I,Mumbai,07 Feb 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",0(1),NZ,ODI,Indore,18 Jan 26,0,0,0
"NEW ZEALAND TOUR OF INDIA, 2026",2*(3),NZ,ODI,Rajkot,14 Jan 26,66.6,0,0
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,ODI,Vadodara,11 Jan 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",2* & 0,RSA,Test,Guwahati,22 Nov 25,33.3 & 0,0 & 0,0 & 0
"SOUTH AFRICA TOUR OF INDIA, 2025",1 & 0,RSA,Test,Kolkata,14 Nov 25,11.1 & 0,0 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,ODI,Sydney,25 Oct 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",0*(1),AUS,ODI,Adelaide,23 Oct 25,0,0,0
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,ODI,Perth,19 Oct 25,DNB,DNB,DNB
"WEST INDIES TOUR OF INDIA, 2025",DNB & DNB,WI,Test,Delhi,10 Oct 25,DNB & DNB,DNB & DNB,DNB & DNB
"WEST INDIES TOUR OF INDIA, 2025",DNB & DNB,WI,Test,Ahmedabad,02 Oct 25,DNB & DNB,DNB & DNB,DNB & DNB
"INDIA TOUR OF ENGLAND, 2025",0 & 0,ENG,Test,London,31 Jul 25,0 & 0,0 & 0,0 & 0
"INDIA TOUR OF ENGLAND, 2025",5* & DNB,ENG,Test,Manchester,23 Jul 25,71.4 & DNB,1 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2025",0* & 4,ENG,Test,London,10 Jul 25,0 & 13.3,0 & 0,0 & 0
"INDIA TOUR OF ENGLAND, 2025",8 & DNB,ENG,Test,Birmingham,02 Jul 25,34.7 & DNB,1 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2025",3* & 0,ENG,Test,Leeds,20 Jun 25,42.8 & 0,0 & 0,0 & 0
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,New Chandigarh,30 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,3*(4),CSK,T20,Ahmedabad,25 May 25,75,0,0
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Ahmedabad,22 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Mumbai,06 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Ahmedabad,02 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,28 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,21 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Ahmedabad,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Ahmedabad,09 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,06 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,02 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Ahmedabad,29 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Ahmedabad,25 Mar 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",3* & 4,AUS,Test,Sydney,03 Jan 25,18.7 & 36.3,0 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",4* & 0,AUS,Test,Melbourne,26 Dec 24,26.6 & 0,0 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",1 & DNB,AUS,Test,Brisbane,14 Dec 24,9 & DNB,0 & DNB,0 & DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",4* & 7,AUS,Test,Adelaide,06 Dec 24,133.3 & 87.5,1 & 1,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",DNB & DNB,AUS,Test,Perth,22 Nov 24,DNB & DNB,DNB & DNB,DNB & DNB
"NEW ZEALAND TOUR OF INDIA, 2024",0 & 0*,NZ,Test,Mumbai,01 Nov 24,0 & 0,0 & 0,0 & 0
"NEW ZEALAND TOUR OF INDIA, 2024",4* & 0,NZ,Test,Bengaluru,16 Oct 24,25 & 0,1 & 0,0 & 0
"BANGLADESH TOUR OF INDIA, 2024",DNB & DNB,BAN,Test,Kanpur,27 Sep 24,DNB & DNB,DNB & DNB,DNB & DNB
"BANGLADESH TOUR OF INDIA, 2024",0* & DNB,BAN,Test,Chennai,19 Sep 24,0 & DNB,0 & DNB,0 & DNB
