Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-47,MI,T20,Mumbai,04 May 26,11.7,4,0
INDIAN PREMIER LEAGUE 2026,5-23,KKR,T20,Lucknow,26 Apr 26,5.7,4,1
INDIAN PREMIER LEAGUE 2026,2-17,RR,T20,Lucknow,22 Apr 26,4.2,4,1
INDIAN PREMIER LEAGUE 2026,1-43,PBKS,T20,New Chandigarh,19 Apr 26,10.7,4,0
INDIAN PREMIER LEAGUE 2026,1-19,DC,T20,Lucknow,01 Apr 26,4.7,4,1
INDIAN PREMIER LEAGUE 2024,1-45,MI,T20,Mumbai,17 May 24,11.2,4,0
INDIAN PREMIER LEAGUE 2024,0-29,DC,T20,Delhi,14 May 24,7.2,4,0
INDIAN PREMIER LEAGUE 2024,0-28,KKR,T20,Lucknow,05 May 24,14,2,0
INDIAN PREMIER LEAGUE 2024,2-36,MI,T20,Lucknow,30 Apr 24,9,4,0
INDIAN PREMIER LEAGUE 2024,0-52,RR,T20,Lucknow,27 Apr 24,13,4,0
INDIAN PREMIER LEAGUE 2024,1-50,CSK,T20,Chennai,23 Apr 24,12.5,4,0
INDIAN PREMIER LEAGUE 2024,1-37,CSK,T20,Lucknow,19 Apr 24,9.2,4,0
INDIAN PREMIER LEAGUE 2024,2-29,KKR,T20,Kolkata,14 Apr 24,7.2,4,0
INDIAN PREMIER LEAGUE 2024,2-34,PBKS,T20,Lucknow,30 Mar 24,8.5,4,0
INDIAN PREMIER LEAGUE 2024,1-45,RR,T20,Jaipur,24 Mar 24,11.2,4,0
INDIAN PREMIER LEAGUE 2023,1-24,MI,T20,Chennai,24 May 23,8,3,0
INDIAN PREMIER LEAGUE 2023,0-15,KKR,T20,Kolkata,20 May 23,15,1,0
INDIAN PREMIER LEAGUE 2023,1-26,MI,T20,Lucknow,16 May 23,8.6,3,0
INDIAN PREMIER LEAGUE 2023,1-42,GT,T20,Ahmedabad,07 May 23,14,3,0
INDIAN PREMIER LEAGUE 2022,1-25,RCB,T20,Kolkata,25 May 22,6.2,4,0
INDIAN PREMIER LEAGUE 2022,3-20,KKR,T20,Navi Mumbai,18 May 22,5,4,0
INDIAN PREMIER LEAGUE 2022,0-43,RR,T20,Mumbai,15 May 22,10.7,4,0
INDIAN PREMIER LEAGUE 2022,1-18,GT,T20,Pune,10 May 22,4.5,4,0
INDIAN PREMIER LEAGUE 2022,1-6,KKR,T20,Pune,07 May 22,2,3,1
INDIAN PREMIER LEAGUE 2022,4-16,DC,T20,Mumbai,01 May 22,4,4,0
INDIAN PREMIER LEAGUE 2022,3-24,PBKS,T20,Pune,29 Apr 22,6,4,1
INDIAN PREMIER LEAGUE 2022,1-27,MI,T20,Mumbai,24 Apr 22,6.7,4,0
INDIAN PREMIER LEAGUE 2022,0-18,GT,T20,Mumbai,28 Mar 22,9,2,0
