Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,05 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Chennai,02 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,23 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Hyderabad,18 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,New Chandigarh,08 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Chennai,05 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Hyderabad,05 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RR,T20,Mumbai,20 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,GT,T20,Mumbai,15 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,4(4),MI,T20,Mumbai,12 May 22,100,1,0
INDIAN PREMIER LEAGUE 2022,DNB,DC,T20,Navi Mumbai,08 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RCB,T20,Pune,04 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,SRH,T20,Pune,01 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,PBKS,T20,Mumbai,25 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,MI,T20,Navi Mumbai,21 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,GT,T20,Pune,17 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RCB,T20,Navi Mumbai,12 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,SRH,T20,Navi Mumbai,09 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,2*(2),PBKS,T20,Mumbai,03 Apr 22,100,0,0
INDIAN PREMIER LEAGUE 2022,DNB,LSG,T20,Mumbai,31 Mar 22,DNB,DNB,DNB
