Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-7,KKR,T20,Delhi,08 May 26,35,0.2,0
INDIAN PREMIER LEAGUE 2026,0-55,PBKS,T20,Delhi,25 Apr 26,18.3,3,0
INDIAN PREMIER LEAGUE 2026,0-53,SRH,T20,Hyderabad,21 Apr 26,13.2,4,0
INDIAN PREMIER LEAGUE 2026,1-32,RCB,T20,Bengaluru,18 Apr 26,8,4,0
INDIAN PREMIER LEAGUE 2026,0-37,CSK,T20,Chennai,11 Apr 26,9.2,4,0
INDIAN PREMIER LEAGUE 2026,2-55,GT,T20,Delhi,08 Apr 26,13.7,4,0
INDIAN PREMIER LEAGUE 2026,2-26,MI,T20,Delhi,04 Apr 26,8.6,3,0
INDIAN PREMIER LEAGUE 2026,0-17,LSG,T20,Lucknow,01 Apr 26,5.6,3,0
INDIAN PREMIER LEAGUE 2025,1-49,PBKS,T20,Jaipur,24 May 25,12.2,4,0
INDIAN PREMIER LEAGUE 2025,2-48,MI,T20,Mumbai,21 May 25,12,4,0
INDIAN PREMIER LEAGUE 2025,0-17,KKR,T20,Delhi,29 Apr 25,8.5,2,0
INDIAN PREMIER LEAGUE 2025,0-51,RCB,T20,Delhi,27 Apr 25,15.4,3.3,0
INDIAN PREMIER LEAGUE 2025,4-33,LSG,T20,Lucknow,22 Apr 25,8.2,4,0
INDIAN PREMIER LEAGUE 2025,1-40,GT,T20,Ahmedabad,19 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-31,RR,T20,Delhi,16 Apr 25,10.3,3,0
INDIAN PREMIER LEAGUE 2025,1-38,MI,T20,Delhi,13 Apr 25,9.5,4,0
INDIAN PREMIER LEAGUE 2025,1-26,RCB,T20,Bengaluru,10 Apr 25,8.6,3,1
INDIAN PREMIER LEAGUE 2025,1-36,CSK,T20,Chennai,05 Apr 25,9,4,0
INDIAN PREMIER LEAGUE 2025,0-17,SRH,T20,Visakhapatnam,30 Mar 25,8.5,2,0
INDIAN PREMIER LEAGUE 2025,1-22,LSG,T20,Visakhapatnam,24 Mar 25,11,2,0
"INDIA TOUR OF ZIMBABWE, 2024",4-22,ZIM,T20I,Harare,14 Jul 24,6.6,3.3,0
"INDIA TOUR OF ZIMBABWE, 2024",3-37,ZIM,T20I,Harare,07 Jul 24,10.8,3.4,0
"INDIA TOUR OF ZIMBABWE, 2024",1-16,ZIM,T20I,Harare,06 Jul 24,5.3,3,0
INDIAN PREMIER LEAGUE 2024,1-33,LSG,T20,Delhi,14 May 24,8.2,4,0
INDIAN PREMIER LEAGUE 2024,1-23,RCB,T20,Bengaluru,12 May 24,7.6,3,0
INDIAN PREMIER LEAGUE 2024,2-30,RR,T20,Delhi,07 May 24,10,3,0
INDIAN PREMIER LEAGUE 2024,3-59,MI,T20,Delhi,27 Apr 24,14.7,4,0
INDIAN PREMIER LEAGUE 2024,1-41,GT,T20,Delhi,24 Apr 24,10.2,4,0
INDIAN PREMIER LEAGUE 2024,1-57,SRH,T20,Delhi,20 Apr 24,14.2,4,0
INDIAN PREMIER LEAGUE 2024,3-14,GT,T20,Ahmedabad,17 Apr 24,6,2.3,0
INDIAN PREMIER LEAGUE 2024,1-41,LSG,T20,Lucknow,12 Apr 24,10.2,4,0
INDIAN PREMIER LEAGUE 2024,3-21,CSK,T20,Visakhapatnam,31 Mar 24,7,3,0
INDIAN PREMIER LEAGUE 2024,1-49,RR,T20,Jaipur,28 Mar 24,12.2,4,0
"ENGLAND TOUR OF INDIA, 2024",0-44 & 1-26,ENG,Test,Visakhapatnam,02 Feb 24,6.2 & 5.2,7 & 5,1 & 1
"AFGHANISTAN TOUR OF INDIA, 2024",0-44,AFG,T20I,Bengaluru,17 Jan 24,11,4,0
"AFGHANISTAN TOUR OF INDIA, 2024",0-21,AFG,T20I,Indore,14 Jan 24,10.5,2,0
"AFGHANISTAN TOUR OF INDIA, 2024",2-33,AFG,T20I,Mohali,11 Jan 24,8.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",2-0 & 2-56,RSA,Test,Cape Town,03 Jan 24,0 & 5.6,2.2 & 10,2 & 2
"INDIA TOUR OF SOUTH AFRICA, 2023-24",1-56,RSA,ODI,Paarl,21 Dec 23,6.2,9,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",0-46,RSA,ODI,Gqeberha,19 Dec 23,5.7,8,2
"INDIA TOUR OF SOUTH AFRICA, 2023-24",0-46,RSA,ODI,Johannesburg,17 Dec 23,6.5,7,0
