Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,5(16),JPN,T20I,Nisshin,09 May 26,31.2,0,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,32*(22),FIJI,T20I,Nisshin,08 May 26,145.4,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",9(10),WSM,T20I,Apia,24 Aug 24,90,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2(3),FIJI,T20I,Apia,23 Aug 24,66.6,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",38(31),CIS,T20I,Apia,21 Aug 24,122.5,2,2
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",73(52),WSM,T20I,Apia,20 Aug 24,140.3,6,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",23(20),FIJI,T20I,Apia,19 Aug 24,115,3,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",9(8),CIS,T20I,Apia,17 Aug 24,112.5,1,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",24(34),KUW,T20I,Kuala Lumpur,11 Mar 24,70.5,1,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",18(22),BHR,T20I,Kuala Lumpur,10 Mar 24,81.8,1,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",3(8),KUW,T20I,Kuala Lumpur,07 Mar 24,37.5,0,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",34(47),MLY,T20I,Kuala Lumpur,06 Mar 24,72.3,1,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",14(11),TAN,T20I,Kuala Lumpur,05 Mar 24,127.2,1,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,36*(39),PHI,T20I,Port Moresby,29 Jul 23,92.3,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,74*(50),JPN,T20I,Port Moresby,28 Jul 23,148,2,4
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,10(11),PNG,T20I,Port Moresby,26 Jul 23,90.9,1,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,8(8),PHI,T20I,Port Moresby,25 Jul 23,100,1,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,18(17),JPN,T20I,Port Moresby,23 Jul 23,105.8,2,1
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,1(7),PNG,T20I,Port Moresby,22 Jul 23,14.2,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",31(16),CIS,T20I,Port Vila,15 Sep 22,193.7,4,2
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",21(14),WSM,T20I,Port Vila,13 Sep 22,150,3,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",62*(46),WSM,T20I,Port Vila,10 Sep 22,134.7,3,4
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",1(5),CIS,T20I,Port Vila,10 Sep 22,20,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",51(24),FIJI,T20I,Port Vila,08 Sep 22,212.5,8,2
"VANUATU TOUR OF MALAYSIA, 2019",11(13),MLY,T20I,Kuala Lumpur,04 Oct 19,84.6,1,0
"VANUATU TOUR OF MALAYSIA, 2019",23*(22),MLY,T20I,Kuala Lumpur,03 Oct 19,104.5,0,1
"VANUATU TOUR OF MALAYSIA, 2019",42(30),MLY,T20I,Kuala Lumpur,02 Oct 19,140,1,2
"VANUATU TOUR OF MALAYSIA, 2019",43(28),MLY,T20I,Kuala Lumpur,02 Oct 19,153.5,1,4
"VANUATU TOUR OF MALAYSIA, 2019",2(2),MLY,T20I,Kuala Lumpur,29 Sep 19,100,0,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,3(10),PNG,T20I,Port Moresby,24 Mar 19,30,0,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,6*(8),PHI,T20I,Port Moresby,24 Mar 19,75,0,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,62(57),PHI,T20I,Port Moresby,23 Mar 19,108.7,5,2
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,53(55),PNG,T20I,Port Moresby,22 Mar 19,96.3,4,1
