Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,23*(12),LSG,T20,Mumbai,04 May 26,191.6,3,1
INDIAN PREMIER LEAGUE 2026,57(37),CSK,T20,Chennai,02 May 26,154,4,3
INDIAN PREMIER LEAGUE 2026,22(17),SRH,T20,Mumbai,29 Apr 26,129.4,3,0
INDIAN PREMIER LEAGUE 2026,0(3),CSK,T20,Mumbai,23 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,45(32),GT,T20,Ahmedabad,20 Apr 26,140.6,6,1
INDIAN PREMIER LEAGUE 2026,50(31),PBKS,T20,Mumbai,16 Apr 26,161.2,3,3
INDIAN PREMIER LEAGUE 2026,1(2),RCB,T20,Mumbai,12 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,25(13),RR,T20,Guwahati,07 Apr 26,192.3,3,1
INDIAN PREMIER LEAGUE 2026,28(21),DC,T20,Delhi,04 Apr 26,133.3,2,1
INDIAN PREMIER LEAGUE 2026,5*(2),KKR,T20,Mumbai,29 Mar 26,250,1,0
INDIAN PREMIER LEAGUE 2025,37(18),PBKS,T20,Ahmedabad,01 Jun 25,205.5,7,0
INDIAN PREMIER LEAGUE 2025,9(6),GT,T20,New Chandigarh,30 May 25,150,0,1
INDIAN PREMIER LEAGUE 2025,20(12),PBKS,T20,Jaipur,26 May 25,166.6,0,2
INDIAN PREMIER LEAGUE 2025,24*(8),DC,T20,Mumbai,21 May 25,300,2,2
INDIAN PREMIER LEAGUE 2025,7(10),GT,T20,Mumbai,06 May 25,70,1,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,01 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,25*(11),LSG,T20,Mumbai,27 Apr 25,227.2,2,2
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,23 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Mumbai,20 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,0(3),SRH,T20,Mumbai,17 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,38*(17),DC,T20,Delhi,13 Apr 25,223.5,3,2
INDIAN PREMIER LEAGUE 2025,11(6),RCB,T20,Mumbai,07 Apr 25,183.3,1,1
INDIAN PREMIER LEAGUE 2025,46(24),LSG,T20,Lucknow,04 Apr 25,191.6,4,3
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Mumbai,31 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,18*(11),GT,T20,Ahmedabad,29 Mar 25,163.6,3,0
INDIAN PREMIER LEAGUE 2025,17(12),CSK,T20,Chennai,23 Mar 25,141.6,1,0
INDIAN PREMIER LEAGUE 2024,62*(28),LSG,T20,Mumbai,17 May 24,221.4,4,5
INDIAN PREMIER LEAGUE 2024,17(6),KKR,T20,Kolkata,11 May 24,283.3,1,2
INDIAN PREMIER LEAGUE 2024,0(9),SRH,T20,Mumbai,06 May 24,0,0,0
INDIAN PREMIER LEAGUE 2024,11(11),KKR,T20,Mumbai,03 May 24,100,2,0
INDIAN PREMIER LEAGUE 2024,0(1),RR,T20,Mumbai,01 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,30(14),SRH,T20,Hyderabad,27 Mar 24,214.2,2,2
INDIAN PREMIER LEAGUE 2024,20(10),GT,T20,Ahmedabad,24 Mar 24,200,3,1
