Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-37,LSG,T20,Kolkata,09 Apr 26,12.3,3,0
INDIAN PREMIER LEAGUE 2023,3-40,PBKS,T20,Dharamsala,19 May 23,10,4,0
INDIAN PREMIER LEAGUE 2023,0-34,SRH,T20,Hyderabad,02 Apr 23,17,2,0
INDIAN PREMIER LEAGUE 2022,1-36,RCB,T20,Mumbai,05 Apr 22,12,3,0
INDIAN PREMIER LEAGUE 2022,2-36,MI,T20,Navi Mumbai,02 Apr 22,12,3,0
INDIAN PREMIER LEAGUE 2021,0-25,CSK,T20,Sharjah,24 Sep 21,12.5,2,0
"INDIA TOUR OF SRI LANKA, 2021",0-27,SL,ODI,Colombo,23 Jul 21,5.4,5,0
INDIAN PREMIER LEAGUE 2021,0-27,CSK,T20,Mumbai,25 Apr 21,13.5,2,0
"INDIA TOUR OF AUSTRALIA, 2020-21",0-21 & 0-32,AUS,Test,Brisbane,15 Jan 21,2.8 & 6.4,7.5 & 5,2 & 1
"INDIA TOUR OF AUSTRALIA, 2020-21",2-65 & 2-54,AUS,Test,Sydney,07 Jan 21,5 & 3.3,13 & 16,0 & 2
"INDIA TOUR OF AUSTRALIA, 2020-21",0-70,AUS,ODI,Sydney,29 Nov 20,10,7,0
"INDIA TOUR OF AUSTRALIA, 2020-21",1-83,AUS,ODI,Sydney,27 Nov 20,8.3,10,0
INDIAN PREMIER LEAGUE 2020,0-31,SRH,T20,Abu Dhabi,06 Nov 20,9.1,3.4,0
INDIAN PREMIER LEAGUE 2020,1-30,SRH,T20,Sharjah,31 Oct 20,15,2,0
INDIAN PREMIER LEAGUE 2020,0-19,CSK,T20,Dubai,25 Oct 20,6.3,3,0
INDIAN PREMIER LEAGUE 2020,1-23,KKR,T20,Abu Dhabi,21 Oct 20,7.6,3,0
INDIAN PREMIER LEAGUE 2020,0-30,RR,T20,Dubai,17 Oct 20,7.5,4,0
INDIAN PREMIER LEAGUE 2020,0-21,PBKS,T20,Sharjah,15 Oct 20,5.2,4,0
