Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,38(23),RCB,T20,Lucknow,07 May 26,165.2,4,1
INDIAN PREMIER LEAGUE 2026,63(21),MI,T20,Mumbai,04 May 26,300,1,8
INDIAN PREMIER LEAGUE 2026,9(12),KKR,T20,Lucknow,26 Apr 26,75,0,1
INDIAN PREMIER LEAGUE 2026,22(25),RR,T20,Lucknow,22 Apr 26,88,3,0
INDIAN PREMIER LEAGUE 2026,9(9),PBKS,T20,New Chandigarh,19 Apr 26,100,1,0
INDIAN PREMIER LEAGUE 2026,1(7),RCB,T20,Bengaluru,15 Apr 26,14.2,0,0
INDIAN PREMIER LEAGUE 2026,19(21),GT,T20,Lucknow,12 Apr 26,90.4,0,2
INDIAN PREMIER LEAGUE 2026,13(15),KKR,T20,Kolkata,09 Apr 26,86.6,0,1
INDIAN PREMIER LEAGUE 2026,1(4),SRH,T20,Hyderabad,05 Apr 26,25,0,0
INDIAN PREMIER LEAGUE 2026,8(8),DC,T20,Lucknow,01 Apr 26,100,1,0
INDIAN PREMIER LEAGUE 2025,13(10),RCB,T20,Lucknow,27 May 25,130,1,0
INDIAN PREMIER LEAGUE 2025,56*(27),GT,T20,Ahmedabad,22 May 25,207.4,4,5
INDIAN PREMIER LEAGUE 2025,45(26),SRH,T20,Lucknow,19 May 25,173,6,1
INDIAN PREMIER LEAGUE 2025,6(5),PBKS,T20,Dharamsala,04 May 25,120,1,0
INDIAN PREMIER LEAGUE 2025,27(15),MI,T20,Mumbai,27 Apr 25,180,1,3
INDIAN PREMIER LEAGUE 2025,9(5),DC,T20,Lucknow,22 Apr 25,180,2,0
INDIAN PREMIER LEAGUE 2025,11(8),RR,T20,Jaipur,19 Apr 25,137.5,2,0
INDIAN PREMIER LEAGUE 2025,8(9),CSK,T20,Lucknow,14 Apr 25,88.8,2,0
INDIAN PREMIER LEAGUE 2025,61(34),GT,T20,Lucknow,12 Apr 25,179.4,1,7
INDIAN PREMIER LEAGUE 2025,87*(36),KKR,T20,Kolkata,08 Apr 25,241.6,7,8
INDIAN PREMIER LEAGUE 2025,12(6),MI,T20,Lucknow,04 Apr 25,200,1,1
INDIAN PREMIER LEAGUE 2025,44(30),PBKS,T20,Lucknow,01 Apr 25,146.6,5,2
INDIAN PREMIER LEAGUE 2025,70(26),SRH,T20,Hyderabad,27 Mar 25,269.2,6,6
INDIAN PREMIER LEAGUE 2025,75(30),DC,T20,Visakhapatnam,24 Mar 25,250,6,7
"BANGLADESH TOUR OF WEST INDIES, 2024",15(10),BAN,T20I,"Kingstown, St Vincent",19 Dec 24,150,2,1
"BANGLADESH TOUR OF WEST INDIES, 2024",5(8),BAN,T20I,"Kingstown, St Vincent",17 Dec 24,62.5,1,0
"BANGLADESH TOUR OF WEST INDIES, 2024",1(6),BAN,T20I,"Kingstown, St Vincent",15 Dec 24,16.6,0,0
"ENGLAND TOUR OF WEST INDIES, 2024",DNB,ENG,T20I,"Gros Islet, St Lucia",17 Nov 24,DNB,DNB,DNB
"ENGLAND TOUR OF WEST INDIES, 2024",0(2),ENG,T20I,"Gros Islet, St Lucia",16 Nov 24,0,0,0
"ENGLAND TOUR OF WEST INDIES, 2024",7(4),ENG,T20I,"Gros Islet, St Lucia",14 Nov 24,175,0,1
"ENGLAND TOUR OF WEST INDIES, 2024",14(23),ENG,T20I,"Bridgetown, Barbados",10 Nov 24,60.8,1,0
"ENGLAND TOUR OF WEST INDIES, 2024",38(29),ENG,T20I,"Bridgetown, Barbados",09 Nov 24,131,2,3
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",35(13),RSA,T20I,"Tarouba, Trinidad",27 Aug 24,269.2,2,4
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",19(19),RSA,T20I,"Tarouba, Trinidad",25 Aug 24,100,0,1
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",65*(26),RSA,T20I,"Tarouba, Trinidad",23 Aug 24,250,2,7
ICC MENS T20 WORLD CUP 2024,1(3),RSA,T20I,"North Sound, Antigua",23 Jun 24,33.3,0,0
ICC MENS T20 WORLD CUP 2024,27*(12),USA,T20I,"Bridgetown, Barbados",21 Jun 24,225,1,3
ICC MENS T20 WORLD CUP 2024,36(32),ENG,T20I,"Gros Islet, St Lucia",19 Jun 24,112.5,4,1
ICC MENS T20 WORLD CUP 2024,98(53),AFG,T20I,"Gros Islet, St Lucia",17 Jun 24,184.9,6,8
ICC MENS T20 WORLD CUP 2024,17(12),NZ,T20I,"Tarouba, Trinidad",12 Jun 24,141.6,3,0
