Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-11,PBKS,T20,Hyderabad,06 May 26,5.5,2,0
INDIAN PREMIER LEAGUE 2026,1-31,MI,T20,Mumbai,29 Apr 26,15.5,2,0
INDIAN PREMIER LEAGUE 2026,1-20,RR,T20,Jaipur,25 Apr 26,10,2,0
INDIAN PREMIER LEAGUE 2026,0-57,DC,T20,Hyderabad,21 Apr 26,14.2,4,0
INDIAN PREMIER LEAGUE 2026,2-31,CSK,T20,Hyderabad,18 Apr 26,7.7,4,0
INDIAN PREMIER LEAGUE 2026,0-19,RR,T20,Hyderabad,13 Apr 26,9.5,2,0
INDIAN PREMIER LEAGUE 2026,0-20,PBKS,T20,New Chandigarh,11 Apr 26,10,2,0
INDIAN PREMIER LEAGUE 2026,0-14,LSG,T20,Hyderabad,05 Apr 26,14,1,0
INDIAN PREMIER LEAGUE 2026,2-17,KKR,T20,Kolkata,02 Apr 26,8.5,2,0
INDIAN PREMIER LEAGUE 2026,0-19,RCB,T20,Bengaluru,28 Mar 26,9.5,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-53,NZ,ODI,Indore,18 Jan 26,6.6,8,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-13,NZ,ODI,Rajkot,14 Jan 26,6.5,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-25 & 0-24,RSA,Test,Guwahati,22 Nov 25,4.1 & 6,6 & 4,0 & 0
"INDIA TOUR OF AUSTRALIA, 2025",0-24,AUS,ODI,Adelaide,23 Oct 25,8,3,0
"INDIA TOUR OF AUSTRALIA, 2025",0-16,AUS,ODI,Perth,19 Oct 25,7.6,2.1,0
"WEST INDIES TOUR OF INDIA, 2025",0-16 & DNB,WI,Test,Ahmedabad,02 Oct 25,4 & DNB,4 & DNB,1 & DNB
"INDIA TOUR OF ENGLAND, 2025",2-62 & 1-20,ENG,Test,London,10 Jul 25,3.6 & 4,17 & 5,0 & 1
"INDIA TOUR OF ENGLAND, 2025",0-29 & DNB,ENG,Test,Birmingham,02 Jul 25,4.8 & DNB,6 & DNB,0 & DNB
INDIAN PREMIER LEAGUE 2025,0-6,KKR,T20,Delhi,25 May 25,6,1,0
INDIAN PREMIER LEAGUE 2025,1-13,RCB,T20,Lucknow,23 May 25,6.5,2,0
INDIAN PREMIER LEAGUE 2025,1-28,LSG,T20,Lucknow,19 May 25,14,2,0
"INDIA TOUR OF AUSTRALIA, 2024-25",2-32 & 0-10,AUS,Test,Sydney,03 Jan 25,4.5 & 5,7 & 2,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",0-21 & 0-4,AUS,Test,Melbourne,26 Dec 24,3 & 4,7 & 1,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",1-65 & DNB,AUS,Test,Brisbane,14 Dec 24,5 & DNB,13 & DNB,1 & DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",1-25 & 0-8,AUS,Test,Adelaide,06 Dec 24,4.1 & 8,6 & 1,2 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",0-4 & 1-21,AUS,Test,Perth,22 Nov 24,1.3 & 5.2,3 & 4,0 & 0
"BANGLADESH TOUR OF INDIA, 2024",1-31,BAN,T20I,Hyderabad,12 Oct 24,10.3,3,0
"BANGLADESH TOUR OF INDIA, 2024",2-23,BAN,T20I,Delhi,09 Oct 24,5.7,4,0
"BANGLADESH TOUR OF INDIA, 2024",0-17,BAN,T20I,Gwalior,06 Oct 24,8.5,2,0
INDIAN PREMIER LEAGUE 2024,0-13,KKR,T20,Ahmedabad,21 May 24,13,1,0
INDIAN PREMIER LEAGUE 2024,0-54,PBKS,T20,Hyderabad,19 May 24,18,3,0
INDIAN PREMIER LEAGUE 2024,0-16,MI,T20,Mumbai,06 May 24,8,2,0
INDIAN PREMIER LEAGUE 2024,0-12,RR,T20,Hyderabad,02 May 24,12,1,0
INDIAN PREMIER LEAGUE 2024,0-8,CSK,T20,Chennai,28 Apr 24,8,1,0
INDIAN PREMIER LEAGUE 2024,2-17,DC,T20,Delhi,20 Apr 24,8.1,2.1,0
INDIAN PREMIER LEAGUE 2024,1-33,PBKS,T20,New Chandigarh,09 Apr 24,11,3,0
INDIAN PREMIER LEAGUE 2023,0-35,MI,T20,Mumbai,21 May 23,11.6,3,0
INDIAN PREMIER LEAGUE 2023,0-19,RCB,T20,Hyderabad,18 May 23,9.5,2,0
