Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",6* & 0,RSA,Test,Rawalpindi,20 Oct 25,31.5 & 0,0 & 0,0 & 0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0 & 11,RSA,Test,Lahore,12 Oct 25,0 & 68.7,0 & 0,0 & 1
"WEST INDIES TOUR OF PAKISTAN, 2025",0 & 6,WI,Test,Multan,25 Jan 25,0 & 100,0 & 0,0 & 1
"WEST INDIES TOUR OF PAKISTAN, 2025",0 & 9,WI,Test,Multan,17 Jan 25,0 & 60,0 & 0,0 & 0
"ENGLAND TOUR OF PAKISTAN, 2024",45 & DNB,ENG,Test,Rawalpindi,24 Oct 24,53.5 & DNB,2 & DNB,1 & DNB
"ENGLAND TOUR OF PAKISTAN, 2024",32 & 1,ENG,Test,Multan,15 Oct 24,52.4 & 33.3,5 & 0,0 & 0
"PAKISTAN TOUR OF SRI LANKA, 2023",DNB & DNB,SL,Test,Colombo,24 Jul 23,DNB & DNB,DNB & DNB,DNB & DNB
"PAKISTAN TOUR OF SRI LANKA, 2023",25 & 0,SL,Test,Galle,16 Jul 23,43.8 & 0,4 & 0,0 & 0
"NEW ZEALAND TOUR OF PAKISTAN, 2022-23",7 & 4,NZ,Test,Karachi,26 Dec 22,9.3 & 26.6,1 & 1,0 & 0
"ENGLAND TOUR OF PAKISTAN, 2022",20 & 15,ENG,Test,Karachi,17 Dec 22,83.3 & 40.5,3 & 2,0 & 0
"PAKISTAN TOUR OF SRI LANKA, 2022",1 & 0*,SL,Test,Galle,24 Jul 22,9 & 0,0 & 0,0 & 0
"AUSTRALIA TOUR OF PAKISTAN, 2022",0 & 1*,AUS,Test,Lahore,21 Mar 22,0 & 5,0 & 0,0 & 0
"AUSTRALIA TOUR OF PAKISTAN, 2022",20* & 0*,AUS,Test,Karachi,12 Mar 22,57.1 & 0,4 & 0,0 & 0
"AUSTRALIA TOUR OF PAKISTAN, 2022",DNB & DNB,AUS,Test,Rawalpindi,04 Mar 22,DNB & DNB,DNB & DNB,DNB & DNB
"PAKISTAN TOUR OF BANGLADESH, 2021",DNB & DNB,BAN,Test,Dhaka,04 Dec 21,DNB & DNB,DNB & DNB,DNB & DNB
"PAKISTAN TOUR OF BANGLADESH, 2021",8 & DNB,BAN,Test,Chattogram,26 Nov 21,57.1 & DNB,1 & DNB,0 & DNB
"PAKISTAN TOUR OF WEST INDIES, 2021",0 & DNB,WI,Test,"Kingston, Jamaica",20 Aug 21,0 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF ZIMBABWE, 2021",97 & DNB,ZIM,Test,Harare,07 May 21,93.2 & DNB,9 & DNB,5 & DNB
"PAKISTAN TOUR OF ZIMBABWE, 2021",0 & DNB,ZIM,Test,Harare,29 Apr 21,0 & DNB,0 & DNB,0 & DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2021",8 & 45,RSA,Test,Rawalpindi,04 Feb 21,22.2 & 57.6,1 & 6,0 & 2
"SOUTH AFRICA TOUR OF PAKISTAN, 2021",24 & DNB,RSA,Test,Karachi,26 Jan 21,48.9 & DNB,3 & DNB,0 & DNB
