Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,2-34,PBKS,T20,Hyderabad,06 May 26,8.5,4,0
INDIAN PREMIER LEAGUE 2026,1-47,KKR,T20,Hyderabad,03 May 26,11.7,4,0
INDIAN PREMIER LEAGUE 2026,0-39,MI,T20,Mumbai,29 Apr 26,9.7,4,0
INDIAN PREMIER LEAGUE 2026,1-27,RR,T20,Jaipur,25 Apr 26,6.7,4,0
"THE ASHES, 2025-26",3-69 & 3-48,ENG,Test,Adelaide,17 Dec 25,4 & 2.8,17 & 17,3 & 4
"AUSTRALIA TOUR OF WEST INDIES, 2025",2-24 & DNB,WI,Test,"Kingston, Jamaica",13 Jul 25,2.1 & DNB,11 & DNB,1 & DNB
"AUSTRALIA TOUR OF WEST INDIES, 2025",2-46 & 1-26,WI,Test,"St Georges, Grenada",03 Jul 25,2.8 & 3.2,16 & 8,2 & 1
"AUSTRALIA TOUR OF WEST INDIES, 2025",2-34 & 1-15,WI,Test,"Bridgetown, Barbados",25 Jun 25,1.8 & 2.1,18 & 7,6 & 2
ICC WORLD TEST CHAMPIONSHIP FINAL 2025,6-28 & 1-59,RSA,Test,London,11 Jun 25,1.5 & 3.4,18.1 & 17,6 & 0
INDIAN PREMIER LEAGUE 2025,0-25,KKR,T20,Delhi,25 May 25,12.5,2,0
INDIAN PREMIER LEAGUE 2025,3-28,RCB,T20,Lucknow,23 May 25,7,4,0
INDIAN PREMIER LEAGUE 2025,0-34,LSG,T20,Lucknow,19 May 25,8.5,4,0
INDIAN PREMIER LEAGUE 2025,3-19,DC,T20,Hyderabad,05 May 25,4.7,4,0
INDIAN PREMIER LEAGUE 2025,1-40,GT,T20,Ahmedabad,02 May 25,10,4,0
INDIAN PREMIER LEAGUE 2025,2-21,CSK,T20,Chennai,25 Apr 25,5.2,4,0
INDIAN PREMIER LEAGUE 2025,0-31,MI,T20,Hyderabad,23 Apr 25,10.3,3,0
INDIAN PREMIER LEAGUE 2025,3-26,MI,T20,Mumbai,17 Apr 25,6.5,4,0
INDIAN PREMIER LEAGUE 2025,0-40,PBKS,T20,Hyderabad,12 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,1-26,GT,T20,Hyderabad,06 Apr 25,7.6,3.4,0
INDIAN PREMIER LEAGUE 2025,1-44,KKR,T20,Kolkata,03 Apr 25,11,4,0
INDIAN PREMIER LEAGUE 2025,0-27,DC,T20,Visakhapatnam,30 Mar 25,13.5,2,0
INDIAN PREMIER LEAGUE 2025,2-29,LSG,T20,Hyderabad,27 Mar 25,9.6,3,0
INDIAN PREMIER LEAGUE 2025,0-60,RR,T20,Hyderabad,23 Mar 25,15,4,0
"INDIA TOUR OF AUSTRALIA, 2024-25",2-37 & 3-44,IND,Test,Sydney,03 Jan 25,2.4 & 2.9,15.2 & 15,4 & 4
"INDIA TOUR OF AUSTRALIA, 2024-25",3-89 & 3-28,IND,Test,Melbourne,26 Dec 24,3 & 1.5,29 & 18,6 & 5
"INDIA TOUR OF AUSTRALIA, 2024-25",4-81 & 0-4,IND,Test,Brisbane,14 Dec 24,3.6 & 4,22 & 1,2 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",2-41 & 5-57,IND,Test,Adelaide,06 Dec 24,3.4 & 4,12 & 14,4 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",2-67 & 1-86,IND,Test,Perth,22 Nov 24,4.3 & 3.4,15.4 & 25,2 & 5
"PAKISTAN TOUR OF AUSTRALIA, 2024",0-35,PAK,ODI,Adelaide,08 Nov 24,5,7,1
"PAKISTAN TOUR OF AUSTRALIA, 2024",2-39,PAK,ODI,Melbourne,04 Nov 24,4.1,9.4,1
ICC MENS T20 WORLD CUP 2024,0-48,IND,T20I,"Gros Islet, St Lucia",24 Jun 24,12,4,0
ICC MENS T20 WORLD CUP 2024,3-28,AFG,T20I,"Kingstown, St Vincent",22 Jun 24,7,4,0
ICC MENS T20 WORLD CUP 2024,3-29,BAN,T20I,"North Sound, Antigua",20 Jun 24,7.2,4,0
ICC MENS T20 WORLD CUP 2024,1-16,NAM,T20I,"North Sound, Antigua",11 Jun 24,5.3,3,1
ICC MENS T20 WORLD CUP 2024,2-23,ENG,T20I,"Bridgetown, Barbados",08 Jun 24,5.7,4,0
INDIAN PREMIER LEAGUE 2024,1-18,KKR,T20,Chennai,26 May 24,9,2,0
INDIAN PREMIER LEAGUE 2024,1-30,RR,T20,Chennai,24 May 24,7.5,4,0
INDIAN PREMIER LEAGUE 2024,1-38,KKR,T20,Ahmedabad,21 May 24,12.6,3,0
INDIAN PREMIER LEAGUE 2024,1-36,PBKS,T20,Hyderabad,19 May 24,9,4,0
INDIAN PREMIER LEAGUE 2024,1-47,LSG,T20,Hyderabad,08 May 24,11.7,4,0
INDIAN PREMIER LEAGUE 2024,1-35,MI,T20,Mumbai,06 May 24,8.7,4,1
INDIAN PREMIER LEAGUE 2024,2-34,RR,T20,Hyderabad,02 May 24,8.5,4,0
INDIAN PREMIER LEAGUE 2024,0-49,CSK,T20,Chennai,28 Apr 24,12.2,4,0
INDIAN PREMIER LEAGUE 2024,1-55,RCB,T20,Hyderabad,25 Apr 24,13.7,4,0
INDIAN PREMIER LEAGUE 2024,0-35,DC,T20,Delhi,20 Apr 24,8.7,4,0
INDIAN PREMIER LEAGUE 2024,3-43,RCB,T20,Bengaluru,15 Apr 24,10.7,4,0
INDIAN PREMIER LEAGUE 2024,1-22,PBKS,T20,New Chandigarh,09 Apr 24,5.5,4,0
INDIAN PREMIER LEAGUE 2024,1-29,CSK,T20,Hyderabad,05 Apr 24,7.2,4,0
INDIAN PREMIER LEAGUE 2024,1-28,GT,T20,Ahmedabad,31 Mar 24,7,4,0
INDIAN PREMIER LEAGUE 2024,2-35,MI,T20,Hyderabad,27 Mar 24,8.7,4,0
INDIAN PREMIER LEAGUE 2024,1-32,KKR,T20,Kolkata,23 Mar 24,8,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-35 & 4-62,NZ,Test,Christchurch,08 Mar 24,3.1 & 2.5,11 & 24,4 & 3
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-33 & 0-40,NZ,Test,Wellington,29 Feb 24,3.3 & 3.3,10 & 12,2 & 1
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-19,NZ,T20I,Auckland,23 Feb 24,6.3,3,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",1-43,NZ,T20I,Wellington,21 Feb 24,10.7,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2024",1-76 & 0-39,WI,Test,Brisbane,25 Jan 24,3.3 & 3.2,23 & 12,1 & 1
"WEST INDIES TOUR OF AUSTRALIA, 2024",4-41 & 0-25,WI,Test,Adelaide,17 Jan 24,2.4 & 5,17 & 5,5 & 1
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",5-61 & 1-24,PAK,Test,Sydney,03 Jan 24,3.3 & 3.4,18 & 7,1 & 0
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",5-48 & 5-49,PAK,Test,Melbourne,26 Dec 23,2.4 & 2.7,20 & 18,1 & 2
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",2-35 & 1-11,PAK,Test,Perth,14 Dec 23,1.7 & 1.8,20 & 6,7 & 1
ICC CRICKET WORLD CUP 2023,2-34,IND,ODI,Ahmedabad,19 Nov 23,3.4,10,0
ICC CRICKET WORLD CUP 2023,3-51,RSA,ODI,Kolkata,16 Nov 23,5.4,9.4,0
ICC CRICKET WORLD CUP 2023,0-56,BAN,ODI,Pune,11 Nov 23,7,8,0
ICC CRICKET WORLD CUP 2023,0-47,AFG,ODI,Mumbai,07 Nov 23,5.8,8,0
ICC CRICKET WORLD CUP 2023,2-49,ENG,ODI,Ahmedabad,04 Nov 23,4.9,10,1
ICC CRICKET WORLD CUP 2023,2-66,NZ,ODI,Dharamsala,28 Oct 23,6.6,10,0
ICC CRICKET WORLD CUP 2023,1-14,NED,ODI,Delhi,25 Oct 23,3.5,4,0
ICC CRICKET WORLD CUP 2023,2-62,PAK,ODI,Bengaluru,20 Oct 23,8.4,7.3,0
ICC CRICKET WORLD CUP 2023,2-32,SL,ODI,Lucknow,16 Oct 23,4.5,7,0
ICC CRICKET WORLD CUP 2023,1-71,RSA,ODI,Lucknow,12 Oct 23,7.8,9,0
ICC CRICKET WORLD CUP 2023,0-33,IND,ODI,Chennai,08 Oct 23,5.3,6.2,0
"AUSTRALIA TOUR OF INDIA, 2023",1-59,IND,ODI,Rajkot,27 Sep 23,7.3,8,0
"AUSTRALIA TOUR OF INDIA, 2023",1-44,IND,ODI,Mohali,22 Sep 23,4.4,10,0
"THE ASHES, 2023",1-66 & 1-79,ENG,Test,London,27 Jul 23,5 & 4.9,13 & 16,2 & 0
"THE ASHES, 2023",1-129 & DNB,ENG,Test,Manchester,19 Jul 23,5.6 & DNB,23 & DNB,0 & DNB
"THE ASHES, 2023",6-91 & 1-77,ENG,Test,Leeds,06 Jul 23,5 & 5.1,18 & 15,1 & 0
"THE ASHES, 2023",1-46 & 3-69,ENG,Test,London,28 Jun 23,2.8 & 2.7,16.2 & 25,2 & 2
"THE ASHES, 2023",0-59 & 4-63,ENG,Test,Birmingham,16 Jun 23,4.2 & 3.4,14 & 18.2,0 & 1
ICC WORLD TEST CHAMPIONSHIP FINAL 2023,3-83 & 1-55,IND,Test,London,07 Jun 23,4.1 & 4.2,20 & 13,2 & 1
"AUSTRALIA TOUR OF INDIA, 2023",1-41 & DNB,IND,Test,Delhi,17 Feb 23,3.1 & DNB,13 & DNB,2 & DNB
"AUSTRALIA TOUR OF INDIA, 2023",2-78 & DNB,IND,Test,Nagpur,09 Feb 23,3.8 & DNB,20.3 & DNB,3 & DNB
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",3-60 & 1-16,RSA,Test,Sydney,04 Jan 23,2.6 & 2,23 & 8,7 & 1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",0-30 & 1-20,RSA,Test,Melbourne,26 Dec 22,2.1 & 1.2,14 & 16,4 & 8
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",2-35 & 5-42,RSA,Test,Brisbane,17 Dec 22,2.8 & 3.3,12.2 & 12.4,3 & 3
"WEST INDIES TOUR OF AUSTRALIA, 2022",3-34 & DNB,WI,Test,Perth,30 Nov 22,1.6 & DNB,20.2 & DNB,7 & DNB
"ENGLAND TOUR OF AUSTRALIA, 2022",2-25,ENG,ODI,Melbourne,22 Nov 22,4.1,6,2
"ENGLAND TOUR OF AUSTRALIA, 2022",3-62,ENG,ODI,Adelaide,17 Nov 22,6.2,10,0
ICC MENS T20 WORLD CUP 2022,0-22,AFG,T20I,Adelaide,04 Nov 22,5.5,4,0
ICC MENS T20 WORLD CUP 2022,2-28,IRE,T20I,Brisbane,31 Oct 22,7,4,0
ICC MENS T20 WORLD CUP 2022,1-36,SL,T20I,Perth,25 Oct 22,9,4,0
ICC MENS T20 WORLD CUP 2022,0-46,NZ,T20I,Sydney,22 Oct 22,11.5,4,0
"ENGLAND TOUR OF AUSTRALIA, 2022",1-23,ENG,T20I,Canberra,14 Oct 22,7.6,3,0
"ENGLAND TOUR OF AUSTRALIA, 2022",1-29,ENG,T20I,Canberra,12 Oct 22,7.2,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2022",2-32,WI,T20I,Brisbane,07 Oct 22,8,4,0
"WEST INDIES TOUR OF AUSTRALIA, 2022",2-22,WI,T20I,Queensland,05 Oct 22,5.5,4,0
"AUSTRALIA TOUR OF INDIA, 2022",1-40,IND,T20I,Hyderabad,25 Sep 22,10,4,0
"AUSTRALIA TOUR OF INDIA, 2022",1-23,IND,T20I,Nagpur,23 Sep 22,11.5,2,0
"AUSTRALIA TOUR OF INDIA, 2022",0-47,IND,T20I,Mohali,20 Sep 22,11.7,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",1-95 & DNB,SL,Test,Galle,08 Jul 22,3.1 & DNB,30 & DNB,5 & DNB
"AUSTRALIA TOUR OF SRI LANKA, 2022",1-25 & DNB,SL,Test,Galle,29 Jun 22,2 & DNB,12 & DNB,4 & DNB
"AUSTRALIA TOUR OF SRI LANKA, 2022",2-22,SL,ODI,Colombo,24 Jun 22,3.6,6.1,1
"AUSTRALIA TOUR OF SRI LANKA, 2022",2-37,SL,ODI,Colombo,21 Jun 22,4.1,9,1
"AUSTRALIA TOUR OF SRI LANKA, 2022",4-35,SL,ODI,Pallekele,16 Jun 22,4.1,8.4,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",0-48,SL,ODI,Pallekele,14 Jun 22,6,8,1
INDIAN PREMIER LEAGUE 2022,3-22,MI,T20,Navi Mumbai,09 May 22,5.5,4,0
INDIAN PREMIER LEAGUE 2022,1-50,RR,T20,Mumbai,18 Apr 22,12.5,4,0
INDIAN PREMIER LEAGUE 2022,1-40,SRH,T20,Mumbai,15 Apr 22,11.4,3.5,0
INDIAN PREMIER LEAGUE 2022,0-51,DC,T20,Mumbai,10 Apr 22,12.7,4,0
INDIAN PREMIER LEAGUE 2022,2-49,MI,T20,Pune,06 Apr 22,12.2,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",5-56 & 3-23,PAK,Test,Lahore,21 Mar 22,2.3 & 1.5,24 & 15.1,8 & 6
"AUSTRALIA TOUR OF PAKISTAN, 2022",1-39 & 2-75,PAK,Test,Karachi,12 Mar 22,3 & 2.8,13 & 26,2 & 6
"AUSTRALIA TOUR OF PAKISTAN, 2022",1-62 & 0-15,PAK,Test,Rawalpindi,04 Mar 22,2.2 & 3.7,28 & 4,5 & 0
"SRI LANKA TOUR OF AUSTRALIA, 2022",1-30,SL,T20I,Sydney,13 Feb 22,7.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",1-32,SL,T20I,Sydney,11 Feb 22,8,4,0
"THE ASHES, 2021-22",4-45 & 3-42,ENG,Test,Hobart,14 Jan 22,3.3 & 3.3,13.4 & 12.5,2 & 3
"THE ASHES, 2021-22",2-68 & 2-80,ENG,Test,Sydney,05 Jan 22,3.4 & 3.6,20 & 22,6 & 5
"THE ASHES, 2021-22",3-36 & 0-19,ENG,Test,Melbourne,26 Dec 21,2.4 & 1.9,15 & 10,2 & 4
"THE ASHES, 2021-22",5-38 & 2-51,ENG,Test,Brisbane,08 Dec 21,2.9 & 2.5,13.1 & 20,3 & 6
ICC MENS T20 WORLD CUP 2021,0-27,NZ,T20I,Dubai,14 Nov 21,6.7,4,0
ICC MENS T20 WORLD CUP 2021,1-30,PAK,T20I,Dubai,11 Nov 21,7.5,4,0
ICC MENS T20 WORLD CUP 2021,1-37,WI,T20I,Abu Dhabi,06 Nov 21,9.2,4,0
ICC MENS T20 WORLD CUP 2021,0-18,BAN,T20I,Dubai,04 Nov 21,6,3,0
ICC MENS T20 WORLD CUP 2021,0-14,ENG,T20I,Dubai,30 Oct 21,14,1,0
ICC MENS T20 WORLD CUP 2021,2-34,SL,T20I,Dubai,28 Oct 21,8.5,4,0
ICC MENS T20 WORLD CUP 2021,1-17,RSA,T20I,Abu Dhabi,23 Oct 21,4.2,4,0
INDIAN PREMIER LEAGUE 2021,3-24,DC,T20,Ahmedabad,29 Apr 21,6,4,0
INDIAN PREMIER LEAGUE 2021,2-31,PBKS,T20,Ahmedabad,26 Apr 21,10.3,3,0
INDIAN PREMIER LEAGUE 2021,0-36,RR,T20,Mumbai,24 Apr 21,10.2,3.5,0
INDIAN PREMIER LEAGUE 2021,0-58,CSK,T20,Mumbai,21 Apr 21,14.5,4,0
INDIAN PREMIER LEAGUE 2021,1-34,RCB,T20,Chennai,18 Apr 21,8.5,4,0
INDIAN PREMIER LEAGUE 2021,2-24,MI,T20,Chennai,13 Apr 21,6,4,0
INDIAN PREMIER LEAGUE 2021,1-30,SRH,T20,Chennai,11 Apr 21,7.5,4,0
"INDIA TOUR OF AUSTRALIA, 2020-21",2-94 & 4-55,IND,Test,Brisbane,15 Jan 21,3.4 & 2.2,27 & 24,5 & 10
"INDIA TOUR OF AUSTRALIA, 2020-21",4-29 & 1-72,IND,Test,Sydney,07 Jan 21,1.3 & 2.7,21.4 & 26,10 & 6
"INDIA TOUR OF AUSTRALIA, 2020-21",2-80 & 1-22,IND,Test,Melbourne,26 Dec 20,2.9 & 4.4,27 & 5,9 & 0
"INDIA TOUR OF AUSTRALIA, 2020-21",3-48 & 4-21,IND,Test,Adelaide,17 Dec 20,2.2 & 2,21.1 & 10.2,7 & 4
"INDIA TOUR OF AUSTRALIA, 2020-21",3-67,IND,ODI,Sydney,29 Nov 20,6.7,10,0
"INDIA TOUR OF AUSTRALIA, 2020-21",0-52,IND,ODI,Sydney,27 Nov 20,6.5,8,0
INDIAN PREMIER LEAGUE 2020,4-34,RR,T20,Dubai,01 Nov 20,8.5,4,0
INDIAN PREMIER LEAGUE 2020,2-31,CSK,T20,Dubai,29 Oct 20,7.7,4,0
INDIAN PREMIER LEAGUE 2020,0-31,PBKS,T20,Sharjah,26 Oct 20,7.7,4,0
INDIAN PREMIER LEAGUE 2020,3-17,DC,T20,Abu Dhabi,24 Oct 20,4.2,4,0
INDIAN PREMIER LEAGUE 2020,0-18,RCB,T20,Abu Dhabi,21 Oct 20,6,3,0
INDIAN PREMIER LEAGUE 2020,1-28,SRH,T20,Abu Dhabi,18 Oct 20,7,4,0
INDIAN PREMIER LEAGUE 2020,0-28,MI,T20,Abu Dhabi,16 Oct 20,9.3,3,0
INDIAN PREMIER LEAGUE 2020,0-38,RCB,T20,Sharjah,12 Oct 20,9.5,4,0
INDIAN PREMIER LEAGUE 2020,0-29,PBKS,T20,Abu Dhabi,10 Oct 20,7.2,4,0
