Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,1(3),VAN,T20I,Nisshin,08 May 26,33.3,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",45(28),CIS,T20I,Apia,24 Aug 24,160.7,4,4
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",38(25),VAN,T20I,Apia,23 Aug 24,152,3,3
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",39(23),WSM,T20I,Apia,21 Aug 24,169.5,3,3
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",30(15),CIS,T20I,Apia,20 Aug 24,200,1,3
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",30(21),VAN,T20I,Apia,19 Aug 24,142.8,2,3
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0(8),WSM,T20I,Apia,17 Aug 24,0,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",34(12),WSM,T20I,Port Vila,14 Sep 22,283.3,3,3
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",40(21),CIS,T20I,Port Vila,14 Sep 22,190.4,2,4
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",31(26),VAN,T20I,Port Vila,13 Sep 22,119.2,4,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",68(46),WSM,T20I,Port Vila,11 Sep 22,147.8,5,5
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",72*(39),CIS,T20I,Port Vila,09 Sep 22,184.6,7,4
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",7(9),VAN,T20I,Port Vila,08 Sep 22,77.7,1,0
