Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,63(38),DC,T20,Bengaluru,18 Apr 26,165.7,4,3
INDIAN PREMIER LEAGUE 2026,7(8),LSG,T20,Bengaluru,15 Apr 26,87.5,1,0
INDIAN PREMIER LEAGUE 2026,78(36),MI,T20,Mumbai,12 Apr 26,216.6,6,6
INDIAN PREMIER LEAGUE 2026,0(1),RR,T20,Guwahati,10 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,46(30),CSK,T20,Bengaluru,05 Apr 26,153.3,3,2
INDIAN PREMIER LEAGUE 2026,8(7),SRH,T20,Bengaluru,28 Mar 26,114.2,2,0
ICC MEN'S T20 WORLD CUP 2026,5(3),IND,T20I,Mumbai,05 Mar 26,166.6,1,0
ICC MEN'S T20 WORLD CUP 2026,2(4),NZ,T20I,Colombo,27 Feb 26,50,0,0
ICC MEN'S T20 WORLD CUP 2026,0(1),PAK,T20I,Pallekele,24 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,62(40),SL,T20I,Pallekele,22 Feb 26,155,6,2
ICC MEN'S T20 WORLD CUP 2026,28(15),ITA,T20I,Kolkata,16 Feb 26,186.6,2,2
ICC MEN'S T20 WORLD CUP 2026,2(3),SCO,T20I,Kolkata,14 Feb 26,66.6,0,0
ICC MEN'S T20 WORLD CUP 2026,30(14),WI,T20I,Mumbai,11 Feb 26,214.2,4,2
ICC MEN'S T20 WORLD CUP 2026,1(2),NEP,T20I,Mumbai,08 Feb 26,50,0,0
ENGLAND TOUR OF SRI LANKA 2026,1(2),SL,T20I,Pallekele,01 Feb 26,50,0,0
ENGLAND TOUR OF SRI LANKA 2026,46(35),SL,T20I,Pallekele,30 Jan 26,131.4,3,2
"ENGLAND TOUR OF NEW ZEALAND, 2025",85(56),NZ,T20I,Christchurch,20 Oct 25,151.7,11,1
"ENGLAND TOUR OF NEW ZEALAND, 2025",3(4),NZ,T20I,Christchurch,18 Oct 25,75,0,0
"ENGLAND TOUR OF IRELAND, 2025",29(23),IRE,T20I,Dublin,21 Sep 25,126,2,1
"ENGLAND TOUR OF IRELAND, 2025",89(46),IRE,T20I,Dublin,17 Sep 25,193.4,10,4
"SOUTH AFRICA TOUR OF ENGLAND, 2025",141*(60),RSA,T20I,Manchester,12 Sep 25,235,15,8
"SOUTH AFRICA TOUR OF ENGLAND, 2025",0(1),RSA,T20I,Cardiff,10 Sep 25,0,0,0
INDIAN PREMIER LEAGUE 2025,16(9),PBKS,T20,Ahmedabad,03 Jun 25,177.7,2,1
INDIAN PREMIER LEAGUE 2025,56*(27),PBKS,T20,New Chandigarh,29 May 25,207.4,6,3
INDIAN PREMIER LEAGUE 2025,30(19),LSG,T20,Lucknow,27 May 25,157.8,6,0
INDIAN PREMIER LEAGUE 2025,62(32),SRH,T20,Lucknow,23 May 25,193.7,4,5
INDIAN PREMIER LEAGUE 2025,26(23),RR,T20,Bengaluru,24 Apr 25,113,4,0
INDIAN PREMIER LEAGUE 2025,1(3),PBKS,T20,New Chandigarh,20 Apr 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,4(4),PBKS,T20,Bengaluru,18 Apr 25,100,1,0
INDIAN PREMIER LEAGUE 2025,65(33),RR,T20,Jaipur,13 Apr 25,196.9,5,6
INDIAN PREMIER LEAGUE 2025,37(17),DC,T20,Bengaluru,10 Apr 25,217.6,4,3
INDIAN PREMIER LEAGUE 2025,4(2),MI,T20,Mumbai,07 Apr 25,200,1,0
INDIAN PREMIER LEAGUE 2025,14(13),GT,T20,Bengaluru,02 Apr 25,107.6,1,1
INDIAN PREMIER LEAGUE 2025,32(16),CSK,T20,Chennai,28 Mar 25,200,5,1
INDIAN PREMIER LEAGUE 2025,56(31),KKR,T20,Kolkata,22 Mar 25,180.6,9,2
"ICC CHAMPIONS TROPHY, 2025",8(6),RSA,ODI,Karachi,01 Mar 25,133.3,2,0
"ICC CHAMPIONS TROPHY, 2025",12(13),AFG,ODI,Lahore,26 Feb 25,92.3,2,0
"ICC CHAMPIONS TROPHY, 2025",10(6),AUS,ODI,Lahore,22 Feb 25,166.6,1,1
"ENGLAND TOUR OF INDIA, 2025",23(21),IND,ODI,Ahmedabad,12 Feb 25,109.5,4,0
"ENGLAND TOUR OF INDIA, 2025",26(29),IND,ODI,Cuttack,09 Feb 25,89.6,2,1
"ENGLAND TOUR OF INDIA, 2025",43(26),IND,ODI,Nagpur,06 Feb 25,165.3,5,3
"ENGLAND TOUR OF INDIA, 2025",55(23),IND,T20I,Mumbai,02 Feb 25,239.1,7,3
"ENGLAND TOUR OF INDIA, 2025",23(21),IND,T20I,Pune,31 Jan 25,109.5,4,0
"ENGLAND TOUR OF INDIA, 2025",5(7),IND,T20I,Rajkot,28 Jan 25,71.4,1,0
"ENGLAND TOUR OF INDIA, 2025",4(3),IND,T20I,Chennai,25 Jan 25,133.3,1,0
"ENGLAND TOUR OF INDIA, 2025",0(3),IND,T20I,Kolkata,22 Jan 25,0,0,0
"ENGLAND TOUR OF WEST INDIES, 2024",55(35),WI,T20I,"Gros Islet, St Lucia",16 Nov 24,157.1,5,4
"ENGLAND TOUR OF WEST INDIES, 2024",4(8),WI,T20I,"Gros Islet, St Lucia",14 Nov 24,50,0,0
"ENGLAND TOUR OF WEST INDIES, 2024",0(1),WI,T20I,"Bridgetown, Barbados",10 Nov 24,0,0,0
"ENGLAND TOUR OF WEST INDIES, 2024",103*(54),WI,T20I,"Bridgetown, Barbados",09 Nov 24,190.7,9,6
"ENGLAND TOUR OF WEST INDIES, 2024",74(108),WI,ODI,"Bridgetown, Barbados",06 Nov 24,68.5,4,1
"ENGLAND TOUR OF WEST INDIES, 2024",59(59),WI,ODI,"North Sound, Antigua",02 Nov 24,100,8,0
"ENGLAND TOUR OF WEST INDIES, 2024",18(29),WI,ODI,"North Sound, Antigua",31 Oct 24,62,3,0
"AUSTRALIA TOUR OF ENGLAND, 2024",45(27),AUS,ODI,Bristol,29 Sep 24,166.6,5,3
"AUSTRALIA TOUR OF ENGLAND, 2024",22(27),AUS,ODI,London,27 Sep 24,81.4,3,0
"AUSTRALIA TOUR OF ENGLAND, 2024",0(8),AUS,ODI,Chester-le-Street,24 Sep 24,0,0,0
"AUSTRALIA TOUR OF ENGLAND, 2024",12(14),AUS,ODI,Leeds,21 Sep 24,85.7,3,0
"AUSTRALIA TOUR OF ENGLAND, 2024",17(24),AUS,ODI,Nottingham,19 Sep 24,70.8,2,0
"AUSTRALIA TOUR OF ENGLAND, 2024",39(23),AUS,T20I,Cardiff,13 Sep 24,169.5,2,3
"AUSTRALIA TOUR OF ENGLAND, 2024",20(12),AUS,T20I,Southampton,11 Sep 24,166.6,4,0
