Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,3(4),SRH,T20,Hyderabad,06 May 26,75,0,0
INDIAN PREMIER LEAGUE 2026,15(14),GT,T20,Ahmedabad,03 May 26,107.1,2,0
INDIAN PREMIER LEAGUE 2026,59(44),RR,T20,New Chandigarh,28 Apr 26,134,6,1
INDIAN PREMIER LEAGUE 2026,76(26),DC,T20,Delhi,25 Apr 26,292.3,9,5
INDIAN PREMIER LEAGUE 2026,0(1),LSG,T20,New Chandigarh,19 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,80*(39),MI,T20,Mumbai,16 Apr 26,205.1,11,2
INDIAN PREMIER LEAGUE 2026,51(25),SRH,T20,New Chandigarh,11 Apr 26,204,4,4
INDIAN PREMIER LEAGUE 2026,43(34),CSK,T20,Chennai,03 Apr 26,126.4,6,1
INDIAN PREMIER LEAGUE 2026,37(24),GT,T20,New Chandigarh,31 Mar 26,154.1,1,4
INDIAN PREMIER LEAGUE 2025,26(22),RCB,T20,Ahmedabad,03 Jun 25,118.1,0,2
INDIAN PREMIER LEAGUE 2025,6(9),MI,T20,Ahmedabad,01 Jun 25,66.6,1,0
INDIAN PREMIER LEAGUE 2025,18(10),RCB,T20,New Chandigarh,29 May 25,180,2,1
INDIAN PREMIER LEAGUE 2025,13(16),MI,T20,Jaipur,26 May 25,81.2,1,1
INDIAN PREMIER LEAGUE 2025,28(18),DC,T20,Jaipur,24 May 25,155.5,4,1
INDIAN PREMIER LEAGUE 2025,21(10),RR,T20,Jaipur,18 May 25,210,3,1
INDIAN PREMIER LEAGUE 2025,91(48),LSG,T20,Dharamsala,04 May 25,189.5,6,7
INDIAN PREMIER LEAGUE 2025,54(36),CSK,T20,Chennai,30 Apr 25,150,5,3
INDIAN PREMIER LEAGUE 2025,83(49),KKR,T20,Kolkata,26 Apr 25,169.3,6,6
INDIAN PREMIER LEAGUE 2025,33(17),RCB,T20,New Chandigarh,20 Apr 25,194.1,5,1
INDIAN PREMIER LEAGUE 2025,13(9),RCB,T20,Bengaluru,18 Apr 25,144.4,2,0
INDIAN PREMIER LEAGUE 2025,30(15),KKR,T20,New Chandigarh,15 Apr 25,200,2,3
INDIAN PREMIER LEAGUE 2025,42(23),SRH,T20,Hyderabad,12 Apr 25,182.6,7,1
INDIAN PREMIER LEAGUE 2025,0(2),CSK,T20,New Chandigarh,08 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,17(16),RR,T20,New Chandigarh,05 Apr 25,106.2,2,0
INDIAN PREMIER LEAGUE 2025,69(34),LSG,T20,Lucknow,01 Apr 25,202.9,9,3
INDIAN PREMIER LEAGUE 2025,5(8),GT,T20,Ahmedabad,25 Mar 25,62.5,1,0
INDIAN PREMIER LEAGUE 2024,71(45),SRH,T20,Hyderabad,19 May 24,157.7,7,4
INDIAN PREMIER LEAGUE 2024,6(4),RR,T20,Guwahati,15 May 24,150,1,0
INDIAN PREMIER LEAGUE 2024,6(4),RCB,T20,Dharamsala,09 May 24,150,1,0
INDIAN PREMIER LEAGUE 2024,30(23),CSK,T20,Dharamsala,05 May 24,130.4,2,2
INDIAN PREMIER LEAGUE 2024,13(10),CSK,T20,Chennai,01 May 24,130,1,1
INDIAN PREMIER LEAGUE 2024,54(20),KKR,T20,Kolkata,26 Apr 24,270,4,5
INDIAN PREMIER LEAGUE 2024,35(21),GT,T20,New Chandigarh,21 Apr 24,166.6,3,3
INDIAN PREMIER LEAGUE 2024,0(1),MI,T20,New Chandigarh,18 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,10(14),RR,T20,New Chandigarh,13 Apr 24,71.4,1,0
INDIAN PREMIER LEAGUE 2024,4(6),SRH,T20,New Chandigarh,09 Apr 24,66.6,1,0
INDIAN PREMIER LEAGUE 2024,35(24),GT,T20,Ahmedabad,04 Apr 24,145.8,5,1
INDIAN PREMIER LEAGUE 2024,19(7),LSG,T20,Lucknow,30 Mar 24,271.4,1,2
INDIAN PREMIER LEAGUE 2024,25(17),RCB,T20,Bengaluru,25 Mar 24,147,2,2
INDIAN PREMIER LEAGUE 2024,26(17),DC,T20,New Chandigarh,23 Mar 24,152.9,5,0
INDIAN PREMIER LEAGUE 2023,2(2),RR,T20,Dharamsala,19 May 23,100,0,0
INDIAN PREMIER LEAGUE 2023,22(19),DC,T20,Dharamsala,17 May 23,115.7,4,0
INDIAN PREMIER LEAGUE 2023,103(65),DC,T20,Delhi,13 May 23,158.4,10,6
INDIAN PREMIER LEAGUE 2023,12(8),KKR,T20,Kolkata,08 May 23,150,3,0
INDIAN PREMIER LEAGUE 2023,9(7),MI,T20,Mohali,03 May 23,128.5,1,0
INDIAN PREMIER LEAGUE 2023,42(24),CSK,T20,Chennai,30 Apr 23,175,4,2
INDIAN PREMIER LEAGUE 2023,9(13),LSG,T20,Mohali,28 Apr 23,69.2,2,0
INDIAN PREMIER LEAGUE 2023,26(17),MI,T20,Mumbai,22 Apr 23,152.9,1,2
INDIAN PREMIER LEAGUE 2023,46(30),RCB,T20,Mohali,20 Apr 23,153.3,3,4
INDIAN PREMIER LEAGUE 2023,4(4),LSG,T20,Lucknow,15 Apr 23,100,1,0
INDIAN PREMIER LEAGUE 2023,0(2),GT,T20,Mohali,13 Apr 23,0,0,0
INDIAN PREMIER LEAGUE 2023,0(1),SRH,T20,Hyderabad,09 Apr 23,0,0,0
INDIAN PREMIER LEAGUE 2023,60(34),RR,T20,Guwahati,05 Apr 23,176.4,7,3
INDIAN PREMIER LEAGUE 2023,23(12),KKR,T20,Mohali,01 Apr 23,191.6,2,2
INDIAN PREMIER LEAGUE 2022,14(11),SRH,T20,Navi Mumbai,17 Apr 22,127.2,2,0
INDIAN PREMIER LEAGUE 2021,12(16),DC,T20,Ahmedabad,02 May 21,75,0,1
INDIAN PREMIER LEAGUE 2021,7(7),RCB,T20,Ahmedabad,30 Apr 21,100,1,0
INDIAN PREMIER LEAGUE 2020,4(7),KKR,T20,Abu Dhabi,10 Oct 20,57.1,0,0
INDIAN PREMIER LEAGUE 2020,11(8),SRH,T20,Dubai,08 Oct 20,137.5,2,0
INDIAN PREMIER LEAGUE 2019,16(17),SRH,T20,Hyderabad,29 Apr 19,94.1,1,1
