Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Ahmedabad,20 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Ahmedabad,17 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,12 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Ahmedabad,04 Apr 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,ODI,Rajkot,14 Jan 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,ODI,Vadodara,11 Jan 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,ODI,Visakhapatnam,06 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,ODI,Raipur,03 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,RSA,ODI,Ranchi,30 Nov 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,ODI,Sydney,25 Oct 25,DNB,DNB,DNB
"INDIA TOUR OF ENGLAND, 2025",0 & 0*,ENG,Test,London,31 Jul 25,0 & 0,0 & 0,0 & 0
"INDIA TOUR OF ENGLAND, 2025",5* & DNB,ENG,Test,Birmingham,02 Jul 25,25 & DNB,0 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2025",1 & 0,ENG,Test,Leeds,20 Jun 25,33.3 & 0,0 & 0,0 & 0
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,New Chandigarh,30 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Ahmedabad,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Ahmedabad,22 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Mumbai,06 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Ahmedabad,02 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,28 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,21 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Ahmedabad,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Ahmedabad,09 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,06 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,02 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Ahmedabad,29 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Ahmedabad,25 Mar 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",3 & 1*,AUS,Test,Sydney,03 Jan 25,30 & 100,0 & 0,0 & 0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",0 & DNB,RSA,Test,Cape Town,03 Jan 24,0 & DNB,0 & DNB,0 & DNB
"INDIA TOUR OF SOUTH AFRICA, 2023-24",0* & 0*,RSA,Test,Centurion,26 Dec 23,0 & 0,0 & 0,0 & 0
"AUSTRALIA TOUR OF INDIA, 2023",DNB,AUS,T20I,Guwahati,28 Nov 23,DNB,DNB,DNB
