Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Lucknow,07 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,04 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0*(1),KKR,T20,Lucknow,26 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Lucknow,22 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,19 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,15 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Lucknow,12 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Kolkata,09 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Hyderabad,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Lucknow,01 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),PBKS,T20,Dharamsala,04 May 25,100,0,0
INDIAN PREMIER LEAGUE 2025,4*(9),MI,T20,Mumbai,27 Apr 25,44.4,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Lucknow,22 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,27 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Visakhapatnam,24 Mar 25,DNB,DNB,DNB
