Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",17(14),GIB,T20I,Marsa,08 May 26,121.4,1,1
"GIBRALTAR TOUR OF MALTA, 2026",55(26),GIB,T20I,Marsa,07 May 26,211.5,4,4
"GIBRALTAR TOUR OF MALTA, 2026",73(34),GIB,T20I,Marsa,07 May 26,214.7,5,5
"CONTINENTAL CUP, 2025",5(4),AUT,T20I,Ilfov County,29 Jun 25,125,1,0
"CONTINENTAL CUP, 2025",8(7),ROM,T20I,Ilfov County,28 Jun 25,114.2,0,1
"CONTINENTAL CUP, 2025",5(8),BEL,T20I,Ilfov County,26 Jun 25,62.5,0,0
"CONTINENTAL CUP, 2025",46(41),FRA,T20I,Ilfov County,26 Jun 25,112.2,4,2
MDINA CUP 2025,0(1),PORT,T20I,Zemst,31 May 25,0,0,0
MDINA CUP 2025,1(4),BEL,T20I,Zemst,31 May 25,25,0,0
MDINA CUP 2025,26(20),BEL,T20I,Zemst,30 May 25,130,2,1
MDINA CUP 2025,12(7),PORT,T20I,Zemst,30 May 25,171.4,1,1
"ESTONIA TOUR OF MALTA, 2025",103(40),EST,T20I,Marsa,07 May 25,257.5,8,8
"ESTONIA TOUR OF MALTA, 2025",29(22),EST,T20I,Marsa,06 May 25,131.8,4,0
"ESTONIA TOUR OF MALTA, 2025",35(27),EST,T20I,Marsa,06 May 25,129.6,3,1
