Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,1(3),SRH,T20,Hyderabad,06 May 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,2(2),GT,T20,Ahmedabad,03 May 26,100,0,0
INDIAN PREMIER LEAGUE 2026,29(11),RR,T20,New Chandigarh,28 Apr 26,263.6,5,1
INDIAN PREMIER LEAGUE 2026,43(17),DC,T20,Delhi,25 Apr 26,252.9,2,5
INDIAN PREMIER LEAGUE 2026,93(37),LSG,T20,New Chandigarh,19 Apr 26,251.3,4,9
INDIAN PREMIER LEAGUE 2026,15(9),MI,T20,Mumbai,16 Apr 26,166.6,2,1
INDIAN PREMIER LEAGUE 2026,57(20),SRH,T20,New Chandigarh,11 Apr 26,285,5,5
INDIAN PREMIER LEAGUE 2026,39(11),CSK,T20,Chennai,03 Apr 26,354.5,3,4
INDIAN PREMIER LEAGUE 2026,7(8),GT,T20,New Chandigarh,31 Mar 26,87.5,0,1
INDIAN PREMIER LEAGUE 2025,24(19),RCB,T20,Ahmedabad,03 Jun 25,126.3,4,0
INDIAN PREMIER LEAGUE 2025,20(10),MI,T20,Ahmedabad,01 Jun 25,200,2,1
INDIAN PREMIER LEAGUE 2025,7(5),RCB,T20,New Chandigarh,29 May 25,140,1,0
INDIAN PREMIER LEAGUE 2025,62(35),MI,T20,Jaipur,26 May 25,177.1,9,2
INDIAN PREMIER LEAGUE 2025,6(9),DC,T20,Jaipur,24 May 25,66.6,1,0
INDIAN PREMIER LEAGUE 2025,9(7),RR,T20,Jaipur,18 May 25,128.5,1,0
INDIAN PREMIER LEAGUE 2025,1(4),LSG,T20,Dharamsala,04 May 25,25,0,0
INDIAN PREMIER LEAGUE 2025,23(15),CSK,T20,Chennai,30 Apr 25,153.3,5,0
INDIAN PREMIER LEAGUE 2025,69(35),KKR,T20,Kolkata,26 Apr 25,197.1,8,4
INDIAN PREMIER LEAGUE 2025,22(15),RCB,T20,New Chandigarh,20 Apr 25,146.6,3,1
INDIAN PREMIER LEAGUE 2025,16(11),RCB,T20,Bengaluru,18 Apr 25,145.4,1,1
INDIAN PREMIER LEAGUE 2025,22(12),KKR,T20,New Chandigarh,15 Apr 25,183.3,3,1
INDIAN PREMIER LEAGUE 2025,36(13),SRH,T20,Hyderabad,12 Apr 25,276.9,2,4
INDIAN PREMIER LEAGUE 2025,103(42),CSK,T20,New Chandigarh,08 Apr 25,245.2,7,9
INDIAN PREMIER LEAGUE 2025,0(1),RR,T20,New Chandigarh,05 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,8(9),LSG,T20,Lucknow,01 Apr 25,88.8,1,0
INDIAN PREMIER LEAGUE 2025,47(23),GT,T20,Ahmedabad,25 Mar 25,204.3,7,2
