Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-46,PBKS,T20,Chennai,03 Apr 26,11.5,4,0
INDIAN PREMIER LEAGUE 2025,0-9,MI,T20,Mumbai,17 Apr 25,9,1,0
INDIAN PREMIER LEAGUE 2024,0-43,SRH,T20,Hyderabad,19 May 24,10.7,4,0
INDIAN PREMIER LEAGUE 2024,2-26,RR,T20,Guwahati,15 May 24,6.5,4,0
INDIAN PREMIER LEAGUE 2024,0-47,RCB,T20,Dharamsala,09 May 24,15.6,3,0
INDIAN PREMIER LEAGUE 2024,3-23,CSK,T20,Dharamsala,05 May 24,5.7,4,0
INDIAN PREMIER LEAGUE 2024,2-16,CSK,T20,Chennai,01 May 24,4,4,0
INDIAN PREMIER LEAGUE 2024,1-33,KKR,T20,Kolkata,26 Apr 24,8.2,4,0
INDIAN PREMIER LEAGUE 2024,1-42,LSG,T20,Lucknow,30 Mar 24,14,3,0
INDIAN PREMIER LEAGUE 2024,0-16,RCB,T20,Bengaluru,25 Mar 24,16,1,0
INDIAN PREMIER LEAGUE 2024,1-33,DC,T20,New Chandigarh,23 Mar 24,8.2,4,0
INDIAN PREMIER LEAGUE 2023,1-28,RR,T20,Dharamsala,19 May 23,8.2,3.4,0
INDIAN PREMIER LEAGUE 2023,0-35,DC,T20,Dharamsala,17 May 23,8.7,4,0
INDIAN PREMIER LEAGUE 2023,2-16,DC,T20,Delhi,13 May 23,4,4,0
INDIAN PREMIER LEAGUE 2023,2-23,KKR,T20,Kolkata,08 May 23,5.7,4,0
INDIAN PREMIER LEAGUE 2023,0-30,MI,T20,Mohali,03 May 23,10,3,0
INDIAN PREMIER LEAGUE 2023,1-35,CSK,T20,Chennai,30 Apr 23,8.7,4,0
INDIAN PREMIER LEAGUE 2023,0-29,LSG,T20,Mohali,28 Apr 23,7.2,4,0
INDIAN PREMIER LEAGUE 2023,0-42,MI,T20,Mumbai,22 Apr 23,10.5,4,0
INDIAN PREMIER LEAGUE 2023,0-24,RCB,T20,Mohali,20 Apr 23,6,4,0
INDIAN PREMIER LEAGUE 2023,0-28,LSG,T20,Lucknow,15 Apr 23,9.3,3,0
INDIAN PREMIER LEAGUE 2023,0-24,GT,T20,Mohali,13 Apr 23,8,3,0
INDIAN PREMIER LEAGUE 2023,1-28,SRH,T20,Hyderabad,09 Apr 23,9.3,3,0
INDIAN PREMIER LEAGUE 2023,0-31,RR,T20,Guwahati,05 Apr 23,7.7,4,0
