Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,2(6),PBKS,T20,Ahmedabad,03 May 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,27*(17),RCB,T20,Ahmedabad,30 Apr 26,158.8,4,0
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Bengaluru,24 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,8(11),MI,T20,Ahmedabad,20 Apr 26,72.7,1,0
INDIAN PREMIER LEAGUE 2026,7*(6),KKR,T20,Ahmedabad,17 Apr 26,116.6,0,0
INDIAN PREMIER LEAGUE 2026,10*(8),LSG,T20,Lucknow,12 Apr 26,125,1,0
INDIAN PREMIER LEAGUE 2026,1*(1),DC,T20,Delhi,08 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,12(6),RR,T20,Ahmedabad,04 Apr 26,200,1,1
INDIAN PREMIER LEAGUE 2026,11*(10),PBKS,T20,New Chandigarh,31 Mar 26,110,1,0
INDIAN PREMIER LEAGUE 2025,16*(11),MI,T20,New Chandigarh,30 May 25,145.4,1,1
INDIAN PREMIER LEAGUE 2025,14(10),CSK,T20,Ahmedabad,25 May 25,140,1,0
INDIAN PREMIER LEAGUE 2025,2(3),LSG,T20,Ahmedabad,22 May 25,66.6,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,11*(8),MI,T20,Mumbai,06 May 25,137.5,1,0
INDIAN PREMIER LEAGUE 2025,6(3),SRH,T20,Ahmedabad,02 May 25,200,0,1
INDIAN PREMIER LEAGUE 2025,9(4),RR,T20,Jaipur,28 Apr 25,225,0,1
INDIAN PREMIER LEAGUE 2025,0(2),KKR,T20,Kolkata,21 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,11*(3),DC,T20,Ahmedabad,19 Apr 25,366.6,1,1
INDIAN PREMIER LEAGUE 2025,0(1),LSG,T20,Lucknow,12 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,24*(12),RR,T20,Ahmedabad,09 Apr 25,200,2,2
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,06 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,02 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Ahmedabad,29 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,6(2),PBKS,T20,Ahmedabad,25 Mar 25,300,0,1
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Ahmedabad,10 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,35(21),RCB,T20,Bengaluru,04 May 24,166.6,5,1
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Ahmedabad,28 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,4(5),DC,T20,Delhi,24 Apr 24,80,0,0
INDIAN PREMIER LEAGUE 2024,36*(18),PBKS,T20,New Chandigarh,21 Apr 24,200,7,0
INDIAN PREMIER LEAGUE 2024,10(15),DC,T20,Ahmedabad,17 Apr 24,66.6,1,0
INDIAN PREMIER LEAGUE 2024,22(11),RR,T20,Jaipur,10 Apr 24,200,3,0
INDIAN PREMIER LEAGUE 2024,30(25),LSG,T20,Lucknow,07 Apr 24,120,2,2
INDIAN PREMIER LEAGUE 2024,23*(8),PBKS,T20,Ahmedabad,04 Apr 24,287.5,3,1
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Ahmedabad,31 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,6(11),CSK,T20,Chennai,26 Mar 24,54.5,1,0
INDIAN PREMIER LEAGUE 2024,22(15),MI,T20,Ahmedabad,24 Mar 24,146.6,2,1
INDIAN PREMIER LEAGUE 2023,DNB,CSK,T20,Ahmedabad,29 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Ahmedabad,26 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,3(5),CSK,T20,Chennai,23 May 23,60,0,0
INDIAN PREMIER LEAGUE 2023,4*(5),RCB,T20,Bengaluru,21 May 23,80,0,0
INDIAN PREMIER LEAGUE 2023,3(3),SRH,T20,Ahmedabad,15 May 23,100,0,0
INDIAN PREMIER LEAGUE 2023,14(13),MI,T20,Mumbai,12 May 23,107.6,1,0
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Ahmedabad,07 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Jaipur,05 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,20(7),DC,T20,Ahmedabad,02 May 23,285.7,0,3
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Kolkata,29 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,20*(5),MI,T20,Ahmedabad,25 Apr 23,400,0,3
INDIAN PREMIER LEAGUE 2023,2*(2),LSG,T20,Lucknow,22 Apr 23,100,0,0
INDIAN PREMIER LEAGUE 2023,1*(1),RR,T20,Ahmedabad,16 Apr 23,100,0,0
INDIAN PREMIER LEAGUE 2023,5*(2),PBKS,T20,Mohali,13 Apr 23,250,1,0
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Ahmedabad,09 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Delhi,04 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,15*(14),CSK,T20,Ahmedabad,31 Mar 23,107.1,1,1
INDIAN PREMIER LEAGUE 2022,DNB,RR,T20,Ahmedabad,29 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,DNB,RR,T20,Kolkata,24 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,2(3),RCB,T20,Mumbai,19 May 22,66.6,0,0
INDIAN PREMIER LEAGUE 2022,DNB,CSK,T20,Mumbai,15 May 22,DNB,DNB,DNB
