Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2023,0-7,SRH,T20,Ahmedabad,15 May 23,6.3,1.1,0
INDIAN PREMIER LEAGUE 2023,0-8,LSG,T20,Lucknow,22 Apr 23,8,1,0
INDIAN PREMIER LEAGUE 2022,0-11,MI,T20,Mumbai,06 May 22,11,1,0
INDIAN PREMIER LEAGUE 2022,0-9,RR,T20,Navi Mumbai,14 Apr 22,9,1,0
INDIAN PREMIER LEAGUE 2022,0-10,SRH,T20,Navi Mumbai,11 Apr 22,10,1,0
INDIAN PREMIER LEAGUE 2022,0-24,PBKS,T20,Mumbai,08 Apr 22,24,1,0
INDIAN PREMIER LEAGUE 2022,0-22,DC,T20,Pune,02 Apr 22,11,2,0
INDIAN PREMIER LEAGUE 2021,1-11,KKR,T20,Sharjah,07 Oct 21,11,1,0
INDIAN PREMIER LEAGUE 2021,3-39,CSK,T20,Abu Dhabi,02 Oct 21,9.7,4,0
INDIAN PREMIER LEAGUE 2021,0-23,RCB,T20,Dubai,29 Sep 21,7.6,3,0
INDIAN PREMIER LEAGUE 2021,0-32,SRH,T20,Dubai,27 Sep 21,10.6,3,0
INDIAN PREMIER LEAGUE 2021,1-17,DC,T20,Abu Dhabi,25 Sep 21,5.6,3,0
INDIAN PREMIER LEAGUE 2021,1-23,PBKS,T20,Dubai,21 Sep 21,7.6,3,0
INDIAN PREMIER LEAGUE 2021,1-45,SRH,T20,Delhi,02 May 21,11.2,4,0
INDIAN PREMIER LEAGUE 2021,0-30,MI,T20,Delhi,29 Apr 21,10,3,0
INDIAN PREMIER LEAGUE 2021,0-24,KKR,T20,Mumbai,24 Apr 21,8,3,0
INDIAN PREMIER LEAGUE 2021,0-23,RCB,T20,Mumbai,22 Apr 21,11.5,2,0
INDIAN PREMIER LEAGUE 2021,1-21,CSK,T20,Mumbai,19 Apr 21,7,3,0
INDIAN PREMIER LEAGUE 2021,0-27,DC,T20,Mumbai,15 Apr 21,9,3,0
INDIAN PREMIER LEAGUE 2021,0-25,PBKS,T20,Mumbai,12 Apr 21,12.5,2,0
INDIAN PREMIER LEAGUE 2020,3-25,KKR,T20,Dubai,01 Nov 20,6.2,4,0
INDIAN PREMIER LEAGUE 2020,0-22,PBKS,T20,Abu Dhabi,30 Oct 20,7.3,3,0
INDIAN PREMIER LEAGUE 2020,0-25,MI,T20,Abu Dhabi,25 Oct 20,6.2,4,0
INDIAN PREMIER LEAGUE 2020,0-25,SRH,T20,Dubai,22 Oct 20,6.2,4,0
INDIAN PREMIER LEAGUE 2020,1-18,CSK,T20,Abu Dhabi,19 Oct 20,4.5,4,0
INDIAN PREMIER LEAGUE 2020,1-30,RCB,T20,Dubai,17 Oct 20,7.5,4,0
INDIAN PREMIER LEAGUE 2020,0-23,DC,T20,Dubai,14 Oct 20,7.6,3,0
INDIAN PREMIER LEAGUE 2020,0-35,SRH,T20,Dubai,11 Oct 20,8.7,4,0
INDIAN PREMIER LEAGUE 2020,1-20,DC,T20,Sharjah,09 Oct 20,5,4,0
INDIAN PREMIER LEAGUE 2020,0-13,MI,T20,Abu Dhabi,06 Oct 20,6.5,2,0
INDIAN PREMIER LEAGUE 2020,0-28,RCB,T20,Abu Dhabi,03 Oct 20,7,4,0
INDIAN PREMIER LEAGUE 2020,1-6,KKR,T20,Dubai,30 Sep 20,6,1,0
INDIAN PREMIER LEAGUE 2020,0-19,PBKS,T20,Sharjah,27 Sep 20,19,1,0
INDIAN PREMIER LEAGUE 2020,3-37,CSK,T20,Sharjah,22 Sep 20,9.2,4,0
INDIAN PREMIER LEAGUE 2019,1-10,SRH,T20,Delhi,04 Apr 19,3.3,3,0
INDIAN PREMIER LEAGUE 2019,0-20,CSK,T20,Delhi,26 Mar 19,10,2,0
INDIAN PREMIER LEAGUE 2019,1-12,MI,T20,Mumbai,24 Mar 19,10,1.2,0
"INDIAN PREMIER LEAGUE, 2018",0-23,CSK,T20,Pune,30 Apr 18,11.5,2,0
"INDIAN PREMIER LEAGUE, 2018",0-11,KKR,T20,Delhi,27 Apr 18,11,1,0
"INDIAN PREMIER LEAGUE, 2018",0-6,PBKS,T20,Delhi,23 Apr 18,6,1,0
"INDIAN PREMIER LEAGUE, 2018",0-26,RCB,T20,Bengaluru,21 Apr 18,8.6,3,0
"INDIAN PREMIER LEAGUE, 2018",3-18,KKR,T20,Kolkata,16 Apr 18,6,3,0
"INDIAN PREMIER LEAGUE, 2018",2-36,MI,T20,Mumbai,14 Apr 18,9,4,0
"INDIAN PREMIER LEAGUE, 2018",0-29,RR,T20,Jaipur,11 Apr 18,7.2,4,0
"INDIAN PREMIER LEAGUE, 2018",1-24,PBKS,T20,Mohali,08 Apr 18,6,4,0
"INDIAN PREMIER LEAGUE, 2017",0-14,RPS,T20,Pune,14 May 17,4.6,3,0
"INDIAN PREMIER LEAGUE, 2017",1-17,MI,T20,Mumbai,11 May 17,8.5,2,0
"INDIAN PREMIER LEAGUE, 2017",2-18,KKR,T20,Mohali,09 May 17,4.5,4,0
INDIAN PREMIER LEAGUE 2015,1-31,PBKS,T20,Ahmedabad,21 Apr 15,10.3,3,0
INDIAN PREMIER LEAGUE 2014,1-24,PBKS,T20,Mohali,23 May 14,6,4,0
INDIAN PREMIER LEAGUE 2014,1-17,RCB,T20,Bengaluru,11 May 14,5.6,3,0
INDIAN PREMIER LEAGUE 2014,0-18,KKR,T20,Ahmedabad,05 May 14,9,2,0
